Running GRASP algorithm...
Seconds: 1, Iteration: 10, Iteration per second: 10.000000, Best solution: 931587 found at 1s
Seconds: 2, Iteration: 20, Iteration per second: 10.000000, Best solution: 950082 found at 2s
Seconds: 3, Iteration: 30, Iteration per second: 10.000000, Best solution: 950514 found at 2s
Seconds: 3, Iteration: 40, Iteration per second: 13.333333, Best solution: 951033 found at 3s
Seconds: 3, Iteration: 50, Iteration per second: 16.666667, Best solution: 952113 found at 3s
Seconds: 4, Iteration: 60, Iteration per second: 15.000000, Best solution: 953369 found at 4s
Seconds: 4, Iteration: 70, Iteration per second: 17.500000, Best solution: 955114 found at 4s
Seconds: 4, Iteration: 80, Iteration per second: 20.000000, Best solution: 955602 found at 4s
Seconds: 5, Iteration: 90, Iteration per second: 18.000000, Best solution: 956525 found at 4s
Seconds: 5, Iteration: 100, Iteration per second: 20.000000, Best solution: 956945 found at 5s
Seconds: 5, Iteration: 110, Iteration per second: 22.000000, Best solution: 957264 found at 5s
Seconds: 5, Iteration: 120, Iteration per second: 24.000000, Best solution: 957867 found at 5s
Seconds: 6, Iteration: 130, Iteration per second: 21.666667, Best solution: 957902 found at 6s
Seconds: 6, Iteration: 140, Iteration per second: 23.333333, Best solution: 958171 found at 6s
Seconds: 6, Iteration: 150, Iteration per second: 25.000000, Best solution: 958414 found at 6s
Seconds: 6, Iteration: 160, Iteration per second: 26.666667, Best solution: 958557 found at 6s
Seconds: 7, Iteration: 170, Iteration per second: 24.285714, Best solution: 961978 found at 7s
Seconds: 7, Iteration: 180, Iteration per second: 25.714286, Best solution: 962009 found at 7s
Seconds: 7, Iteration: 190, Iteration per second: 27.142857, Best solution: 962009 found at 7s
Seconds: 8, Iteration: 200, Iteration per second: 25.000000, Best solution: 962542 found at 8s
Seconds: 8, Iteration: 210, Iteration per second: 26.250000, Best solution: 962542 found at 8s
Seconds: 8, Iteration: 220, Iteration per second: 27.500000, Best solution: 962542 found at 8s
Seconds: 8, Iteration: 230, Iteration per second: 28.750000, Best solution: 962583 found at 8s
Seconds: 9, Iteration: 240, Iteration per second: 26.666667, Best solution: 962701 found at 9s
Seconds: 9, Iteration: 250, Iteration per second: 27.777778, Best solution: 962837 found at 9s
Seconds: 9, Iteration: 260, Iteration per second: 28.888889, Best solution: 963216 found at 9s
Seconds: 10, Iteration: 270, Iteration per second: 27.000000, Best solution: 963416 found at 10s
Seconds: 10, Iteration: 280, Iteration per second: 28.000000, Best solution: 963512 found at 10s
Seconds: 10, Iteration: 290, Iteration per second: 29.000000, Best solution: 963512 found at 10s
Seconds: 10, Iteration: 300, Iteration per second: 30.000000, Best solution: 963538 found at 10s
Seconds: 11, Iteration: 310, Iteration per second: 28.181818, Best solution: 963538 found at 10s
Seconds: 11, Iteration: 320, Iteration per second: 29.090909, Best solution: 963550 found at 11s
Seconds: 11, Iteration: 330, Iteration per second: 30.000000, Best solution: 963550 found at 11s
Seconds: 12, Iteration: 340, Iteration per second: 28.333333, Best solution: 963593 found at 12s
Seconds: 12, Iteration: 350, Iteration per second: 29.166667, Best solution: 963593 found at 12s
Seconds: 12, Iteration: 360, Iteration per second: 30.000000, Best solution: 963593 found at 12s
Seconds: 13, Iteration: 370, Iteration per second: 28.461538, Best solution: 963612 found at 12s
Seconds: 13, Iteration: 380, Iteration per second: 29.230769, Best solution: 963612 found at 12s
Seconds: 13, Iteration: 390, Iteration per second: 30.000000, Best solution: 963612 found at 12s
Seconds: 13, Iteration: 400, Iteration per second: 30.769231, Best solution: 963725 found at 13s
Seconds: 14, Iteration: 410, Iteration per second: 29.285714, Best solution: 963945 found at 13s
Seconds: 14, Iteration: 420, Iteration per second: 30.000000, Best solution: 963945 found at 13s
Seconds: 14, Iteration: 430, Iteration per second: 30.714286, Best solution: 964175 found at 14s
Seconds: 14, Iteration: 440, Iteration per second: 31.428571, Best solution: 964222 found at 14s
Seconds: 14, Iteration: 450, Iteration per second: 32.142857, Best solution: 964222 found at 14s
Seconds: 15, Iteration: 460, Iteration per second: 30.666667, Best solution: 964222 found at 14s
Seconds: 15, Iteration: 470, Iteration per second: 31.333333, Best solution: 964222 found at 14s
Seconds: 15, Iteration: 480, Iteration per second: 32.000000, Best solution: 964228 found at 15s
Seconds: 15, Iteration: 490, Iteration per second: 32.666667, Best solution: 964228 found at 15s
Seconds: 16, Iteration: 500, Iteration per second: 31.250000, Best solution: 964228 found at 15s
Seconds: 16, Iteration: 510, Iteration per second: 31.875000, Best solution: 964272 found at 16s
Seconds: 16, Iteration: 520, Iteration per second: 32.500000, Best solution: 964272 found at 16s
Seconds: 16, Iteration: 530, Iteration per second: 33.125000, Best solution: 964291 found at 16s
Seconds: 17, Iteration: 540, Iteration per second: 31.764706, Best solution: 964291 found at 16s
Seconds: 17, Iteration: 550, Iteration per second: 32.352941, Best solution: 964329 found at 17s
Seconds: 17, Iteration: 560, Iteration per second: 32.941176, Best solution: 964329 found at 17s
Seconds: 17, Iteration: 570, Iteration per second: 33.529412, Best solution: 964329 found at 17s
Seconds: 18, Iteration: 580, Iteration per second: 32.222222, Best solution: 964384 found at 18s
Seconds: 18, Iteration: 590, Iteration per second: 32.777778, Best solution: 964390 found at 18s
Seconds: 18, Iteration: 600, Iteration per second: 33.333333, Best solution: 964428 found at 18s
Seconds: 18, Iteration: 610, Iteration per second: 33.888889, Best solution: 964428 found at 18s
Seconds: 19, Iteration: 620, Iteration per second: 32.631579, Best solution: 964428 found at 18s
Seconds: 19, Iteration: 630, Iteration per second: 33.157895, Best solution: 964428 found at 18s
