Running GRASP algorithm...
Seconds: 2, Iteration: 10, Iteration per second: 5.000000, Best solution: 1405937 found at 1s
Seconds: 3, Iteration: 20, Iteration per second: 6.666667, Best solution: 1413185 found at 3s
Seconds: 3, Iteration: 30, Iteration per second: 10.000000, Best solution: 1413419 found at 3s
Seconds: 4, Iteration: 40, Iteration per second: 10.000000, Best solution: 1413419 found at 3s
Seconds: 4, Iteration: 50, Iteration per second: 12.500000, Best solution: 1427538 found at 4s
Seconds: 5, Iteration: 60, Iteration per second: 12.000000, Best solution: 1427538 found at 4s
Seconds: 5, Iteration: 70, Iteration per second: 14.000000, Best solution: 1430336 found at 5s
Seconds: 6, Iteration: 80, Iteration per second: 13.333333, Best solution: 1430336 found at 5s
Seconds: 6, Iteration: 90, Iteration per second: 15.000000, Best solution: 1432603 found at 6s
Seconds: 6, Iteration: 100, Iteration per second: 16.666667, Best solution: 1432603 found at 6s
Seconds: 7, Iteration: 110, Iteration per second: 15.714286, Best solution: 1434667 found at 7s
Seconds: 7, Iteration: 120, Iteration per second: 17.142857, Best solution: 1439208 found at 7s
Seconds: 7, Iteration: 130, Iteration per second: 18.571429, Best solution: 1441548 found at 7s
Seconds: 8, Iteration: 140, Iteration per second: 17.500000, Best solution: 1442606 found at 8s
Seconds: 8, Iteration: 150, Iteration per second: 18.750000, Best solution: 1443214 found at 8s
Seconds: 9, Iteration: 160, Iteration per second: 17.777778, Best solution: 1443214 found at 8s
Seconds: 9, Iteration: 170, Iteration per second: 18.888889, Best solution: 1444894 found at 9s
Seconds: 9, Iteration: 180, Iteration per second: 20.000000, Best solution: 1445113 found at 9s
Seconds: 10, Iteration: 190, Iteration per second: 19.000000, Best solution: 1445113 found at 9s
Seconds: 10, Iteration: 200, Iteration per second: 20.000000, Best solution: 1445712 found at 10s
Seconds: 11, Iteration: 210, Iteration per second: 19.090909, Best solution: 1445712 found at 10s
Seconds: 11, Iteration: 220, Iteration per second: 20.000000, Best solution: 1445712 found at 10s
Seconds: 11, Iteration: 230, Iteration per second: 20.909091, Best solution: 1445712 found at 10s
Seconds: 12, Iteration: 240, Iteration per second: 20.000000, Best solution: 1445712 found at 10s
Seconds: 12, Iteration: 250, Iteration per second: 20.833333, Best solution: 1445770 found at 12s
Seconds: 13, Iteration: 260, Iteration per second: 20.000000, Best solution: 1445770 found at 12s
Seconds: 13, Iteration: 270, Iteration per second: 20.769231, Best solution: 1445770 found at 12s
Seconds: 13, Iteration: 280, Iteration per second: 21.538462, Best solution: 1446331 found at 13s
Seconds: 14, Iteration: 290, Iteration per second: 20.714286, Best solution: 1446331 found at 13s
Seconds: 14, Iteration: 300, Iteration per second: 21.428571, Best solution: 1446447 found at 14s
Seconds: 14, Iteration: 310, Iteration per second: 22.142857, Best solution: 1446447 found at 14s
Seconds: 15, Iteration: 320, Iteration per second: 21.333333, Best solution: 1446447 found at 14s
