Running GRASP algorithm...
Seconds: 1, Iteration: 10, Iteration per second: 10.000000, Best solution: 1096897 found at 1s
Seconds: 2, Iteration: 20, Iteration per second: 10.000000, Best solution: 1105050 found at 2s
Seconds: 2, Iteration: 30, Iteration per second: 15.000000, Best solution: 1105050 found at 2s
Seconds: 3, Iteration: 40, Iteration per second: 13.333333, Best solution: 1105050 found at 2s
Seconds: 3, Iteration: 50, Iteration per second: 16.666667, Best solution: 1105970 found at 3s
Seconds: 4, Iteration: 60, Iteration per second: 15.000000, Best solution: 1123244 found at 4s
Seconds: 4, Iteration: 70, Iteration per second: 17.500000, Best solution: 1125395 found at 4s
Seconds: 4, Iteration: 80, Iteration per second: 20.000000, Best solution: 1128766 found at 4s
Seconds: 5, Iteration: 90, Iteration per second: 18.000000, Best solution: 1134859 found at 5s
Seconds: 5, Iteration: 100, Iteration per second: 20.000000, Best solution: 1134859 found at 5s
Seconds: 5, Iteration: 110, Iteration per second: 22.000000, Best solution: 1144355 found at 5s
Seconds: 6, Iteration: 120, Iteration per second: 20.000000, Best solution: 1144355 found at 5s
Seconds: 6, Iteration: 130, Iteration per second: 21.666667, Best solution: 1144355 found at 5s
Seconds: 6, Iteration: 140, Iteration per second: 23.333333, Best solution: 1144663 found at 6s
Seconds: 6, Iteration: 150, Iteration per second: 25.000000, Best solution: 1145047 found at 6s
Seconds: 7, Iteration: 160, Iteration per second: 22.857143, Best solution: 1145047 found at 6s
Seconds: 7, Iteration: 170, Iteration per second: 24.285714, Best solution: 1147148 found at 7s
Seconds: 7, Iteration: 180, Iteration per second: 25.714286, Best solution: 1147148 found at 7s
Seconds: 8, Iteration: 190, Iteration per second: 23.750000, Best solution: 1147727 found at 7s
Seconds: 8, Iteration: 200, Iteration per second: 25.000000, Best solution: 1148799 found at 8s
Seconds: 8, Iteration: 210, Iteration per second: 26.250000, Best solution: 1152218 found at 8s
Seconds: 8, Iteration: 220, Iteration per second: 27.500000, Best solution: 1152218 found at 8s
Seconds: 9, Iteration: 230, Iteration per second: 25.555556, Best solution: 1152218 found at 8s
Seconds: 9, Iteration: 240, Iteration per second: 26.666667, Best solution: 1154050 found at 9s
Seconds: 9, Iteration: 250, Iteration per second: 27.777778, Best solution: 1154050 found at 9s
Seconds: 10, Iteration: 260, Iteration per second: 26.000000, Best solution: 1156976 found at 10s
Seconds: 10, Iteration: 270, Iteration per second: 27.000000, Best solution: 1160586 found at 10s
Seconds: 10, Iteration: 280, Iteration per second: 28.000000, Best solution: 1160640 found at 10s
Seconds: 11, Iteration: 290, Iteration per second: 26.363636, Best solution: 1162472 found at 10s
Seconds: 11, Iteration: 300, Iteration per second: 27.272727, Best solution: 1162472 found at 10s
Seconds: 11, Iteration: 310, Iteration per second: 28.181818, Best solution: 1164543 found at 11s
Seconds: 11, Iteration: 320, Iteration per second: 29.090909, Best solution: 1164601 found at 11s
Seconds: 12, Iteration: 330, Iteration per second: 27.500000, Best solution: 1165669 found at 11s
Seconds: 12, Iteration: 340, Iteration per second: 28.333333, Best solution: 1167645 found at 12s
Seconds: 12, Iteration: 350, Iteration per second: 29.166667, Best solution: 1167645 found at 12s
Seconds: 13, Iteration: 360, Iteration per second: 27.692308, Best solution: 1167645 found at 12s
Seconds: 13, Iteration: 370, Iteration per second: 28.461538, Best solution: 1169802 found at 13s
Seconds: 13, Iteration: 380, Iteration per second: 29.230769, Best solution: 1169802 found at 13s
Seconds: 13, Iteration: 390, Iteration per second: 30.000000, Best solution: 1169836 found at 13s
Seconds: 14, Iteration: 400, Iteration per second: 28.571429, Best solution: 1170483 found at 14s
Seconds: 14, Iteration: 410, Iteration per second: 29.285714, Best solution: 1170483 found at 14s
Seconds: 14, Iteration: 420, Iteration per second: 30.000000, Best solution: 1170691 found at 14s
Seconds: 14, Iteration: 430, Iteration per second: 30.714286, Best solution: 1171135 found at 14s
Seconds: 15, Iteration: 440, Iteration per second: 29.333333, Best solution: 1171933 found at 15s
Seconds: 15, Iteration: 450, Iteration per second: 30.000000, Best solution: 1171933 found at 15s
Seconds: 15, Iteration: 460, Iteration per second: 30.666667, Best solution: 1171933 found at 15s
Seconds: 16, Iteration: 470, Iteration per second: 29.375000, Best solution: 1171933 found at 15s
Seconds: 16, Iteration: 480, Iteration per second: 30.000000, Best solution: 1171933 found at 15s
Seconds: 16, Iteration: 490, Iteration per second: 30.625000, Best solution: 1172432 found at 16s
Seconds: 16, Iteration: 500, Iteration per second: 31.250000, Best solution: 1175632 found at 16s
Seconds: 17, Iteration: 510, Iteration per second: 30.000000, Best solution: 1175632 found at 16s
Seconds: 17, Iteration: 520, Iteration per second: 30.588235, Best solution: 1175632 found at 16s
Seconds: 17, Iteration: 530, Iteration per second: 31.176471, Best solution: 1175632 found at 16s
Seconds: 17, Iteration: 540, Iteration per second: 31.764706, Best solution: 1175979 found at 17s
Seconds: 18, Iteration: 550, Iteration per second: 30.555556, Best solution: 1182592 found at 17s
Seconds: 18, Iteration: 560, Iteration per second: 31.111111, Best solution: 1182592 found at 17s
Seconds: 18, Iteration: 570, Iteration per second: 31.666667, Best solution: 1182592 found at 17s
Seconds: 19, Iteration: 580, Iteration per second: 30.526316, Best solution: 1183994 found at 18s
Seconds: 19, Iteration: 590, Iteration per second: 31.052632, Best solution: 1183994 found at 18s
Seconds: 19, Iteration: 600, Iteration per second: 31.578947, Best solution: 1183994 found at 18s
Seconds: 19, Iteration: 610, Iteration per second: 32.105263, Best solution: 1184515 found at 19s
Seconds: 20, Iteration: 620, Iteration per second: 31.000000, Best solution: 1184515 found at 19s
Seconds: 20, Iteration: 630, Iteration per second: 31.500000, Best solution: 1187561 found at 20s
Seconds: 20, Iteration: 640, Iteration per second: 32.000000, Best solution: 1188073 found at 20s
Seconds: 20, Iteration: 650, Iteration per second: 32.500000, Best solution: 1188073 found at 20s
Seconds: 21, Iteration: 660, Iteration per second: 31.428571, Best solution: 1188073 found at 20s
Seconds: 21, Iteration: 670, Iteration per second: 31.904762, Best solution: 1188073 found at 20s
Seconds: 21, Iteration: 680, Iteration per second: 32.380952, Best solution: 1188073 found at 20s
Seconds: 22, Iteration: 690, Iteration per second: 31.363636, Best solution: 1188073 found at 20s
Seconds: 22, Iteration: 700, Iteration per second: 31.818182, Best solution: 1188374 found at 22s
Seconds: 22, Iteration: 710, Iteration per second: 32.272727, Best solution: 1188409 found at 22s
Seconds: 22, Iteration: 720, Iteration per second: 32.727273, Best solution: 1188409 found at 22s
Seconds: 23, Iteration: 730, Iteration per second: 31.739130, Best solution: 1188452 found at 23s
Seconds: 23, Iteration: 740, Iteration per second: 32.173913, Best solution: 1188452 found at 23s
Seconds: 23, Iteration: 750, Iteration per second: 32.608696, Best solution: 1188452 found at 23s
Seconds: 24, Iteration: 760, Iteration per second: 31.666667, Best solution: 1188865 found at 23s
Seconds: 24, Iteration: 770, Iteration per second: 32.083333, Best solution: 1188908 found at 24s
Seconds: 24, Iteration: 780, Iteration per second: 32.500000, Best solution: 1188908 found at 24s
Seconds: 24, Iteration: 790, Iteration per second: 32.916667, Best solution: 1188908 found at 24s
Seconds: 25, Iteration: 800, Iteration per second: 32.000000, Best solution: 1188908 found at 24s
Seconds: 25, Iteration: 810, Iteration per second: 32.400000, Best solution: 1188954 found at 25s
Seconds: 25, Iteration: 820, Iteration per second: 32.800000, Best solution: 1188954 found at 25s
Seconds: 25, Iteration: 830, Iteration per second: 33.200000, Best solution: 1188954 found at 25s
Seconds: 26, Iteration: 840, Iteration per second: 32.307692, Best solution: 1188954 found at 25s
Seconds: 26, Iteration: 850, Iteration per second: 32.692308, Best solution: 1188954 found at 25s
Seconds: 26, Iteration: 860, Iteration per second: 33.076923, Best solution: 1189022 found at 26s
Seconds: 26, Iteration: 870, Iteration per second: 33.461538, Best solution: 1189241 found at 26s
Seconds: 27, Iteration: 880, Iteration per second: 32.592593, Best solution: 1192801 found at 27s
Seconds: 27, Iteration: 890, Iteration per second: 32.962963, Best solution: 1192801 found at 27s
Seconds: 27, Iteration: 900, Iteration per second: 33.333333, Best solution: 1192801 found at 27s
Seconds: 28, Iteration: 910, Iteration per second: 32.500000, Best solution: 1192801 found at 27s
Seconds: 28, Iteration: 920, Iteration per second: 32.857143, Best solution: 1192801 found at 27s
Seconds: 28, Iteration: 930, Iteration per second: 33.214286, Best solution: 1192801 found at 27s
Seconds: 28, Iteration: 940, Iteration per second: 33.571429, Best solution: 1192801 found at 27s
Seconds: 29, Iteration: 950, Iteration per second: 32.758621, Best solution: 1192801 found at 27s
Seconds: 29, Iteration: 960, Iteration per second: 33.103448, Best solution: 1192806 found at 29s
Seconds: 29, Iteration: 970, Iteration per second: 33.448276, Best solution: 1193191 found at 29s
Seconds: 30, Iteration: 980, Iteration per second: 32.666667, Best solution: 1193191 found at 29s
Seconds: 30, Iteration: 990, Iteration per second: 33.000000, Best solution: 1193191 found at 29s
Seconds: 30, Iteration: 1000, Iteration per second: 33.333333, Best solution: 1193191 found at 29s
Seconds: 30, Iteration: 1010, Iteration per second: 33.666667, Best solution: 1193191 found at 29s
Seconds: 31, Iteration: 1020, Iteration per second: 32.903226, Best solution: 1193906 found at 31s
Seconds: 31, Iteration: 1030, Iteration per second: 33.225806, Best solution: 1193906 found at 31s
Seconds: 31, Iteration: 1040, Iteration per second: 33.548387, Best solution: 1193906 found at 31s
Seconds: 31, Iteration: 1050, Iteration per second: 33.870968, Best solution: 1193906 found at 31s
Seconds: 32, Iteration: 1060, Iteration per second: 33.125000, Best solution: 1193906 found at 31s
Seconds: 32, Iteration: 1070, Iteration per second: 33.437500, Best solution: 1193906 found at 31s
Seconds: 32, Iteration: 1080, Iteration per second: 33.750000, Best solution: 1193906 found at 31s
Seconds: 33, Iteration: 1090, Iteration per second: 33.030303, Best solution: 1193906 found at 31s
Seconds: 33, Iteration: 1100, Iteration per second: 33.333333, Best solution: 1193906 found at 31s
Seconds: 33, Iteration: 1110, Iteration per second: 33.636364, Best solution: 1193906 found at 31s
Seconds: 33, Iteration: 1120, Iteration per second: 33.939394, Best solution: 1193906 found at 31s
Seconds: 34, Iteration: 1130, Iteration per second: 33.235294, Best solution: 1193906 found at 31s
Seconds: 34, Iteration: 1140, Iteration per second: 33.529412, Best solution: 1194020 found at 34s
Seconds: 34, Iteration: 1150, Iteration per second: 33.823529, Best solution: 1194020 found at 34s
Seconds: 34, Iteration: 1160, Iteration per second: 34.117647, Best solution: 1194020 found at 34s
Seconds: 35, Iteration: 1170, Iteration per second: 33.428571, Best solution: 1194312 found at 35s
Seconds: 35, Iteration: 1180, Iteration per second: 33.714286, Best solution: 1194312 found at 35s
Seconds: 35, Iteration: 1190, Iteration per second: 34.000000, Best solution: 1194312 found at 35s
Seconds: 36, Iteration: 1200, Iteration per second: 33.333333, Best solution: 1194312 found at 35s
Seconds: 36, Iteration: 1210, Iteration per second: 33.611111, Best solution: 1194312 found at 35s
Seconds: 36, Iteration: 1220, Iteration per second: 33.888889, Best solution: 1194312 found at 35s
Seconds: 36, Iteration: 1230, Iteration per second: 34.166667, Best solution: 1194312 found at 35s
Seconds: 37, Iteration: 1240, Iteration per second: 33.513514, Best solution: 1194312 found at 35s
Seconds: 37, Iteration: 1250, Iteration per second: 33.783784, Best solution: 1194312 found at 35s
Seconds: 37, Iteration: 1260, Iteration per second: 34.054054, Best solution: 1194440 found at 37s
Seconds: 37, Iteration: 1270, Iteration per second: 34.324324, Best solution: 1194440 found at 37s
Seconds: 38, Iteration: 1280, Iteration per second: 33.684211, Best solution: 1194440 found at 37s
Seconds: 38, Iteration: 1290, Iteration per second: 33.947368, Best solution: 1194440 found at 37s
Seconds: 38, Iteration: 1300, Iteration per second: 34.210526, Best solution: 1194440 found at 37s
Seconds: 39, Iteration: 1310, Iteration per second: 33.589744, Best solution: 1194440 found at 37s
Seconds: 39, Iteration: 1320, Iteration per second: 33.846154, Best solution: 1194440 found at 37s
Seconds: 39, Iteration: 1330, Iteration per second: 34.102564, Best solution: 1194440 found at 37s
Seconds: 39, Iteration: 1340, Iteration per second: 34.358974, Best solution: 1194440 found at 37s
Seconds: 40, Iteration: 1350, Iteration per second: 33.750000, Best solution: 1194440 found at 37s
Seconds: 40, Iteration: 1360, Iteration per second: 34.000000, Best solution: 1194452 found at 40s
Seconds: 40, Iteration: 1370, Iteration per second: 34.250000, Best solution: 1197439 found at 40s
Seconds: 40, Iteration: 1380, Iteration per second: 34.500000, Best solution: 1197439 found at 40s
Seconds: 41, Iteration: 1390, Iteration per second: 33.902439, Best solution: 1197439 found at 40s
Seconds: 41, Iteration: 1400, Iteration per second: 34.146341, Best solution: 1197439 found at 40s
Seconds: 41, Iteration: 1410, Iteration per second: 34.390244, Best solution: 1197439 found at 40s
Seconds: 41, Iteration: 1420, Iteration per second: 34.634146, Best solution: 1197439 found at 40s
Seconds: 42, Iteration: 1430, Iteration per second: 34.047619, Best solution: 1197439 found at 40s
Seconds: 42, Iteration: 1440, Iteration per second: 34.285714, Best solution: 1197439 found at 40s
Seconds: 42, Iteration: 1450, Iteration per second: 34.523810, Best solution: 1197439 found at 40s
Seconds: 43, Iteration: 1460, Iteration per second: 33.953488, Best solution: 1197439 found at 40s
Seconds: 43, Iteration: 1470, Iteration per second: 34.186047, Best solution: 1197439 found at 40s
Seconds: 43, Iteration: 1480, Iteration per second: 34.418605, Best solution: 1197439 found at 40s
Seconds: 43, Iteration: 1490, Iteration per second: 34.651163, Best solution: 1197439 found at 40s
Seconds: 44, Iteration: 1500, Iteration per second: 34.090909, Best solution: 1197439 found at 40s
Seconds: 44, Iteration: 1510, Iteration per second: 34.318182, Best solution: 1197439 found at 40s
Seconds: 44, Iteration: 1520, Iteration per second: 34.545455, Best solution: 1197439 found at 40s
Seconds: 44, Iteration: 1530, Iteration per second: 34.772727, Best solution: 1197865 found at 44s
Seconds: 45, Iteration: 1540, Iteration per second: 34.222222, Best solution: 1200163 found at 45s
Seconds: 45, Iteration: 1550, Iteration per second: 34.444444, Best solution: 1200163 found at 45s
Seconds: 45, Iteration: 1560, Iteration per second: 34.666667, Best solution: 1200163 found at 45s
Seconds: 46, Iteration: 1570, Iteration per second: 34.130435, Best solution: 1200163 found at 45s
Seconds: 46, Iteration: 1580, Iteration per second: 34.347826, Best solution: 1200163 found at 45s
Seconds: 46, Iteration: 1590, Iteration per second: 34.565217, Best solution: 1200163 found at 45s
