Running GRASP algorithm...
Seconds: 1, Iteration: 10, Iteration per second: 10.000000, Best solution: 775389 found at 1s
Seconds: 2, Iteration: 20, Iteration per second: 10.000000, Best solution: 775709 found at 2s
Seconds: 2, Iteration: 30, Iteration per second: 15.000000, Best solution: 784298 found at 2s
Seconds: 3, Iteration: 40, Iteration per second: 13.333333, Best solution: 784298 found at 2s
Seconds: 3, Iteration: 50, Iteration per second: 16.666667, Best solution: 786695 found at 3s
Seconds: 4, Iteration: 60, Iteration per second: 15.000000, Best solution: 791994 found at 3s
Seconds: 4, Iteration: 70, Iteration per second: 17.500000, Best solution: 793595 found at 4s
Seconds: 4, Iteration: 80, Iteration per second: 20.000000, Best solution: 793595 found at 4s
Seconds: 5, Iteration: 90, Iteration per second: 18.000000, Best solution: 793596 found at 5s
Seconds: 5, Iteration: 100, Iteration per second: 20.000000, Best solution: 798701 found at 5s
Seconds: 5, Iteration: 110, Iteration per second: 22.000000, Best solution: 798701 found at 5s
Seconds: 6, Iteration: 120, Iteration per second: 20.000000, Best solution: 800499 found at 6s
Seconds: 6, Iteration: 130, Iteration per second: 21.666667, Best solution: 801090 found at 6s
Seconds: 6, Iteration: 140, Iteration per second: 23.333333, Best solution: 801090 found at 6s
Seconds: 6, Iteration: 150, Iteration per second: 25.000000, Best solution: 801090 found at 6s
Seconds: 7, Iteration: 160, Iteration per second: 22.857143, Best solution: 801962 found at 6s
Seconds: 7, Iteration: 170, Iteration per second: 24.285714, Best solution: 802264 found at 7s
Seconds: 7, Iteration: 180, Iteration per second: 25.714286, Best solution: 803608 found at 7s
Seconds: 7, Iteration: 190, Iteration per second: 27.142857, Best solution: 804098 found at 7s
Seconds: 7, Iteration: 200, Iteration per second: 28.571429, Best solution: 804199 found at 7s
Seconds: 7, Iteration: 210, Iteration per second: 30.000000, Best solution: 804614 found at 7s
Seconds: 8, Iteration: 220, Iteration per second: 27.500000, Best solution: 804614 found at 7s
Seconds: 8, Iteration: 230, Iteration per second: 28.750000, Best solution: 804614 found at 7s
Seconds: 8, Iteration: 240, Iteration per second: 30.000000, Best solution: 804614 found at 7s
Seconds: 8, Iteration: 250, Iteration per second: 31.250000, Best solution: 804614 found at 7s
Seconds: 9, Iteration: 260, Iteration per second: 28.888889, Best solution: 804614 found at 7s
Seconds: 9, Iteration: 270, Iteration per second: 30.000000, Best solution: 804614 found at 7s
Seconds: 9, Iteration: 280, Iteration per second: 31.111111, Best solution: 804705 found at 9s
Seconds: 9, Iteration: 290, Iteration per second: 32.222222, Best solution: 806542 found at 9s
Seconds: 9, Iteration: 300, Iteration per second: 33.333333, Best solution: 806542 found at 9s
Seconds: 10, Iteration: 310, Iteration per second: 31.000000, Best solution: 806542 found at 9s
Seconds: 10, Iteration: 320, Iteration per second: 32.000000, Best solution: 806542 found at 9s
Seconds: 10, Iteration: 330, Iteration per second: 33.000000, Best solution: 806542 found at 9s
Seconds: 10, Iteration: 340, Iteration per second: 34.000000, Best solution: 806542 found at 9s
Seconds: 10, Iteration: 350, Iteration per second: 35.000000, Best solution: 806542 found at 9s
Seconds: 11, Iteration: 360, Iteration per second: 32.727273, Best solution: 806542 found at 9s
Seconds: 11, Iteration: 370, Iteration per second: 33.636364, Best solution: 806812 found at 11s
Seconds: 11, Iteration: 380, Iteration per second: 34.545455, Best solution: 807919 found at 11s
Seconds: 11, Iteration: 390, Iteration per second: 35.454545, Best solution: 807919 found at 11s
Seconds: 11, Iteration: 400, Iteration per second: 36.363636, Best solution: 808423 found at 11s
Seconds: 12, Iteration: 410, Iteration per second: 34.166667, Best solution: 808423 found at 11s
Seconds: 12, Iteration: 420, Iteration per second: 35.000000, Best solution: 808423 found at 11s
Seconds: 12, Iteration: 430, Iteration per second: 35.833333, Best solution: 808423 found at 11s
