Running GRASP algorithm...
Running with 31 threads (Available processors: 31).
Seconds: 2, Total Iterations: 100, Iteration per second: 50.000000, Best solution: 455368 found at 2s
Seconds: 3, Total Iterations: 200, Iteration per second: 66.666667, Best solution: 457476 found at 3s
Seconds: 3, Total Iterations: 300, Iteration per second: 100.000000, Best solution: 459637 found at 3s
Seconds: 3, Total Iterations: 400, Iteration per second: 133.333333, Best solution: 459816 found at 3s
Seconds: 4, Total Iterations: 500, Iteration per second: 125.000000, Best solution: 459925 found at 4s
Seconds: 4, Total Iterations: 600, Iteration per second: 150.000000, Best solution: 460172 found at 4s
Seconds: 4, Total Iterations: 700, Iteration per second: 175.000000, Best solution: 460172 found at 4s
Seconds: 5, Total Iterations: 800, Iteration per second: 160.000000, Best solution: 460224 found at 5s
Seconds: 5, Total Iterations: 900, Iteration per second: 180.000000, Best solution: 460226 found at 5s
Seconds: 5, Total Iterations: 1000, Iteration per second: 200.000000, Best solution: 460286 found at 5s
Seconds: 6, Total Iterations: 1100, Iteration per second: 183.333333, Best solution: 460349 found at 5s
Seconds: 6, Total Iterations: 1200, Iteration per second: 200.000000, Best solution: 460353 found at 6s
Seconds: 6, Total Iterations: 1300, Iteration per second: 216.666667, Best solution: 460427 found at 6s
Seconds: 7, Total Iterations: 1400, Iteration per second: 200.000000, Best solution: 460456 found at 7s
Seconds: 7, Total Iterations: 1500, Iteration per second: 214.285714, Best solution: 460580 found at 7s
Seconds: 7, Total Iterations: 1600, Iteration per second: 228.571429, Best solution: 460580 found at 7s
Seconds: 8, Total Iterations: 1700, Iteration per second: 212.500000, Best solution: 460593 found at 7s
Seconds: 8, Total Iterations: 1800, Iteration per second: 225.000000, Best solution: 460656 found at 8s
Seconds: 8, Total Iterations: 1900, Iteration per second: 237.500000, Best solution: 460669 found at 8s
Seconds: 8, Total Iterations: 2000, Iteration per second: 250.000000, Best solution: 460670 found at 8s
Seconds: 9, Total Iterations: 2100, Iteration per second: 233.333333, Best solution: 460670 found at 8s
Seconds: 9, Total Iterations: 2200, Iteration per second: 244.444444, Best solution: 460695 found at 9s
Seconds: 9, Total Iterations: 2300, Iteration per second: 255.555556, Best solution: 460816 found at 9s
Seconds: 10, Total Iterations: 2400, Iteration per second: 240.000000, Best solution: 460817 found at 9s
Seconds: 10, Total Iterations: 2500, Iteration per second: 250.000000, Best solution: 460877 found at 10s
Seconds: 10, Total Iterations: 2600, Iteration per second: 260.000000, Best solution: 460891 found at 10s
Seconds: 11, Total Iterations: 2700, Iteration per second: 245.454545, Best solution: 460974 found at 11s
Seconds: 11, Total Iterations: 2800, Iteration per second: 254.545455, Best solution: 461040 found at 11s
Seconds: 11, Total Iterations: 2900, Iteration per second: 263.636364, Best solution: 461143 found at 11s
Seconds: 12, Total Iterations: 3000, Iteration per second: 250.000000, Best solution: 461290 found at 11s
Seconds: 12, Total Iterations: 3100, Iteration per second: 258.333333, Best solution: 461290 found at 11s
Seconds: 12, Total Iterations: 3200, Iteration per second: 266.666667, Best solution: 461290 found at 11s
Seconds: 13, Total Iterations: 3300, Iteration per second: 253.846154, Best solution: 461290 found at 11s
Seconds: 13, Total Iterations: 3400, Iteration per second: 261.538462, Best solution: 461410 found at 13s
Seconds: 13, Total Iterations: 3500, Iteration per second: 269.230769, Best solution: 461410 found at 13s
Seconds: 13, Total Iterations: 3600, Iteration per second: 276.923077, Best solution: 461410 found at 13s
Seconds: 14, Total Iterations: 3700, Iteration per second: 264.285714, Best solution: 461410 found at 13s
Seconds: 14, Total Iterations: 3800, Iteration per second: 271.428571, Best solution: 461418 found at 14s
Seconds: 14, Total Iterations: 3900, Iteration per second: 278.571429, Best solution: 461418 found at 14s
Seconds: 15, Total Iterations: 4000, Iteration per second: 266.666667, Best solution: 461418 found at 14s
Seconds: 15, Total Iterations: 4100, Iteration per second: 273.333333, Best solution: 461418 found at 14s
Seconds: 15, Total Iterations: 4200, Iteration per second: 280.000000, Best solution: 461418 found at 14s
Seconds: 16, Total Iterations: 4300, Iteration per second: 268.750000, Best solution: 461418 found at 14s
Seconds: 16, Total Iterations: 4400, Iteration per second: 275.000000, Best solution: 461418 found at 14s
Seconds: 16, Total Iterations: 4500, Iteration per second: 281.250000, Best solution: 461418 found at 14s
Seconds: 17, Total Iterations: 4600, Iteration per second: 270.588235, Best solution: 461418 found at 14s
Seconds: 17, Total Iterations: 4700, Iteration per second: 276.470588, Best solution: 461418 found at 14s
Seconds: 17, Total Iterations: 4800, Iteration per second: 282.352941, Best solution: 461418 found at 14s
Seconds: 18, Total Iterations: 4900, Iteration per second: 272.222222, Best solution: 461418 found at 14s
Seconds: 18, Total Iterations: 5000, Iteration per second: 277.777778, Best solution: 461418 found at 14s
Seconds: 18, Total Iterations: 5100, Iteration per second: 283.333333, Best solution: 461420 found at 18s
Seconds: 18, Total Iterations: 5200, Iteration per second: 288.888889, Best solution: 461421 found at 18s
Seconds: 19, Total Iterations: 5300, Iteration per second: 278.947368, Best solution: 461430 found at 19s
Seconds: 19, Total Iterations: 5400, Iteration per second: 284.210526, Best solution: 461430 found at 19s
Seconds: 19, Total Iterations: 5500, Iteration per second: 289.473684, Best solution: 461430 found at 19s
Seconds: 20, Total Iterations: 5600, Iteration per second: 280.000000, Best solution: 461430 found at 19s
Seconds: 20, Total Iterations: 5700, Iteration per second: 285.000000, Best solution: 461430 found at 19s
Seconds: 20, Total Iterations: 5800, Iteration per second: 290.000000, Best solution: 461430 found at 19s
Seconds: 21, Total Iterations: 5900, Iteration per second: 280.952381, Best solution: 461430 found at 19s
Seconds: 21, Total Iterations: 6000, Iteration per second: 285.714286, Best solution: 461444 found at 21s
Seconds: 21, Total Iterations: 6100, Iteration per second: 290.476190, Best solution: 461466 found at 21s
Seconds: 22, Total Iterations: 6200, Iteration per second: 281.818182, Best solution: 461466 found at 21s
Seconds: 22, Total Iterations: 6300, Iteration per second: 286.363636, Best solution: 461467 found at 22s
Seconds: 22, Total Iterations: 6400, Iteration per second: 290.909091, Best solution: 461467 found at 22s
Seconds: 23, Total Iterations: 6500, Iteration per second: 282.608696, Best solution: 461467 found at 22s
Seconds: 23, Total Iterations: 6600, Iteration per second: 286.956522, Best solution: 461467 found at 22s
Seconds: 23, Total Iterations: 6700, Iteration per second: 291.304348, Best solution: 461467 found at 22s
Seconds: 23, Total Iterations: 6800, Iteration per second: 295.652174, Best solution: 461467 found at 22s
Seconds: 24, Total Iterations: 6900, Iteration per second: 287.500000, Best solution: 461467 found at 22s
Seconds: 24, Total Iterations: 7000, Iteration per second: 291.666667, Best solution: 461467 found at 22s
Seconds: 24, Total Iterations: 7100, Iteration per second: 295.833333, Best solution: 461467 found at 22s
Seconds: 25, Total Iterations: 7200, Iteration per second: 288.000000, Best solution: 461467 found at 22s
Seconds: 25, Total Iterations: 7300, Iteration per second: 292.000000, Best solution: 461467 found at 22s
Seconds: 25, Total Iterations: 7400, Iteration per second: 296.000000, Best solution: 461467 found at 22s
Seconds: 26, Total Iterations: 7500, Iteration per second: 288.461538, Best solution: 461467 found at 22s
Seconds: 26, Total Iterations: 7600, Iteration per second: 292.307692, Best solution: 461467 found at 22s
Seconds: 26, Total Iterations: 7700, Iteration per second: 296.153846, Best solution: 461467 found at 22s
Seconds: 27, Total Iterations: 7800, Iteration per second: 288.888889, Best solution: 461467 found at 22s
Seconds: 27, Total Iterations: 7900, Iteration per second: 292.592593, Best solution: 461467 found at 22s
Seconds: 27, Total Iterations: 8000, Iteration per second: 296.296296, Best solution: 461467 found at 22s
Seconds: 28, Total Iterations: 8100, Iteration per second: 289.285714, Best solution: 461467 found at 22s
Seconds: 28, Total Iterations: 8200, Iteration per second: 292.857143, Best solution: 461467 found at 22s
Seconds: 28, Total Iterations: 8300, Iteration per second: 296.428571, Best solution: 461467 found at 22s
Seconds: 28, Total Iterations: 8400, Iteration per second: 300.000000, Best solution: 461467 found at 22s
Seconds: 29, Total Iterations: 8500, Iteration per second: 293.103448, Best solution: 461467 found at 22s
Seconds: 29, Total Iterations: 8600, Iteration per second: 296.551724, Best solution: 461467 found at 22s
Seconds: 29, Total Iterations: 8700, Iteration per second: 300.000000, Best solution: 461467 found at 22s
