Running GRASP algorithm...
Running with 31 threads (Available processors: 31).
Seconds: 3, Total Iterations: 100, Iteration per second: 33.333333, Best solution: 633248 found at 3s
Seconds: 4, Total Iterations: 200, Iteration per second: 50.000000, Best solution: 634888 found at 4s
Seconds: 5, Total Iterations: 300, Iteration per second: 60.000000, Best solution: 635505 found at 5s
Seconds: 5, Total Iterations: 400, Iteration per second: 80.000000, Best solution: 636307 found at 5s
Seconds: 6, Total Iterations: 500, Iteration per second: 83.333333, Best solution: 636633 found at 6s
Seconds: 6, Total Iterations: 600, Iteration per second: 100.000000, Best solution: 636885 found at 6s
Seconds: 7, Total Iterations: 700, Iteration per second: 100.000000, Best solution: 637041 found at 7s
Seconds: 7, Total Iterations: 800, Iteration per second: 114.285714, Best solution: 637618 found at 7s
Seconds: 8, Total Iterations: 900, Iteration per second: 112.500000, Best solution: 637770 found at 8s
Seconds: 9, Total Iterations: 1000, Iteration per second: 111.111111, Best solution: 637916 found at 9s
Seconds: 9, Total Iterations: 1100, Iteration per second: 122.222222, Best solution: 638015 found at 9s
Seconds: 10, Total Iterations: 1200, Iteration per second: 120.000000, Best solution: 638109 found at 10s
Seconds: 10, Total Iterations: 1300, Iteration per second: 130.000000, Best solution: 638136 found at 10s
Seconds: 11, Total Iterations: 1400, Iteration per second: 127.272727, Best solution: 638230 found at 11s
Seconds: 11, Total Iterations: 1500, Iteration per second: 136.363636, Best solution: 638239 found at 11s
Seconds: 12, Total Iterations: 1600, Iteration per second: 133.333333, Best solution: 638242 found at 11s
Seconds: 12, Total Iterations: 1700, Iteration per second: 141.666667, Best solution: 638242 found at 11s
Seconds: 12, Total Iterations: 1800, Iteration per second: 150.000000, Best solution: 638252 found at 12s
Seconds: 12, Total Iterations: 1900, Iteration per second: 158.333333, Best solution: 638252 found at 12s
Seconds: 13, Total Iterations: 2000, Iteration per second: 153.846154, Best solution: 638270 found at 12s
Seconds: 13, Total Iterations: 2100, Iteration per second: 161.538462, Best solution: 638276 found at 13s
Seconds: 13, Total Iterations: 2200, Iteration per second: 169.230769, Best solution: 638295 found at 13s
Seconds: 13, Total Iterations: 2300, Iteration per second: 176.923077, Best solution: 638296 found at 13s
Seconds: 13, Total Iterations: 2400, Iteration per second: 184.615385, Best solution: 638366 found at 13s
Seconds: 13, Total Iterations: 2500, Iteration per second: 192.307692, Best solution: 638366 found at 13s
Seconds: 14, Total Iterations: 2600, Iteration per second: 185.714286, Best solution: 638411 found at 13s
Seconds: 14, Total Iterations: 2700, Iteration per second: 192.857143, Best solution: 638414 found at 14s
Seconds: 14, Total Iterations: 2800, Iteration per second: 200.000000, Best solution: 638414 found at 14s
Seconds: 14, Total Iterations: 2900, Iteration per second: 207.142857, Best solution: 638414 found at 14s
Seconds: 14, Total Iterations: 3000, Iteration per second: 214.285714, Best solution: 638414 found at 14s
Seconds: 14, Total Iterations: 3100, Iteration per second: 221.428571, Best solution: 638414 found at 14s
Seconds: 14, Total Iterations: 3200, Iteration per second: 228.571429, Best solution: 638414 found at 14s
Seconds: 15, Total Iterations: 3300, Iteration per second: 220.000000, Best solution: 638415 found at 15s
Seconds: 15, Total Iterations: 3400, Iteration per second: 226.666667, Best solution: 638473 found at 15s
Seconds: 15, Total Iterations: 3500, Iteration per second: 233.333333, Best solution: 638473 found at 15s
Seconds: 15, Total Iterations: 3600, Iteration per second: 240.000000, Best solution: 638473 found at 15s
Seconds: 15, Total Iterations: 3700, Iteration per second: 246.666667, Best solution: 638473 found at 15s
Seconds: 15, Total Iterations: 3800, Iteration per second: 253.333333, Best solution: 638473 found at 15s
Seconds: 15, Total Iterations: 3900, Iteration per second: 260.000000, Best solution: 638473 found at 15s
Seconds: 16, Total Iterations: 4000, Iteration per second: 250.000000, Best solution: 638473 found at 15s
Seconds: 16, Total Iterations: 4100, Iteration per second: 256.250000, Best solution: 638473 found at 15s
Seconds: 16, Total Iterations: 4200, Iteration per second: 262.500000, Best solution: 638473 found at 15s
Seconds: 16, Total Iterations: 4300, Iteration per second: 268.750000, Best solution: 638473 found at 15s
Seconds: 16, Total Iterations: 4400, Iteration per second: 275.000000, Best solution: 638473 found at 15s
Seconds: 16, Total Iterations: 4500, Iteration per second: 281.250000, Best solution: 638473 found at 15s
Seconds: 16, Total Iterations: 4600, Iteration per second: 287.500000, Best solution: 638473 found at 15s
Seconds: 17, Total Iterations: 4700, Iteration per second: 276.470588, Best solution: 638473 found at 15s
Seconds: 17, Total Iterations: 4800, Iteration per second: 282.352941, Best solution: 638473 found at 15s
Seconds: 17, Total Iterations: 4900, Iteration per second: 288.235294, Best solution: 638473 found at 15s
Seconds: 17, Total Iterations: 5000, Iteration per second: 294.117647, Best solution: 638588 found at 17s
Seconds: 17, Total Iterations: 5100, Iteration per second: 300.000000, Best solution: 638588 found at 17s
Seconds: 17, Total Iterations: 5200, Iteration per second: 305.882353, Best solution: 638588 found at 17s
Seconds: 17, Total Iterations: 5300, Iteration per second: 311.764706, Best solution: 638591 found at 17s
Seconds: 18, Total Iterations: 5400, Iteration per second: 300.000000, Best solution: 638591 found at 17s
Seconds: 18, Total Iterations: 5500, Iteration per second: 305.555556, Best solution: 638591 found at 17s
Seconds: 18, Total Iterations: 5600, Iteration per second: 311.111111, Best solution: 638591 found at 17s
Seconds: 18, Total Iterations: 5700, Iteration per second: 316.666667, Best solution: 638591 found at 17s
Seconds: 18, Total Iterations: 5800, Iteration per second: 322.222222, Best solution: 638591 found at 17s
Seconds: 18, Total Iterations: 5900, Iteration per second: 327.777778, Best solution: 638591 found at 17s
Seconds: 18, Total Iterations: 6000, Iteration per second: 333.333333, Best solution: 638591 found at 17s
Seconds: 18, Total Iterations: 6100, Iteration per second: 338.888889, Best solution: 638591 found at 17s
Seconds: 19, Total Iterations: 6200, Iteration per second: 326.315789, Best solution: 638591 found at 17s
Seconds: 19, Total Iterations: 6300, Iteration per second: 331.578947, Best solution: 638591 found at 17s
Seconds: 19, Total Iterations: 6400, Iteration per second: 336.842105, Best solution: 638591 found at 17s
Seconds: 19, Total Iterations: 6500, Iteration per second: 342.105263, Best solution: 638591 found at 17s
Seconds: 19, Total Iterations: 6600, Iteration per second: 347.368421, Best solution: 638591 found at 17s
Seconds: 19, Total Iterations: 6700, Iteration per second: 352.631579, Best solution: 638591 found at 17s
Seconds: 19, Total Iterations: 6800, Iteration per second: 357.894737, Best solution: 638591 found at 17s
Seconds: 19, Total Iterations: 6900, Iteration per second: 363.157895, Best solution: 638785 found at 19s
Seconds: 20, Total Iterations: 7000, Iteration per second: 350.000000, Best solution: 638876 found at 20s
Seconds: 20, Total Iterations: 7100, Iteration per second: 355.000000, Best solution: 638926 found at 20s
