Running GRASP algorithm...
Running with 31 threads (Available processors: 31).
Seconds: 2, Total Iterations: 100, Iteration per second: 50.000000, Best solution: 390828 found at 2s
Seconds: 3, Total Iterations: 200, Iteration per second: 66.666667, Best solution: 391675 found at 3s
Seconds: 3, Total Iterations: 300, Iteration per second: 100.000000, Best solution: 393196 found at 3s
Seconds: 3, Total Iterations: 400, Iteration per second: 133.333333, Best solution: 393864 found at 3s
Seconds: 4, Total Iterations: 500, Iteration per second: 125.000000, Best solution: 393920 found at 4s
Seconds: 4, Total Iterations: 600, Iteration per second: 150.000000, Best solution: 393966 found at 4s
Seconds: 5, Total Iterations: 700, Iteration per second: 140.000000, Best solution: 393984 found at 5s
Seconds: 5, Total Iterations: 800, Iteration per second: 160.000000, Best solution: 394622 found at 5s
Seconds: 5, Total Iterations: 900, Iteration per second: 180.000000, Best solution: 394711 found at 5s
Seconds: 6, Total Iterations: 1000, Iteration per second: 166.666667, Best solution: 394876 found at 6s
Seconds: 6, Total Iterations: 1100, Iteration per second: 183.333333, Best solution: 395205 found at 6s
Seconds: 6, Total Iterations: 1200, Iteration per second: 200.000000, Best solution: 395477 found at 6s
Seconds: 7, Total Iterations: 1300, Iteration per second: 185.714286, Best solution: 395509 found at 7s
Seconds: 7, Total Iterations: 1400, Iteration per second: 200.000000, Best solution: 395718 found at 7s
Seconds: 7, Total Iterations: 1500, Iteration per second: 214.285714, Best solution: 395826 found at 7s
Seconds: 8, Total Iterations: 1600, Iteration per second: 200.000000, Best solution: 395884 found at 8s
Seconds: 8, Total Iterations: 1700, Iteration per second: 212.500000, Best solution: 395899 found at 8s
Seconds: 9, Total Iterations: 1800, Iteration per second: 200.000000, Best solution: 395929 found at 9s
Seconds: 9, Total Iterations: 1900, Iteration per second: 211.111111, Best solution: 395929 found at 9s
Seconds: 9, Total Iterations: 2000, Iteration per second: 222.222222, Best solution: 395945 found at 9s
Seconds: 10, Total Iterations: 2100, Iteration per second: 210.000000, Best solution: 395960 found at 10s
Seconds: 10, Total Iterations: 2200, Iteration per second: 220.000000, Best solution: 395960 found at 10s
Seconds: 11, Total Iterations: 2300, Iteration per second: 209.090909, Best solution: 395982 found at 10s
Seconds: 11, Total Iterations: 2400, Iteration per second: 218.181818, Best solution: 396010 found at 11s
Seconds: 11, Total Iterations: 2500, Iteration per second: 227.272727, Best solution: 396268 found at 11s
Seconds: 12, Total Iterations: 2600, Iteration per second: 216.666667, Best solution: 396296 found at 11s
Seconds: 12, Total Iterations: 2700, Iteration per second: 225.000000, Best solution: 396304 found at 12s
Seconds: 12, Total Iterations: 2800, Iteration per second: 233.333333, Best solution: 396305 found at 12s
Seconds: 13, Total Iterations: 2900, Iteration per second: 223.076923, Best solution: 396317 found at 12s
Seconds: 13, Total Iterations: 3000, Iteration per second: 230.769231, Best solution: 396317 found at 12s
Seconds: 13, Total Iterations: 3100, Iteration per second: 238.461538, Best solution: 396358 found at 13s
Seconds: 14, Total Iterations: 3200, Iteration per second: 228.571429, Best solution: 396365 found at 14s
Seconds: 14, Total Iterations: 3300, Iteration per second: 235.714286, Best solution: 396365 found at 14s
Seconds: 14, Total Iterations: 3400, Iteration per second: 242.857143, Best solution: 396372 found at 14s
Seconds: 15, Total Iterations: 3500, Iteration per second: 233.333333, Best solution: 396386 found at 15s
Seconds: 15, Total Iterations: 3600, Iteration per second: 240.000000, Best solution: 396386 found at 15s
Seconds: 15, Total Iterations: 3700, Iteration per second: 246.666667, Best solution: 396392 found at 15s
Seconds: 16, Total Iterations: 3800, Iteration per second: 237.500000, Best solution: 396392 found at 15s
Seconds: 16, Total Iterations: 3900, Iteration per second: 243.750000, Best solution: 396400 found at 16s
Seconds: 17, Total Iterations: 4000, Iteration per second: 235.294118, Best solution: 396403 found at 16s
Seconds: 17, Total Iterations: 4100, Iteration per second: 241.176471, Best solution: 396403 found at 16s
Seconds: 17, Total Iterations: 4200, Iteration per second: 247.058824, Best solution: 396403 found at 16s
Seconds: 18, Total Iterations: 4300, Iteration per second: 238.888889, Best solution: 396552 found at 18s
Seconds: 18, Total Iterations: 4400, Iteration per second: 244.444444, Best solution: 396583 found at 18s
Seconds: 18, Total Iterations: 4500, Iteration per second: 250.000000, Best solution: 396583 found at 18s
Seconds: 19, Total Iterations: 4600, Iteration per second: 242.105263, Best solution: 396583 found at 18s
Seconds: 19, Total Iterations: 4700, Iteration per second: 247.368421, Best solution: 396583 found at 18s
Seconds: 19, Total Iterations: 4800, Iteration per second: 252.631579, Best solution: 396583 found at 18s
Seconds: 20, Total Iterations: 4900, Iteration per second: 245.000000, Best solution: 396626 found at 20s
Seconds: 20, Total Iterations: 5000, Iteration per second: 250.000000, Best solution: 396682 found at 20s
Seconds: 20, Total Iterations: 5100, Iteration per second: 255.000000, Best solution: 396687 found at 20s
