Running GRASP algorithm...
Running with 31 threads (Available processors: 31).
Seconds: 2, Total Iterations: 100, Iteration per second: 50.000000, Best solution: 389400 found at 2s
Seconds: 3, Total Iterations: 200, Iteration per second: 66.666667, Best solution: 391133 found at 3s
Seconds: 3, Total Iterations: 300, Iteration per second: 100.000000, Best solution: 391478 found at 3s
Seconds: 4, Total Iterations: 400, Iteration per second: 100.000000, Best solution: 393610 found at 4s
Seconds: 4, Total Iterations: 500, Iteration per second: 125.000000, Best solution: 394155 found at 4s
Seconds: 4, Total Iterations: 600, Iteration per second: 150.000000, Best solution: 394221 found at 4s
Seconds: 5, Total Iterations: 700, Iteration per second: 140.000000, Best solution: 394445 found at 5s
Seconds: 5, Total Iterations: 800, Iteration per second: 160.000000, Best solution: 394445 found at 5s
Seconds: 5, Total Iterations: 900, Iteration per second: 180.000000, Best solution: 394553 found at 5s
Seconds: 5, Total Iterations: 1000, Iteration per second: 200.000000, Best solution: 394560 found at 5s
Seconds: 6, Total Iterations: 1100, Iteration per second: 183.333333, Best solution: 394576 found at 5s
Seconds: 7, Total Iterations: 1200, Iteration per second: 171.428571, Best solution: 394576 found at 5s
Seconds: 7, Total Iterations: 1300, Iteration per second: 185.714286, Best solution: 394595 found at 7s
Seconds: 7, Total Iterations: 1400, Iteration per second: 200.000000, Best solution: 394664 found at 7s
Seconds: 7, Total Iterations: 1500, Iteration per second: 214.285714, Best solution: 394671 found at 7s
Seconds: 8, Total Iterations: 1600, Iteration per second: 200.000000, Best solution: 394671 found at 7s
Seconds: 8, Total Iterations: 1700, Iteration per second: 212.500000, Best solution: 394683 found at 8s
Seconds: 8, Total Iterations: 1800, Iteration per second: 225.000000, Best solution: 394758 found at 8s
Seconds: 8, Total Iterations: 1900, Iteration per second: 237.500000, Best solution: 394793 found at 8s
Seconds: 9, Total Iterations: 2000, Iteration per second: 222.222222, Best solution: 394793 found at 8s
Seconds: 9, Total Iterations: 2100, Iteration per second: 233.333333, Best solution: 394863 found at 9s
Seconds: 9, Total Iterations: 2200, Iteration per second: 244.444444, Best solution: 394863 found at 9s
Seconds: 9, Total Iterations: 2300, Iteration per second: 255.555556, Best solution: 394890 found at 9s
Seconds: 10, Total Iterations: 2400, Iteration per second: 240.000000, Best solution: 394890 found at 9s
Seconds: 10, Total Iterations: 2500, Iteration per second: 250.000000, Best solution: 394890 found at 9s
Seconds: 10, Total Iterations: 2600, Iteration per second: 260.000000, Best solution: 394890 found at 9s
Seconds: 11, Total Iterations: 2700, Iteration per second: 245.454545, Best solution: 394890 found at 9s
Seconds: 11, Total Iterations: 2800, Iteration per second: 254.545455, Best solution: 394890 found at 9s
Seconds: 11, Total Iterations: 2900, Iteration per second: 263.636364, Best solution: 394902 found at 11s
Seconds: 11, Total Iterations: 3000, Iteration per second: 272.727273, Best solution: 394902 found at 11s
Seconds: 12, Total Iterations: 3100, Iteration per second: 258.333333, Best solution: 394902 found at 11s
Seconds: 12, Total Iterations: 3200, Iteration per second: 266.666667, Best solution: 394902 found at 11s
Seconds: 12, Total Iterations: 3300, Iteration per second: 275.000000, Best solution: 394902 found at 11s
Seconds: 13, Total Iterations: 3400, Iteration per second: 261.538462, Best solution: 394902 found at 11s
Seconds: 13, Total Iterations: 3500, Iteration per second: 269.230769, Best solution: 394902 found at 11s
Seconds: 13, Total Iterations: 3600, Iteration per second: 276.923077, Best solution: 394902 found at 11s
Seconds: 13, Total Iterations: 3700, Iteration per second: 284.615385, Best solution: 394902 found at 11s
Seconds: 14, Total Iterations: 3800, Iteration per second: 271.428571, Best solution: 394902 found at 11s
Seconds: 14, Total Iterations: 3900, Iteration per second: 278.571429, Best solution: 394902 found at 11s
Seconds: 14, Total Iterations: 4000, Iteration per second: 285.714286, Best solution: 394908 found at 14s
Seconds: 14, Total Iterations: 4100, Iteration per second: 292.857143, Best solution: 394908 found at 14s
Seconds: 15, Total Iterations: 4200, Iteration per second: 280.000000, Best solution: 394908 found at 14s
Seconds: 15, Total Iterations: 4300, Iteration per second: 286.666667, Best solution: 394908 found at 14s
Seconds: 15, Total Iterations: 4400, Iteration per second: 293.333333, Best solution: 394908 found at 14s
Seconds: 16, Total Iterations: 4500, Iteration per second: 281.250000, Best solution: 394908 found at 14s
Seconds: 16, Total Iterations: 4600, Iteration per second: 287.500000, Best solution: 395122 found at 16s
Seconds: 16, Total Iterations: 4700, Iteration per second: 293.750000, Best solution: 395526 found at 16s
Seconds: 16, Total Iterations: 4800, Iteration per second: 300.000000, Best solution: 395594 found at 16s
Seconds: 17, Total Iterations: 4900, Iteration per second: 288.235294, Best solution: 395785 found at 17s
Seconds: 17, Total Iterations: 5000, Iteration per second: 294.117647, Best solution: 395849 found at 17s
Seconds: 17, Total Iterations: 5100, Iteration per second: 300.000000, Best solution: 395857 found at 17s
Seconds: 17, Total Iterations: 5200, Iteration per second: 305.882353, Best solution: 395863 found at 17s
Seconds: 18, Total Iterations: 5300, Iteration per second: 294.444444, Best solution: 395864 found at 18s
Seconds: 18, Total Iterations: 5400, Iteration per second: 300.000000, Best solution: 395864 found at 18s
Seconds: 18, Total Iterations: 5500, Iteration per second: 305.555556, Best solution: 396003 found at 18s
Seconds: 18, Total Iterations: 5600, Iteration per second: 311.111111, Best solution: 396003 found at 18s
Seconds: 19, Total Iterations: 5700, Iteration per second: 300.000000, Best solution: 396003 found at 18s
Seconds: 19, Total Iterations: 5800, Iteration per second: 305.263158, Best solution: 396003 found at 18s
Seconds: 19, Total Iterations: 5900, Iteration per second: 310.526316, Best solution: 396003 found at 18s
Seconds: 20, Total Iterations: 6000, Iteration per second: 300.000000, Best solution: 396003 found at 18s
Seconds: 20, Total Iterations: 6100, Iteration per second: 305.000000, Best solution: 396003 found at 18s
Seconds: 20, Total Iterations: 6200, Iteration per second: 310.000000, Best solution: 396003 found at 18s
Seconds: 20, Total Iterations: 6300, Iteration per second: 315.000000, Best solution: 396004 found at 20s
Seconds: 21, Total Iterations: 6400, Iteration per second: 304.761905, Best solution: 396012 found at 20s
Seconds: 21, Total Iterations: 6500, Iteration per second: 309.523810, Best solution: 396012 found at 20s
Seconds: 21, Total Iterations: 6600, Iteration per second: 314.285714, Best solution: 396012 found at 20s
Seconds: 21, Total Iterations: 6700, Iteration per second: 319.047619, Best solution: 396016 found at 21s
Seconds: 22, Total Iterations: 6800, Iteration per second: 309.090909, Best solution: 396016 found at 21s
Seconds: 22, Total Iterations: 6900, Iteration per second: 313.636364, Best solution: 396016 found at 21s
Seconds: 22, Total Iterations: 7000, Iteration per second: 318.181818, Best solution: 396017 found at 22s
Seconds: 22, Total Iterations: 7100, Iteration per second: 322.727273, Best solution: 396017 found at 22s
Seconds: 23, Total Iterations: 7200, Iteration per second: 313.043478, Best solution: 396017 found at 22s
Seconds: 23, Total Iterations: 7300, Iteration per second: 317.391304, Best solution: 396017 found at 22s
Seconds: 23, Total Iterations: 7400, Iteration per second: 321.739130, Best solution: 396017 found at 22s
Seconds: 23, Total Iterations: 7500, Iteration per second: 326.086957, Best solution: 396017 found at 22s
Seconds: 24, Total Iterations: 7600, Iteration per second: 316.666667, Best solution: 396017 found at 22s
