Running GRASP algorithm...
Running with 1 threads (Available processors: 1).
Seconds: 2, Total Iterations: 100, Iteration per second: 50.000000, Best solution: 532083 found at 2s
Seconds: 3, Total Iterations: 200, Iteration per second: 66.666667, Best solution: 532488 found at 2s
Seconds: 3, Total Iterations: 300, Iteration per second: 100.000000, Best solution: 532488 found at 2s
Seconds: 4, Total Iterations: 400, Iteration per second: 100.000000, Best solution: 532488 found at 2s
Seconds: 5, Total Iterations: 500, Iteration per second: 100.000000, Best solution: 532488 found at 2s
Seconds: 5, Total Iterations: 600, Iteration per second: 120.000000, Best solution: 532488 found at 2s
Seconds: 6, Total Iterations: 700, Iteration per second: 116.666667, Best solution: 532488 found at 2s
Seconds: 6, Total Iterations: 800, Iteration per second: 133.333333, Best solution: 532488 found at 2s
Seconds: 6, Total Iterations: 900, Iteration per second: 150.000000, Best solution: 532488 found at 2s
Seconds: 7, Total Iterations: 1000, Iteration per second: 142.857143, Best solution: 532514 found at 7s
Seconds: 7, Total Iterations: 1100, Iteration per second: 157.142857, Best solution: 532514 found at 7s
Seconds: 8, Total Iterations: 1200, Iteration per second: 150.000000, Best solution: 532514 found at 7s
Seconds: 8, Total Iterations: 1300, Iteration per second: 162.500000, Best solution: 532514 found at 7s
Seconds: 8, Total Iterations: 1400, Iteration per second: 175.000000, Best solution: 532514 found at 7s
Seconds: 9, Total Iterations: 1500, Iteration per second: 166.666667, Best solution: 532514 found at 7s
Seconds: 9, Total Iterations: 1600, Iteration per second: 177.777778, Best solution: 532514 found at 7s
Seconds: 9, Total Iterations: 1700, Iteration per second: 188.888889, Best solution: 532514 found at 7s
Seconds: 10, Total Iterations: 1800, Iteration per second: 180.000000, Best solution: 532514 found at 7s
Seconds: 10, Total Iterations: 1900, Iteration per second: 190.000000, Best solution: 532514 found at 7s
Seconds: 11, Total Iterations: 2000, Iteration per second: 181.818182, Best solution: 532514 found at 7s
Seconds: 11, Total Iterations: 2100, Iteration per second: 190.909091, Best solution: 532514 found at 7s
Seconds: 12, Total Iterations: 2200, Iteration per second: 183.333333, Best solution: 532514 found at 7s
Seconds: 12, Total Iterations: 2300, Iteration per second: 191.666667, Best solution: 532514 found at 7s
Seconds: 12, Total Iterations: 2400, Iteration per second: 200.000000, Best solution: 532514 found at 7s
Seconds: 13, Total Iterations: 2500, Iteration per second: 192.307692, Best solution: 532514 found at 7s
Seconds: 13, Total Iterations: 2600, Iteration per second: 200.000000, Best solution: 532514 found at 7s
Seconds: 14, Total Iterations: 2700, Iteration per second: 192.857143, Best solution: 532514 found at 7s
Seconds: 14, Total Iterations: 2800, Iteration per second: 200.000000, Best solution: 532514 found at 7s
Seconds: 14, Total Iterations: 2900, Iteration per second: 207.142857, Best solution: 532514 found at 7s
Seconds: 15, Total Iterations: 3000, Iteration per second: 200.000000, Best solution: 532514 found at 7s
Seconds: 15, Total Iterations: 3100, Iteration per second: 206.666667, Best solution: 532514 found at 7s
Seconds: 15, Total Iterations: 3200, Iteration per second: 213.333333, Best solution: 532514 found at 7s
Seconds: 16, Total Iterations: 3300, Iteration per second: 206.250000, Best solution: 532514 found at 7s
