Running GRASP algorithm...
Running with 31 threads (Available processors: 31).
Seconds: 2, Total Iterations: 100, Iteration per second: 50.000000, Best solution: 924066 found at 2s
Seconds: 3, Total Iterations: 200, Iteration per second: 66.666667, Best solution: 928013 found at 3s
Seconds: 3, Total Iterations: 300, Iteration per second: 100.000000, Best solution: 934756 found at 3s
Seconds: 4, Total Iterations: 400, Iteration per second: 100.000000, Best solution: 936002 found at 4s
Seconds: 5, Total Iterations: 500, Iteration per second: 100.000000, Best solution: 938385 found at 4s
Seconds: 5, Total Iterations: 600, Iteration per second: 120.000000, Best solution: 940388 found at 5s
Seconds: 6, Total Iterations: 700, Iteration per second: 116.666667, Best solution: 941938 found at 5s
Seconds: 6, Total Iterations: 800, Iteration per second: 133.333333, Best solution: 943803 found at 6s
Seconds: 7, Total Iterations: 900, Iteration per second: 128.571429, Best solution: 943803 found at 6s
Seconds: 7, Total Iterations: 1000, Iteration per second: 142.857143, Best solution: 943846 found at 7s
Seconds: 8, Total Iterations: 1100, Iteration per second: 137.500000, Best solution: 943846 found at 7s
Seconds: 8, Total Iterations: 1200, Iteration per second: 150.000000, Best solution: 943846 found at 7s
Seconds: 9, Total Iterations: 1300, Iteration per second: 144.444444, Best solution: 943846 found at 7s
Seconds: 9, Total Iterations: 1400, Iteration per second: 155.555556, Best solution: 943846 found at 7s
Seconds: 10, Total Iterations: 1500, Iteration per second: 150.000000, Best solution: 943846 found at 7s
Seconds: 10, Total Iterations: 1600, Iteration per second: 160.000000, Best solution: 943846 found at 7s
Seconds: 11, Total Iterations: 1700, Iteration per second: 154.545455, Best solution: 943846 found at 7s
Seconds: 11, Total Iterations: 1800, Iteration per second: 163.636364, Best solution: 943846 found at 7s
Seconds: 12, Total Iterations: 1900, Iteration per second: 158.333333, Best solution: 943846 found at 7s
Seconds: 12, Total Iterations: 2000, Iteration per second: 166.666667, Best solution: 943846 found at 7s
Seconds: 13, Total Iterations: 2100, Iteration per second: 161.538462, Best solution: 943846 found at 7s
Seconds: 13, Total Iterations: 2200, Iteration per second: 169.230769, Best solution: 943846 found at 7s
Seconds: 13, Total Iterations: 2300, Iteration per second: 176.923077, Best solution: 943846 found at 7s
Seconds: 14, Total Iterations: 2400, Iteration per second: 171.428571, Best solution: 943846 found at 7s
Seconds: 14, Total Iterations: 2500, Iteration per second: 178.571429, Best solution: 943846 found at 7s
Seconds: 15, Total Iterations: 2600, Iteration per second: 173.333333, Best solution: 943846 found at 7s
Seconds: 15, Total Iterations: 2700, Iteration per second: 180.000000, Best solution: 943846 found at 7s
Seconds: 16, Total Iterations: 2800, Iteration per second: 175.000000, Best solution: 943846 found at 7s
