Running GRASP algorithm...
Running with 31 threads (Available processors: 31).
Seconds: 2, Total Iterations: 100, Iteration per second: 50.000000, Best solution: 666603 found at 2s
Seconds: 3, Total Iterations: 200, Iteration per second: 66.666667, Best solution: 668477 found at 3s
Seconds: 3, Total Iterations: 300, Iteration per second: 100.000000, Best solution: 670386 found at 3s
Seconds: 4, Total Iterations: 400, Iteration per second: 100.000000, Best solution: 670952 found at 3s
Seconds: 4, Total Iterations: 500, Iteration per second: 125.000000, Best solution: 671044 found at 4s
Seconds: 5, Total Iterations: 600, Iteration per second: 120.000000, Best solution: 671065 found at 5s
Seconds: 5, Total Iterations: 700, Iteration per second: 140.000000, Best solution: 671199 found at 5s
Seconds: 6, Total Iterations: 800, Iteration per second: 133.333333, Best solution: 671199 found at 5s
Seconds: 6, Total Iterations: 900, Iteration per second: 150.000000, Best solution: 671466 found at 6s
Seconds: 7, Total Iterations: 1000, Iteration per second: 142.857143, Best solution: 671521 found at 7s
Seconds: 8, Total Iterations: 1100, Iteration per second: 137.500000, Best solution: 671635 found at 8s
Seconds: 8, Total Iterations: 1200, Iteration per second: 150.000000, Best solution: 671816 found at 8s
Seconds: 9, Total Iterations: 1300, Iteration per second: 144.444444, Best solution: 671884 found at 9s
Seconds: 9, Total Iterations: 1400, Iteration per second: 155.555556, Best solution: 672222 found at 9s
Seconds: 10, Total Iterations: 1500, Iteration per second: 150.000000, Best solution: 672235 found at 9s
Seconds: 10, Total Iterations: 1600, Iteration per second: 160.000000, Best solution: 672259 found at 10s
Seconds: 11, Total Iterations: 1700, Iteration per second: 154.545455, Best solution: 672259 found at 10s
Seconds: 11, Total Iterations: 1800, Iteration per second: 163.636364, Best solution: 672261 found at 11s
Seconds: 12, Total Iterations: 1900, Iteration per second: 158.333333, Best solution: 672261 found at 11s
Seconds: 12, Total Iterations: 2000, Iteration per second: 166.666667, Best solution: 672261 found at 11s
Seconds: 13, Total Iterations: 2100, Iteration per second: 161.538462, Best solution: 672261 found at 11s
Seconds: 13, Total Iterations: 2200, Iteration per second: 169.230769, Best solution: 672267 found at 13s
Seconds: 14, Total Iterations: 2300, Iteration per second: 164.285714, Best solution: 672267 found at 13s
Seconds: 14, Total Iterations: 2400, Iteration per second: 171.428571, Best solution: 672295 found at 14s
Seconds: 15, Total Iterations: 2500, Iteration per second: 166.666667, Best solution: 672312 found at 14s
Seconds: 15, Total Iterations: 2600, Iteration per second: 173.333333, Best solution: 672312 found at 14s
Seconds: 16, Total Iterations: 2700, Iteration per second: 168.750000, Best solution: 672312 found at 14s
Seconds: 16, Total Iterations: 2800, Iteration per second: 175.000000, Best solution: 672312 found at 14s
Seconds: 17, Total Iterations: 2900, Iteration per second: 170.588235, Best solution: 672514 found at 17s
Seconds: 17, Total Iterations: 3000, Iteration per second: 176.470588, Best solution: 672573 found at 17s
Seconds: 18, Total Iterations: 3100, Iteration per second: 172.222222, Best solution: 672573 found at 17s
Seconds: 18, Total Iterations: 3200, Iteration per second: 177.777778, Best solution: 672576 found at 18s
Seconds: 19, Total Iterations: 3300, Iteration per second: 173.684211, Best solution: 672609 found at 19s
Seconds: 19, Total Iterations: 3400, Iteration per second: 178.947368, Best solution: 672616 found at 19s
Seconds: 20, Total Iterations: 3500, Iteration per second: 175.000000, Best solution: 672617 found at 19s
