Running GRASP algorithm...
Running with 31 threads (Available processors: 31).
Seconds: 1, Total Iterations: 100, Iteration per second: 100.000000, Best solution: 648658 found at 1s
Seconds: 2, Total Iterations: 200, Iteration per second: 100.000000, Best solution: 652754 found at 2s
Seconds: 2, Total Iterations: 300, Iteration per second: 150.000000, Best solution: 652754 found at 2s
Seconds: 2, Total Iterations: 400, Iteration per second: 200.000000, Best solution: 652754 found at 2s
Seconds: 2, Total Iterations: 500, Iteration per second: 250.000000, Best solution: 652754 found at 2s
Seconds: 2, Total Iterations: 600, Iteration per second: 300.000000, Best solution: 652754 found at 2s
Seconds: 2, Total Iterations: 700, Iteration per second: 350.000000, Best solution: 653104 found at 2s
Seconds: 2, Total Iterations: 800, Iteration per second: 400.000000, Best solution: 653504 found at 2s
Seconds: 3, Total Iterations: 900, Iteration per second: 300.000000, Best solution: 654718 found at 3s
Seconds: 3, Total Iterations: 1000, Iteration per second: 333.333333, Best solution: 654718 found at 3s
Seconds: 3, Total Iterations: 1100, Iteration per second: 366.666667, Best solution: 656452 found at 3s
Seconds: 3, Total Iterations: 1200, Iteration per second: 400.000000, Best solution: 656452 found at 3s
Seconds: 3, Total Iterations: 1300, Iteration per second: 433.333333, Best solution: 656452 found at 3s
Seconds: 3, Total Iterations: 1400, Iteration per second: 466.666667, Best solution: 656452 found at 3s
Seconds: 4, Total Iterations: 1500, Iteration per second: 375.000000, Best solution: 656452 found at 3s
Seconds: 4, Total Iterations: 1600, Iteration per second: 400.000000, Best solution: 656453 found at 4s
Seconds: 4, Total Iterations: 1700, Iteration per second: 425.000000, Best solution: 656453 found at 4s
Seconds: 4, Total Iterations: 1800, Iteration per second: 450.000000, Best solution: 656609 found at 4s
Seconds: 4, Total Iterations: 1900, Iteration per second: 475.000000, Best solution: 656609 found at 4s
Seconds: 4, Total Iterations: 2000, Iteration per second: 500.000000, Best solution: 656609 found at 4s
Seconds: 4, Total Iterations: 2100, Iteration per second: 525.000000, Best solution: 656609 found at 4s
Seconds: 5, Total Iterations: 2200, Iteration per second: 440.000000, Best solution: 656609 found at 4s
Seconds: 5, Total Iterations: 2300, Iteration per second: 460.000000, Best solution: 656609 found at 4s
Seconds: 5, Total Iterations: 2400, Iteration per second: 480.000000, Best solution: 656609 found at 4s
Seconds: 5, Total Iterations: 2500, Iteration per second: 500.000000, Best solution: 656609 found at 4s
Seconds: 5, Total Iterations: 2600, Iteration per second: 520.000000, Best solution: 656609 found at 4s
Seconds: 5, Total Iterations: 2700, Iteration per second: 540.000000, Best solution: 656609 found at 4s
Seconds: 6, Total Iterations: 2800, Iteration per second: 466.666667, Best solution: 656609 found at 4s
Seconds: 6, Total Iterations: 2900, Iteration per second: 483.333333, Best solution: 656609 found at 4s
Seconds: 6, Total Iterations: 3000, Iteration per second: 500.000000, Best solution: 656609 found at 4s
Seconds: 6, Total Iterations: 3100, Iteration per second: 516.666667, Best solution: 656609 found at 4s
Seconds: 6, Total Iterations: 3200, Iteration per second: 533.333333, Best solution: 656609 found at 4s
Seconds: 6, Total Iterations: 3300, Iteration per second: 550.000000, Best solution: 656609 found at 4s
Seconds: 7, Total Iterations: 3400, Iteration per second: 485.714286, Best solution: 656609 found at 4s
Seconds: 7, Total Iterations: 3500, Iteration per second: 500.000000, Best solution: 656609 found at 4s
Seconds: 7, Total Iterations: 3600, Iteration per second: 514.285714, Best solution: 656609 found at 4s
Seconds: 7, Total Iterations: 3700, Iteration per second: 528.571429, Best solution: 656609 found at 4s
Seconds: 7, Total Iterations: 3800, Iteration per second: 542.857143, Best solution: 656609 found at 4s
Seconds: 7, Total Iterations: 3900, Iteration per second: 557.142857, Best solution: 656609 found at 4s
Seconds: 8, Total Iterations: 4000, Iteration per second: 500.000000, Best solution: 656609 found at 4s
Seconds: 8, Total Iterations: 4100, Iteration per second: 512.500000, Best solution: 656609 found at 4s
Seconds: 8, Total Iterations: 4200, Iteration per second: 525.000000, Best solution: 656609 found at 4s
Seconds: 8, Total Iterations: 4300, Iteration per second: 537.500000, Best solution: 656609 found at 4s
Seconds: 8, Total Iterations: 4400, Iteration per second: 550.000000, Best solution: 656609 found at 4s
Seconds: 8, Total Iterations: 4500, Iteration per second: 562.500000, Best solution: 656609 found at 4s
Seconds: 8, Total Iterations: 4600, Iteration per second: 575.000000, Best solution: 656609 found at 4s
Seconds: 9, Total Iterations: 4700, Iteration per second: 522.222222, Best solution: 656609 found at 4s
Seconds: 9, Total Iterations: 4800, Iteration per second: 533.333333, Best solution: 656609 found at 4s
Seconds: 9, Total Iterations: 4900, Iteration per second: 544.444444, Best solution: 656609 found at 4s
Seconds: 9, Total Iterations: 5000, Iteration per second: 555.555556, Best solution: 656609 found at 4s
Seconds: 9, Total Iterations: 5100, Iteration per second: 566.666667, Best solution: 656609 found at 4s
Seconds: 9, Total Iterations: 5200, Iteration per second: 577.777778, Best solution: 656609 found at 4s
Seconds: 10, Total Iterations: 5300, Iteration per second: 530.000000, Best solution: 656609 found at 4s
Seconds: 10, Total Iterations: 5400, Iteration per second: 540.000000, Best solution: 656609 found at 4s
Seconds: 10, Total Iterations: 5500, Iteration per second: 550.000000, Best solution: 656609 found at 4s
Seconds: 10, Total Iterations: 5600, Iteration per second: 560.000000, Best solution: 656609 found at 4s
Seconds: 10, Total Iterations: 5700, Iteration per second: 570.000000, Best solution: 656609 found at 4s
Seconds: 10, Total Iterations: 5800, Iteration per second: 580.000000, Best solution: 656711 found at 10s
Seconds: 11, Total Iterations: 5900, Iteration per second: 536.363636, Best solution: 656711 found at 10s
Seconds: 11, Total Iterations: 6000, Iteration per second: 545.454545, Best solution: 656711 found at 10s
Seconds: 11, Total Iterations: 6100, Iteration per second: 554.545455, Best solution: 656711 found at 10s
Seconds: 11, Total Iterations: 6200, Iteration per second: 563.636364, Best solution: 656711 found at 10s
Seconds: 11, Total Iterations: 6300, Iteration per second: 572.727273, Best solution: 656711 found at 10s
Seconds: 11, Total Iterations: 6400, Iteration per second: 581.818182, Best solution: 656711 found at 10s
Seconds: 12, Total Iterations: 6500, Iteration per second: 541.666667, Best solution: 656711 found at 10s
Seconds: 12, Total Iterations: 6600, Iteration per second: 550.000000, Best solution: 656711 found at 10s
Seconds: 12, Total Iterations: 6700, Iteration per second: 558.333333, Best solution: 656711 found at 10s
Seconds: 12, Total Iterations: 6800, Iteration per second: 566.666667, Best solution: 656711 found at 10s
Seconds: 12, Total Iterations: 6900, Iteration per second: 575.000000, Best solution: 656711 found at 10s
Seconds: 12, Total Iterations: 7000, Iteration per second: 583.333333, Best solution: 656711 found at 10s
Seconds: 12, Total Iterations: 7100, Iteration per second: 591.666667, Best solution: 656711 found at 10s
Seconds: 13, Total Iterations: 7200, Iteration per second: 553.846154, Best solution: 656711 found at 10s
Seconds: 13, Total Iterations: 7300, Iteration per second: 561.538462, Best solution: 656711 found at 10s
Seconds: 13, Total Iterations: 7400, Iteration per second: 569.230769, Best solution: 656711 found at 10s
Seconds: 13, Total Iterations: 7500, Iteration per second: 576.923077, Best solution: 656711 found at 10s
Seconds: 13, Total Iterations: 7600, Iteration per second: 584.615385, Best solution: 656711 found at 10s
Seconds: 13, Total Iterations: 7700, Iteration per second: 592.307692, Best solution: 656711 found at 10s
Seconds: 14, Total Iterations: 7800, Iteration per second: 557.142857, Best solution: 656711 found at 10s
Seconds: 14, Total Iterations: 7900, Iteration per second: 564.285714, Best solution: 656711 found at 10s
Seconds: 14, Total Iterations: 8000, Iteration per second: 571.428571, Best solution: 656711 found at 10s
Seconds: 14, Total Iterations: 8100, Iteration per second: 578.571429, Best solution: 656711 found at 10s
Seconds: 14, Total Iterations: 8200, Iteration per second: 585.714286, Best solution: 656711 found at 10s
Seconds: 14, Total Iterations: 8300, Iteration per second: 592.857143, Best solution: 656711 found at 10s
Seconds: 15, Total Iterations: 8400, Iteration per second: 560.000000, Best solution: 656711 found at 10s
Seconds: 15, Total Iterations: 8500, Iteration per second: 566.666667, Best solution: 656711 found at 10s
Seconds: 15, Total Iterations: 8600, Iteration per second: 573.333333, Best solution: 656711 found at 10s
Seconds: 15, Total Iterations: 8700, Iteration per second: 580.000000, Best solution: 656711 found at 10s
Seconds: 15, Total Iterations: 8800, Iteration per second: 586.666667, Best solution: 656711 found at 10s
Seconds: 15, Total Iterations: 8900, Iteration per second: 593.333333, Best solution: 656711 found at 10s
Seconds: 15, Total Iterations: 9000, Iteration per second: 600.000000, Best solution: 656711 found at 10s
Seconds: 16, Total Iterations: 9100, Iteration per second: 568.750000, Best solution: 656711 found at 10s
Seconds: 16, Total Iterations: 9200, Iteration per second: 575.000000, Best solution: 656711 found at 10s
