Running GRASP algorithm...
Running with 31 threads (Available processors: 31).
Seconds: 1, Total Iterations: 100, Iteration per second: 100.000000, Best solution: 1181063 found at 1s
Seconds: 2, Total Iterations: 200, Iteration per second: 100.000000, Best solution: 1192888 found at 2s
Seconds: 2, Total Iterations: 300, Iteration per second: 150.000000, Best solution: 1207608 found at 2s
Seconds: 2, Total Iterations: 400, Iteration per second: 200.000000, Best solution: 1208217 found at 2s
Seconds: 3, Total Iterations: 500, Iteration per second: 166.666667, Best solution: 1210440 found at 3s
Seconds: 3, Total Iterations: 600, Iteration per second: 200.000000, Best solution: 1210520 found at 3s
Seconds: 3, Total Iterations: 700, Iteration per second: 233.333333, Best solution: 1212639 found at 3s
Seconds: 4, Total Iterations: 800, Iteration per second: 200.000000, Best solution: 1213622 found at 3s
Seconds: 4, Total Iterations: 900, Iteration per second: 225.000000, Best solution: 1215169 found at 4s
Seconds: 4, Total Iterations: 1000, Iteration per second: 250.000000, Best solution: 1215169 found at 4s
Seconds: 4, Total Iterations: 1100, Iteration per second: 275.000000, Best solution: 1215451 found at 4s
Seconds: 5, Total Iterations: 1200, Iteration per second: 240.000000, Best solution: 1215451 found at 4s
Seconds: 5, Total Iterations: 1300, Iteration per second: 260.000000, Best solution: 1215451 found at 4s
Seconds: 5, Total Iterations: 1400, Iteration per second: 280.000000, Best solution: 1215451 found at 4s
Seconds: 6, Total Iterations: 1500, Iteration per second: 250.000000, Best solution: 1215451 found at 4s
Seconds: 6, Total Iterations: 1600, Iteration per second: 266.666667, Best solution: 1216631 found at 6s
Seconds: 6, Total Iterations: 1700, Iteration per second: 283.333333, Best solution: 1216631 found at 6s
Seconds: 7, Total Iterations: 1800, Iteration per second: 257.142857, Best solution: 1217458 found at 6s
Seconds: 7, Total Iterations: 1900, Iteration per second: 271.428571, Best solution: 1218527 found at 7s
Seconds: 7, Total Iterations: 2000, Iteration per second: 285.714286, Best solution: 1219567 found at 7s
Seconds: 7, Total Iterations: 2100, Iteration per second: 300.000000, Best solution: 1219802 found at 7s
Seconds: 8, Total Iterations: 2200, Iteration per second: 275.000000, Best solution: 1222320 found at 8s
Seconds: 8, Total Iterations: 2300, Iteration per second: 287.500000, Best solution: 1222579 found at 8s
Seconds: 8, Total Iterations: 2400, Iteration per second: 300.000000, Best solution: 1224992 found at 8s
Seconds: 9, Total Iterations: 2500, Iteration per second: 277.777778, Best solution: 1224992 found at 8s
Seconds: 9, Total Iterations: 2600, Iteration per second: 288.888889, Best solution: 1224992 found at 8s
Seconds: 9, Total Iterations: 2700, Iteration per second: 300.000000, Best solution: 1224992 found at 8s
Seconds: 9, Total Iterations: 2800, Iteration per second: 311.111111, Best solution: 1224992 found at 8s
Seconds: 10, Total Iterations: 2900, Iteration per second: 290.000000, Best solution: 1224992 found at 8s
Seconds: 10, Total Iterations: 3000, Iteration per second: 300.000000, Best solution: 1224992 found at 8s
Seconds: 10, Total Iterations: 3100, Iteration per second: 310.000000, Best solution: 1224992 found at 8s
Seconds: 11, Total Iterations: 3200, Iteration per second: 290.909091, Best solution: 1224992 found at 8s
Seconds: 11, Total Iterations: 3300, Iteration per second: 300.000000, Best solution: 1224992 found at 8s
Seconds: 11, Total Iterations: 3400, Iteration per second: 309.090909, Best solution: 1224992 found at 8s
Seconds: 12, Total Iterations: 3500, Iteration per second: 291.666667, Best solution: 1224992 found at 8s
Seconds: 12, Total Iterations: 3600, Iteration per second: 300.000000, Best solution: 1224992 found at 8s
Seconds: 12, Total Iterations: 3700, Iteration per second: 308.333333, Best solution: 1224992 found at 8s
Seconds: 12, Total Iterations: 3800, Iteration per second: 316.666667, Best solution: 1224992 found at 8s
Seconds: 13, Total Iterations: 3900, Iteration per second: 300.000000, Best solution: 1224992 found at 8s
Seconds: 13, Total Iterations: 4000, Iteration per second: 307.692308, Best solution: 1224992 found at 8s
Seconds: 13, Total Iterations: 4100, Iteration per second: 315.384615, Best solution: 1224992 found at 8s
Seconds: 14, Total Iterations: 4200, Iteration per second: 300.000000, Best solution: 1224992 found at 8s
Seconds: 14, Total Iterations: 4300, Iteration per second: 307.142857, Best solution: 1224992 found at 8s
Seconds: 14, Total Iterations: 4400, Iteration per second: 314.285714, Best solution: 1224992 found at 8s
Seconds: 15, Total Iterations: 4500, Iteration per second: 300.000000, Best solution: 1224992 found at 8s
Seconds: 15, Total Iterations: 4600, Iteration per second: 306.666667, Best solution: 1224992 found at 8s
Seconds: 15, Total Iterations: 4700, Iteration per second: 313.333333, Best solution: 1224992 found at 8s
Seconds: 15, Total Iterations: 4800, Iteration per second: 320.000000, Best solution: 1224992 found at 8s
Seconds: 16, Total Iterations: 4900, Iteration per second: 306.250000, Best solution: 1224992 found at 8s
Seconds: 16, Total Iterations: 5000, Iteration per second: 312.500000, Best solution: 1224992 found at 8s
Seconds: 16, Total Iterations: 5100, Iteration per second: 318.750000, Best solution: 1224992 found at 8s
Seconds: 17, Total Iterations: 5200, Iteration per second: 305.882353, Best solution: 1224992 found at 8s
Seconds: 17, Total Iterations: 5300, Iteration per second: 311.764706, Best solution: 1224992 found at 8s
Seconds: 17, Total Iterations: 5400, Iteration per second: 317.647059, Best solution: 1224992 found at 8s
Seconds: 17, Total Iterations: 5500, Iteration per second: 323.529412, Best solution: 1224992 found at 8s
Seconds: 18, Total Iterations: 5600, Iteration per second: 311.111111, Best solution: 1224992 found at 8s
Seconds: 18, Total Iterations: 5700, Iteration per second: 316.666667, Best solution: 1224992 found at 8s
Seconds: 18, Total Iterations: 5800, Iteration per second: 322.222222, Best solution: 1224992 found at 8s
Seconds: 19, Total Iterations: 5900, Iteration per second: 310.526316, Best solution: 1224992 found at 8s
Seconds: 19, Total Iterations: 6000, Iteration per second: 315.789474, Best solution: 1224992 found at 8s
Seconds: 19, Total Iterations: 6100, Iteration per second: 321.052632, Best solution: 1224992 found at 8s
Seconds: 20, Total Iterations: 6200, Iteration per second: 310.000000, Best solution: 1224992 found at 8s
Seconds: 20, Total Iterations: 6300, Iteration per second: 315.000000, Best solution: 1224992 found at 8s
Seconds: 20, Total Iterations: 6400, Iteration per second: 320.000000, Best solution: 1224992 found at 8s
Seconds: 20, Total Iterations: 6500, Iteration per second: 325.000000, Best solution: 1224992 found at 8s
Seconds: 21, Total Iterations: 6600, Iteration per second: 314.285714, Best solution: 1224992 found at 8s
Seconds: 21, Total Iterations: 6700, Iteration per second: 319.047619, Best solution: 1225007 found at 21s
Seconds: 21, Total Iterations: 6800, Iteration per second: 323.809524, Best solution: 1225007 found at 21s
Seconds: 22, Total Iterations: 6900, Iteration per second: 313.636364, Best solution: 1225007 found at 21s
Seconds: 22, Total Iterations: 7000, Iteration per second: 318.181818, Best solution: 1225007 found at 21s
Seconds: 22, Total Iterations: 7100, Iteration per second: 322.727273, Best solution: 1225007 found at 21s
Seconds: 22, Total Iterations: 7200, Iteration per second: 327.272727, Best solution: 1225007 found at 21s
Seconds: 23, Total Iterations: 7300, Iteration per second: 317.391304, Best solution: 1225007 found at 21s
Seconds: 23, Total Iterations: 7400, Iteration per second: 321.739130, Best solution: 1225007 found at 21s
Seconds: 23, Total Iterations: 7500, Iteration per second: 326.086957, Best solution: 1225007 found at 21s
Seconds: 24, Total Iterations: 7600, Iteration per second: 316.666667, Best solution: 1225007 found at 21s
Seconds: 24, Total Iterations: 7700, Iteration per second: 320.833333, Best solution: 1225007 found at 21s
Seconds: 24, Total Iterations: 7800, Iteration per second: 325.000000, Best solution: 1225007 found at 21s
Seconds: 25, Total Iterations: 7900, Iteration per second: 316.000000, Best solution: 1225007 found at 21s
Seconds: 25, Total Iterations: 8000, Iteration per second: 320.000000, Best solution: 1225007 found at 21s
Seconds: 25, Total Iterations: 8100, Iteration per second: 324.000000, Best solution: 1225007 found at 21s
Seconds: 25, Total Iterations: 8200, Iteration per second: 328.000000, Best solution: 1225007 found at 21s
Seconds: 26, Total Iterations: 8300, Iteration per second: 319.230769, Best solution: 1225007 found at 21s
Seconds: 26, Total Iterations: 8400, Iteration per second: 323.076923, Best solution: 1225007 found at 21s
Seconds: 26, Total Iterations: 8500, Iteration per second: 326.923077, Best solution: 1225007 found at 21s
Seconds: 27, Total Iterations: 8600, Iteration per second: 318.518519, Best solution: 1225007 found at 21s
Seconds: 27, Total Iterations: 8700, Iteration per second: 322.222222, Best solution: 1225007 found at 21s
Seconds: 27, Total Iterations: 8800, Iteration per second: 325.925926, Best solution: 1225007 found at 21s
Seconds: 28, Total Iterations: 8900, Iteration per second: 317.857143, Best solution: 1225007 found at 21s
Seconds: 28, Total Iterations: 9000, Iteration per second: 321.428571, Best solution: 1225007 found at 21s
Seconds: 28, Total Iterations: 9100, Iteration per second: 325.000000, Best solution: 1225007 found at 21s
Seconds: 28, Total Iterations: 9200, Iteration per second: 328.571429, Best solution: 1225007 found at 21s
Seconds: 29, Total Iterations: 9300, Iteration per second: 320.689655, Best solution: 1225007 found at 21s
Seconds: 29, Total Iterations: 9400, Iteration per second: 324.137931, Best solution: 1225007 found at 21s
Seconds: 29, Total Iterations: 9500, Iteration per second: 327.586207, Best solution: 1225007 found at 21s
Seconds: 30, Total Iterations: 9600, Iteration per second: 320.000000, Best solution: 1225007 found at 21s
Seconds: 30, Total Iterations: 9700, Iteration per second: 323.333333, Best solution: 1225007 found at 21s
Seconds: 30, Total Iterations: 9800, Iteration per second: 326.666667, Best solution: 1225180 found at 30s
Seconds: 31, Total Iterations: 9900, Iteration per second: 319.354839, Best solution: 1225180 found at 30s
Seconds: 31, Total Iterations: 10000, Iteration per second: 322.580645, Best solution: 1225180 found at 30s
Seconds: 31, Total Iterations: 10100, Iteration per second: 325.806452, Best solution: 1225180 found at 30s
Seconds: 31, Total Iterations: 10200, Iteration per second: 329.032258, Best solution: 1225180 found at 30s
Seconds: 32, Total Iterations: 10300, Iteration per second: 321.875000, Best solution: 1225180 found at 30s
Seconds: 32, Total Iterations: 10400, Iteration per second: 325.000000, Best solution: 1226068 found at 32s
Seconds: 32, Total Iterations: 10500, Iteration per second: 328.125000, Best solution: 1226068 found at 32s
Seconds: 33, Total Iterations: 10600, Iteration per second: 321.212121, Best solution: 1226068 found at 32s
Seconds: 33, Total Iterations: 10700, Iteration per second: 324.242424, Best solution: 1226068 found at 32s
Seconds: 33, Total Iterations: 10800, Iteration per second: 327.272727, Best solution: 1226068 found at 32s
Seconds: 34, Total Iterations: 10900, Iteration per second: 320.588235, Best solution: 1226068 found at 32s
Seconds: 34, Total Iterations: 11000, Iteration per second: 323.529412, Best solution: 1226068 found at 32s
Seconds: 34, Total Iterations: 11100, Iteration per second: 326.470588, Best solution: 1226068 found at 32s
Seconds: 35, Total Iterations: 11200, Iteration per second: 320.000000, Best solution: 1226068 found at 32s
Seconds: 35, Total Iterations: 11300, Iteration per second: 322.857143, Best solution: 1226068 found at 32s
Seconds: 35, Total Iterations: 11400, Iteration per second: 325.714286, Best solution: 1226068 found at 32s
Seconds: 35, Total Iterations: 11500, Iteration per second: 328.571429, Best solution: 1226068 found at 32s
Seconds: 36, Total Iterations: 11600, Iteration per second: 322.222222, Best solution: 1226068 found at 32s
Seconds: 36, Total Iterations: 11700, Iteration per second: 325.000000, Best solution: 1226068 found at 32s
Seconds: 36, Total Iterations: 11800, Iteration per second: 327.777778, Best solution: 1226068 found at 32s
Seconds: 37, Total Iterations: 11900, Iteration per second: 321.621622, Best solution: 1226068 found at 32s
Seconds: 37, Total Iterations: 12000, Iteration per second: 324.324324, Best solution: 1226068 found at 32s
Seconds: 37, Total Iterations: 12100, Iteration per second: 327.027027, Best solution: 1226068 found at 32s
Seconds: 37, Total Iterations: 12200, Iteration per second: 329.729730, Best solution: 1226068 found at 32s
Seconds: 38, Total Iterations: 12300, Iteration per second: 323.684211, Best solution: 1226068 found at 32s
Seconds: 38, Total Iterations: 12400, Iteration per second: 326.315789, Best solution: 1226068 found at 32s
Seconds: 38, Total Iterations: 12500, Iteration per second: 328.947368, Best solution: 1226068 found at 32s
Seconds: 39, Total Iterations: 12600, Iteration per second: 323.076923, Best solution: 1226068 found at 32s
Seconds: 39, Total Iterations: 12700, Iteration per second: 325.641026, Best solution: 1226068 found at 32s
Seconds: 39, Total Iterations: 12800, Iteration per second: 328.205128, Best solution: 1226068 found at 32s
Seconds: 40, Total Iterations: 12900, Iteration per second: 322.500000, Best solution: 1226068 found at 32s
Seconds: 40, Total Iterations: 13000, Iteration per second: 325.000000, Best solution: 1226068 found at 32s
Seconds: 40, Total Iterations: 13100, Iteration per second: 327.500000, Best solution: 1226068 found at 32s
Seconds: 40, Total Iterations: 13200, Iteration per second: 330.000000, Best solution: 1226068 found at 32s
Seconds: 41, Total Iterations: 13300, Iteration per second: 324.390244, Best solution: 1226068 found at 32s
Seconds: 41, Total Iterations: 13400, Iteration per second: 326.829268, Best solution: 1226068 found at 32s
Seconds: 41, Total Iterations: 13500, Iteration per second: 329.268293, Best solution: 1226068 found at 32s
Seconds: 42, Total Iterations: 13600, Iteration per second: 323.809524, Best solution: 1226068 found at 32s
Seconds: 42, Total Iterations: 13700, Iteration per second: 326.190476, Best solution: 1226068 found at 32s
Seconds: 42, Total Iterations: 13800, Iteration per second: 328.571429, Best solution: 1226068 found at 32s
Seconds: 43, Total Iterations: 13900, Iteration per second: 323.255814, Best solution: 1226068 found at 32s
Seconds: 43, Total Iterations: 14000, Iteration per second: 325.581395, Best solution: 1226068 found at 32s
Seconds: 43, Total Iterations: 14100, Iteration per second: 327.906977, Best solution: 1226068 found at 32s
Seconds: 44, Total Iterations: 14200, Iteration per second: 322.727273, Best solution: 1226068 found at 32s
Seconds: 44, Total Iterations: 14300, Iteration per second: 325.000000, Best solution: 1226068 found at 32s
Seconds: 44, Total Iterations: 14400, Iteration per second: 327.272727, Best solution: 1226068 found at 32s
Seconds: 44, Total Iterations: 14500, Iteration per second: 329.545455, Best solution: 1226068 found at 32s
Seconds: 45, Total Iterations: 14600, Iteration per second: 324.444444, Best solution: 1226068 found at 32s
Seconds: 45, Total Iterations: 14700, Iteration per second: 326.666667, Best solution: 1226068 found at 32s
Seconds: 45, Total Iterations: 14800, Iteration per second: 328.888889, Best solution: 1226068 found at 32s
Seconds: 46, Total Iterations: 14900, Iteration per second: 323.913043, Best solution: 1226068 found at 32s
Seconds: 46, Total Iterations: 15000, Iteration per second: 326.086957, Best solution: 1226068 found at 32s
Seconds: 46, Total Iterations: 15100, Iteration per second: 328.260870, Best solution: 1226068 found at 32s
Seconds: 47, Total Iterations: 15200, Iteration per second: 323.404255, Best solution: 1226068 found at 32s
Seconds: 47, Total Iterations: 15300, Iteration per second: 325.531915, Best solution: 1226068 found at 32s
Seconds: 47, Total Iterations: 15400, Iteration per second: 327.659574, Best solution: 1226068 found at 32s
Seconds: 47, Total Iterations: 15500, Iteration per second: 329.787234, Best solution: 1226068 found at 32s
