Running GRASP algorithm...
Running with 31 threads (Available processors: 31).
Seconds: 0, Total Iterations: 100, Iteration per second: Infinity, Best solution: 944733 found at 0s
Seconds: 1, Total Iterations: 200, Iteration per second: 200.000000, Best solution: 948815 found at 1s
Seconds: 1, Total Iterations: 300, Iteration per second: 300.000000, Best solution: 956773 found at 1s
Seconds: 1, Total Iterations: 400, Iteration per second: 400.000000, Best solution: 960121 found at 1s
Seconds: 1, Total Iterations: 500, Iteration per second: 500.000000, Best solution: 961578 found at 1s
Seconds: 2, Total Iterations: 600, Iteration per second: 300.000000, Best solution: 962088 found at 2s
Seconds: 2, Total Iterations: 700, Iteration per second: 350.000000, Best solution: 962097 found at 2s
Seconds: 2, Total Iterations: 800, Iteration per second: 400.000000, Best solution: 962510 found at 2s
Seconds: 2, Total Iterations: 900, Iteration per second: 450.000000, Best solution: 962551 found at 2s
Seconds: 3, Total Iterations: 1000, Iteration per second: 333.333333, Best solution: 962551 found at 2s
Seconds: 3, Total Iterations: 1100, Iteration per second: 366.666667, Best solution: 962552 found at 3s
Seconds: 3, Total Iterations: 1200, Iteration per second: 400.000000, Best solution: 962552 found at 3s
Seconds: 3, Total Iterations: 1300, Iteration per second: 433.333333, Best solution: 963068 found at 3s
Seconds: 4, Total Iterations: 1400, Iteration per second: 350.000000, Best solution: 963068 found at 3s
Seconds: 4, Total Iterations: 1500, Iteration per second: 375.000000, Best solution: 963068 found at 3s
Seconds: 4, Total Iterations: 1600, Iteration per second: 400.000000, Best solution: 963068 found at 3s
Seconds: 4, Total Iterations: 1700, Iteration per second: 425.000000, Best solution: 963068 found at 3s
Seconds: 4, Total Iterations: 1800, Iteration per second: 450.000000, Best solution: 963068 found at 3s
Seconds: 5, Total Iterations: 1900, Iteration per second: 380.000000, Best solution: 963068 found at 3s
Seconds: 5, Total Iterations: 2000, Iteration per second: 400.000000, Best solution: 963068 found at 3s
Seconds: 5, Total Iterations: 2100, Iteration per second: 420.000000, Best solution: 963068 found at 3s
Seconds: 5, Total Iterations: 2200, Iteration per second: 440.000000, Best solution: 964226 found at 5s
Seconds: 6, Total Iterations: 2300, Iteration per second: 383.333333, Best solution: 964226 found at 5s
Seconds: 6, Total Iterations: 2400, Iteration per second: 400.000000, Best solution: 964226 found at 5s
Seconds: 6, Total Iterations: 2500, Iteration per second: 416.666667, Best solution: 964226 found at 5s
Seconds: 6, Total Iterations: 2600, Iteration per second: 433.333333, Best solution: 964226 found at 5s
Seconds: 6, Total Iterations: 2700, Iteration per second: 450.000000, Best solution: 964226 found at 5s
Seconds: 7, Total Iterations: 2800, Iteration per second: 400.000000, Best solution: 964357 found at 7s
Seconds: 7, Total Iterations: 2900, Iteration per second: 414.285714, Best solution: 964357 found at 7s
Seconds: 7, Total Iterations: 3000, Iteration per second: 428.571429, Best solution: 964357 found at 7s
Seconds: 7, Total Iterations: 3100, Iteration per second: 442.857143, Best solution: 964357 found at 7s
Seconds: 8, Total Iterations: 3200, Iteration per second: 400.000000, Best solution: 964357 found at 7s
Seconds: 8, Total Iterations: 3300, Iteration per second: 412.500000, Best solution: 964357 found at 7s
Seconds: 8, Total Iterations: 3400, Iteration per second: 425.000000, Best solution: 964357 found at 7s
Seconds: 8, Total Iterations: 3500, Iteration per second: 437.500000, Best solution: 964357 found at 7s
Seconds: 8, Total Iterations: 3600, Iteration per second: 450.000000, Best solution: 964357 found at 7s
Seconds: 9, Total Iterations: 3700, Iteration per second: 411.111111, Best solution: 964357 found at 7s
Seconds: 9, Total Iterations: 3800, Iteration per second: 422.222222, Best solution: 964432 found at 9s
Seconds: 9, Total Iterations: 3900, Iteration per second: 433.333333, Best solution: 964432 found at 9s
Seconds: 9, Total Iterations: 4000, Iteration per second: 444.444444, Best solution: 964432 found at 9s
Seconds: 9, Total Iterations: 4100, Iteration per second: 455.555556, Best solution: 964432 found at 9s
Seconds: 10, Total Iterations: 4200, Iteration per second: 420.000000, Best solution: 964432 found at 9s
Seconds: 10, Total Iterations: 4300, Iteration per second: 430.000000, Best solution: 964432 found at 9s
Seconds: 10, Total Iterations: 4400, Iteration per second: 440.000000, Best solution: 964432 found at 9s
Seconds: 10, Total Iterations: 4500, Iteration per second: 450.000000, Best solution: 964432 found at 9s
Seconds: 11, Total Iterations: 4600, Iteration per second: 418.181818, Best solution: 964432 found at 9s
Seconds: 11, Total Iterations: 4700, Iteration per second: 427.272727, Best solution: 964432 found at 9s
Seconds: 11, Total Iterations: 4800, Iteration per second: 436.363636, Best solution: 964432 found at 9s
Seconds: 11, Total Iterations: 4900, Iteration per second: 445.454545, Best solution: 964432 found at 9s
Seconds: 11, Total Iterations: 5000, Iteration per second: 454.545455, Best solution: 964432 found at 9s
Seconds: 12, Total Iterations: 5100, Iteration per second: 425.000000, Best solution: 964432 found at 9s
Seconds: 12, Total Iterations: 5200, Iteration per second: 433.333333, Best solution: 964432 found at 9s
Seconds: 12, Total Iterations: 5300, Iteration per second: 441.666667, Best solution: 964432 found at 9s
Seconds: 12, Total Iterations: 5400, Iteration per second: 450.000000, Best solution: 964432 found at 9s
Seconds: 12, Total Iterations: 5500, Iteration per second: 458.333333, Best solution: 964432 found at 9s
Seconds: 13, Total Iterations: 5600, Iteration per second: 430.769231, Best solution: 964466 found at 13s
Seconds: 13, Total Iterations: 5700, Iteration per second: 438.461538, Best solution: 964466 found at 13s
Seconds: 13, Total Iterations: 5800, Iteration per second: 446.153846, Best solution: 964466 found at 13s
Seconds: 13, Total Iterations: 5900, Iteration per second: 453.846154, Best solution: 964466 found at 13s
Seconds: 14, Total Iterations: 6000, Iteration per second: 428.571429, Best solution: 964466 found at 13s
Seconds: 14, Total Iterations: 6100, Iteration per second: 435.714286, Best solution: 964466 found at 13s
Seconds: 14, Total Iterations: 6200, Iteration per second: 442.857143, Best solution: 964466 found at 13s
Seconds: 14, Total Iterations: 6300, Iteration per second: 450.000000, Best solution: 964466 found at 13s
Seconds: 14, Total Iterations: 6400, Iteration per second: 457.142857, Best solution: 964466 found at 13s
Seconds: 15, Total Iterations: 6500, Iteration per second: 433.333333, Best solution: 964466 found at 13s
Seconds: 15, Total Iterations: 6600, Iteration per second: 440.000000, Best solution: 964466 found at 13s
Seconds: 15, Total Iterations: 6700, Iteration per second: 446.666667, Best solution: 964466 found at 13s
Seconds: 15, Total Iterations: 6800, Iteration per second: 453.333333, Best solution: 964466 found at 13s
