Running GRASP algorithm...
Running with 31 threads (Available processors: 31).
Seconds: 1, Total Iterations: 100, Iteration per second: 100.000000, Best solution: 936154 found at 1s
Seconds: 2, Total Iterations: 200, Iteration per second: 100.000000, Best solution: 948375 found at 2s
Seconds: 2, Total Iterations: 300, Iteration per second: 150.000000, Best solution: 955881 found at 2s
Seconds: 2, Total Iterations: 400, Iteration per second: 200.000000, Best solution: 955881 found at 2s
Seconds: 2, Total Iterations: 500, Iteration per second: 250.000000, Best solution: 955893 found at 2s
Seconds: 2, Total Iterations: 600, Iteration per second: 300.000000, Best solution: 958587 found at 2s
Seconds: 3, Total Iterations: 700, Iteration per second: 233.333333, Best solution: 958587 found at 2s
Seconds: 3, Total Iterations: 800, Iteration per second: 266.666667, Best solution: 958587 found at 2s
Seconds: 3, Total Iterations: 900, Iteration per second: 300.000000, Best solution: 958587 found at 2s
Seconds: 3, Total Iterations: 1000, Iteration per second: 333.333333, Best solution: 958587 found at 2s
Seconds: 4, Total Iterations: 1100, Iteration per second: 275.000000, Best solution: 958587 found at 2s
Seconds: 4, Total Iterations: 1200, Iteration per second: 300.000000, Best solution: 958587 found at 2s
Seconds: 4, Total Iterations: 1300, Iteration per second: 325.000000, Best solution: 958587 found at 2s
Seconds: 4, Total Iterations: 1400, Iteration per second: 350.000000, Best solution: 959154 found at 4s
Seconds: 5, Total Iterations: 1500, Iteration per second: 300.000000, Best solution: 959189 found at 4s
Seconds: 5, Total Iterations: 1600, Iteration per second: 320.000000, Best solution: 959441 found at 5s
Seconds: 5, Total Iterations: 1700, Iteration per second: 340.000000, Best solution: 959441 found at 5s
Seconds: 5, Total Iterations: 1800, Iteration per second: 360.000000, Best solution: 959461 found at 5s
Seconds: 5, Total Iterations: 1900, Iteration per second: 380.000000, Best solution: 959461 found at 5s
Seconds: 6, Total Iterations: 2000, Iteration per second: 333.333333, Best solution: 959461 found at 5s
Seconds: 6, Total Iterations: 2100, Iteration per second: 350.000000, Best solution: 959461 found at 5s
Seconds: 6, Total Iterations: 2200, Iteration per second: 366.666667, Best solution: 960486 found at 6s
Seconds: 6, Total Iterations: 2300, Iteration per second: 383.333333, Best solution: 961559 found at 6s
Seconds: 6, Total Iterations: 2400, Iteration per second: 400.000000, Best solution: 961629 found at 6s
Seconds: 7, Total Iterations: 2500, Iteration per second: 357.142857, Best solution: 961629 found at 6s
Seconds: 7, Total Iterations: 2600, Iteration per second: 371.428571, Best solution: 961630 found at 7s
Seconds: 7, Total Iterations: 2700, Iteration per second: 385.714286, Best solution: 961732 found at 7s
Seconds: 7, Total Iterations: 2800, Iteration per second: 400.000000, Best solution: 962230 found at 7s
Seconds: 8, Total Iterations: 2900, Iteration per second: 362.500000, Best solution: 962230 found at 7s
Seconds: 8, Total Iterations: 3000, Iteration per second: 375.000000, Best solution: 962230 found at 7s
Seconds: 8, Total Iterations: 3100, Iteration per second: 387.500000, Best solution: 962230 found at 7s
Seconds: 8, Total Iterations: 3200, Iteration per second: 400.000000, Best solution: 963692 found at 8s
Seconds: 8, Total Iterations: 3300, Iteration per second: 412.500000, Best solution: 963692 found at 8s
Seconds: 9, Total Iterations: 3400, Iteration per second: 377.777778, Best solution: 963692 found at 8s
Seconds: 9, Total Iterations: 3500, Iteration per second: 388.888889, Best solution: 963692 found at 8s
Seconds: 9, Total Iterations: 3600, Iteration per second: 400.000000, Best solution: 963692 found at 8s
Seconds: 9, Total Iterations: 3700, Iteration per second: 411.111111, Best solution: 963692 found at 8s
Seconds: 10, Total Iterations: 3800, Iteration per second: 380.000000, Best solution: 963692 found at 8s
Seconds: 10, Total Iterations: 3900, Iteration per second: 390.000000, Best solution: 963692 found at 8s
Seconds: 10, Total Iterations: 4000, Iteration per second: 400.000000, Best solution: 963692 found at 8s
Seconds: 10, Total Iterations: 4100, Iteration per second: 410.000000, Best solution: 963692 found at 8s
Seconds: 10, Total Iterations: 4200, Iteration per second: 420.000000, Best solution: 963692 found at 8s
Seconds: 11, Total Iterations: 4300, Iteration per second: 390.909091, Best solution: 963692 found at 8s
Seconds: 11, Total Iterations: 4400, Iteration per second: 400.000000, Best solution: 963692 found at 8s
Seconds: 11, Total Iterations: 4500, Iteration per second: 409.090909, Best solution: 964357 found at 11s
Seconds: 11, Total Iterations: 4600, Iteration per second: 418.181818, Best solution: 964357 found at 11s
Seconds: 11, Total Iterations: 4700, Iteration per second: 427.272727, Best solution: 964357 found at 11s
Seconds: 12, Total Iterations: 4800, Iteration per second: 400.000000, Best solution: 964357 found at 11s
Seconds: 12, Total Iterations: 4900, Iteration per second: 408.333333, Best solution: 964357 found at 11s
Seconds: 12, Total Iterations: 5000, Iteration per second: 416.666667, Best solution: 964357 found at 11s
Seconds: 12, Total Iterations: 5100, Iteration per second: 425.000000, Best solution: 964357 found at 11s
