Running GRASP algorithm...
Running with 1 threads (Available processors: 1).
Seconds: 1, Total Iterations: 100, Iteration per second: 100.000000, Best solution: 784331 found at 1s
Seconds: 2, Total Iterations: 200, Iteration per second: 100.000000, Best solution: 804192 found at 2s
Seconds: 3, Total Iterations: 300, Iteration per second: 100.000000, Best solution: 804362 found at 3s
Seconds: 3, Total Iterations: 400, Iteration per second: 133.333333, Best solution: 807803 found at 3s
Seconds: 4, Total Iterations: 500, Iteration per second: 125.000000, Best solution: 808525 found at 4s
Seconds: 5, Total Iterations: 600, Iteration per second: 120.000000, Best solution: 808870 found at 4s
Seconds: 5, Total Iterations: 700, Iteration per second: 140.000000, Best solution: 808975 found at 5s
Seconds: 6, Total Iterations: 800, Iteration per second: 133.333333, Best solution: 808975 found at 5s
Seconds: 6, Total Iterations: 900, Iteration per second: 150.000000, Best solution: 808975 found at 5s
Seconds: 6, Total Iterations: 1000, Iteration per second: 166.666667, Best solution: 808975 found at 5s
Seconds: 7, Total Iterations: 1100, Iteration per second: 157.142857, Best solution: 808975 found at 5s
Seconds: 7, Total Iterations: 1200, Iteration per second: 171.428571, Best solution: 809038 found at 7s
Seconds: 7, Total Iterations: 1300, Iteration per second: 185.714286, Best solution: 809038 found at 7s
Seconds: 8, Total Iterations: 1400, Iteration per second: 175.000000, Best solution: 809038 found at 7s
Seconds: 8, Total Iterations: 1500, Iteration per second: 187.500000, Best solution: 809038 found at 7s
Seconds: 8, Total Iterations: 1600, Iteration per second: 200.000000, Best solution: 809038 found at 7s
Seconds: 9, Total Iterations: 1700, Iteration per second: 188.888889, Best solution: 809038 found at 7s
Seconds: 9, Total Iterations: 1800, Iteration per second: 200.000000, Best solution: 809761 found at 9s
Seconds: 9, Total Iterations: 1900, Iteration per second: 211.111111, Best solution: 809761 found at 9s
Seconds: 10, Total Iterations: 2000, Iteration per second: 200.000000, Best solution: 810110 found at 10s
Seconds: 10, Total Iterations: 2100, Iteration per second: 210.000000, Best solution: 810110 found at 10s
Seconds: 10, Total Iterations: 2200, Iteration per second: 220.000000, Best solution: 811072 found at 10s
Seconds: 11, Total Iterations: 2300, Iteration per second: 209.090909, Best solution: 811097 found at 11s
Seconds: 11, Total Iterations: 2400, Iteration per second: 218.181818, Best solution: 811397 found at 11s
Seconds: 11, Total Iterations: 2500, Iteration per second: 227.272727, Best solution: 811397 found at 11s
Seconds: 12, Total Iterations: 2600, Iteration per second: 216.666667, Best solution: 811397 found at 11s
Seconds: 12, Total Iterations: 2700, Iteration per second: 225.000000, Best solution: 811397 found at 11s
