Running GRASP algorithm...
Running with 1 threads (Available processors: 1).
Seconds: 1, Total Iterations: 100, Iteration per second: 100.000000, Best solution: 799867 found at 1s
Seconds: 2, Total Iterations: 200, Iteration per second: 100.000000, Best solution: 802131 found at 1s
Seconds: 3, Total Iterations: 300, Iteration per second: 100.000000, Best solution: 804278 found at 2s
Seconds: 3, Total Iterations: 400, Iteration per second: 133.333333, Best solution: 805476 found at 3s
Seconds: 4, Total Iterations: 500, Iteration per second: 125.000000, Best solution: 805476 found at 3s
Seconds: 5, Total Iterations: 600, Iteration per second: 120.000000, Best solution: 806494 found at 4s
Seconds: 6, Total Iterations: 700, Iteration per second: 116.666667, Best solution: 807545 found at 5s
Seconds: 6, Total Iterations: 800, Iteration per second: 133.333333, Best solution: 808684 found at 6s
Seconds: 7, Total Iterations: 900, Iteration per second: 128.571429, Best solution: 808707 found at 6s
Seconds: 7, Total Iterations: 1000, Iteration per second: 142.857143, Best solution: 808897 found at 7s
Seconds: 7, Total Iterations: 1100, Iteration per second: 157.142857, Best solution: 808940 found at 7s
Seconds: 8, Total Iterations: 1200, Iteration per second: 150.000000, Best solution: 810086 found at 8s
Seconds: 8, Total Iterations: 1300, Iteration per second: 162.500000, Best solution: 810377 found at 8s
Seconds: 8, Total Iterations: 1400, Iteration per second: 175.000000, Best solution: 811378 found at 8s
Seconds: 9, Total Iterations: 1500, Iteration per second: 166.666667, Best solution: 811378 found at 8s
Seconds: 9, Total Iterations: 1600, Iteration per second: 177.777778, Best solution: 811378 found at 8s
Seconds: 9, Total Iterations: 1700, Iteration per second: 188.888889, Best solution: 811668 found at 9s
Seconds: 10, Total Iterations: 1800, Iteration per second: 180.000000, Best solution: 811668 found at 9s
Seconds: 10, Total Iterations: 1900, Iteration per second: 190.000000, Best solution: 811668 found at 9s
Seconds: 10, Total Iterations: 2000, Iteration per second: 200.000000, Best solution: 811668 found at 9s
Seconds: 11, Total Iterations: 2100, Iteration per second: 190.909091, Best solution: 811668 found at 9s
