Running GRASP algorithm...
Running with 31 threads (Available processors: 31).
Seconds: 6, Total Iterations: 100, Iteration per second: 16.666667, Best solution: 1033143 found at 6s
Seconds: 11, Total Iterations: 200, Iteration per second: 18.181818, Best solution: 1040376 found at 9s
Seconds: 16, Total Iterations: 300, Iteration per second: 18.750000, Best solution: 1041661 found at 16s
Seconds: 21, Total Iterations: 400, Iteration per second: 19.047619, Best solution: 1041767 found at 18s
Seconds: 26, Total Iterations: 500, Iteration per second: 19.230769, Best solution: 1043452 found at 26s
Seconds: 31, Total Iterations: 600, Iteration per second: 19.354839, Best solution: 1044042 found at 28s
Seconds: 36, Total Iterations: 700, Iteration per second: 19.444444, Best solution: 1044997 found at 34s
Seconds: 41, Total Iterations: 800, Iteration per second: 19.512195, Best solution: 1045843 found at 37s
Seconds: 45, Total Iterations: 900, Iteration per second: 20.000000, Best solution: 1046183 found at 44s
Seconds: 50, Total Iterations: 1000, Iteration per second: 20.000000, Best solution: 1046248 found at 49s
Seconds: 55, Total Iterations: 1100, Iteration per second: 20.000000, Best solution: 1046484 found at 55s
Seconds: 60, Total Iterations: 1200, Iteration per second: 20.000000, Best solution: 1046903 found at 58s
Seconds: 65, Total Iterations: 1300, Iteration per second: 20.000000, Best solution: 1047177 found at 63s
Seconds: 70, Total Iterations: 1400, Iteration per second: 20.000000, Best solution: 1047725 found at 68s
Seconds: 75, Total Iterations: 1500, Iteration per second: 20.000000, Best solution: 1047963 found at 74s
Seconds: 80, Total Iterations: 1600, Iteration per second: 20.000000, Best solution: 1047968 found at 76s
Seconds: 85, Total Iterations: 1700, Iteration per second: 20.000000, Best solution: 1048007 found at 84s
Seconds: 90, Total Iterations: 1800, Iteration per second: 20.000000, Best solution: 1048067 found at 86s
Seconds: 95, Total Iterations: 1900, Iteration per second: 20.000000, Best solution: 1048229 found at 95s
Seconds: 100, Total Iterations: 2000, Iteration per second: 20.000000, Best solution: 1048436 found at 99s
Seconds: 105, Total Iterations: 2100, Iteration per second: 20.000000, Best solution: 1048546 found at 104s
Seconds: 110, Total Iterations: 2200, Iteration per second: 20.000000, Best solution: 1048673 found at 108s
Seconds: 115, Total Iterations: 2300, Iteration per second: 20.000000, Best solution: 1048673 found at 108s
Seconds: 120, Total Iterations: 2400, Iteration per second: 20.000000, Best solution: 1048732 found at 117s
Seconds: 125, Total Iterations: 2500, Iteration per second: 20.000000, Best solution: 1049238 found at 125s
Seconds: 130, Total Iterations: 2600, Iteration per second: 20.000000, Best solution: 1049636 found at 130s
Seconds: 135, Total Iterations: 2700, Iteration per second: 20.000000, Best solution: 1049659 found at 135s
Seconds: 140, Total Iterations: 2800, Iteration per second: 20.000000, Best solution: 1049874 found at 137s
Seconds: 145, Total Iterations: 2900, Iteration per second: 20.000000, Best solution: 1050047 found at 142s
Seconds: 150, Total Iterations: 3000, Iteration per second: 20.000000, Best solution: 1050047 found at 142s
Seconds: 155, Total Iterations: 3100, Iteration per second: 20.000000, Best solution: 1050234 found at 155s
Seconds: 160, Total Iterations: 3200, Iteration per second: 20.000000, Best solution: 1050234 found at 155s
Seconds: 165, Total Iterations: 3300, Iteration per second: 20.000000, Best solution: 1050234 found at 155s
Seconds: 170, Total Iterations: 3400, Iteration per second: 20.000000, Best solution: 1050234 found at 155s
Seconds: 175, Total Iterations: 3500, Iteration per second: 20.000000, Best solution: 1050236 found at 173s
Seconds: 180, Total Iterations: 3600, Iteration per second: 20.000000, Best solution: 1050250 found at 177s
Seconds: 185, Total Iterations: 3700, Iteration per second: 20.000000, Best solution: 1050250 found at 177s
Seconds: 190, Total Iterations: 3800, Iteration per second: 20.000000, Best solution: 1050250 found at 177s
Seconds: 195, Total Iterations: 3900, Iteration per second: 20.000000, Best solution: 1050266 found at 194s
Seconds: 200, Total Iterations: 4000, Iteration per second: 20.000000, Best solution: 1050389 found at 199s
Seconds: 205, Total Iterations: 4100, Iteration per second: 20.000000, Best solution: 1050395 found at 205s
Seconds: 210, Total Iterations: 4200, Iteration per second: 20.000000, Best solution: 1050395 found at 205s
Seconds: 215, Total Iterations: 4300, Iteration per second: 20.000000, Best solution: 1050395 found at 205s
Seconds: 220, Total Iterations: 4400, Iteration per second: 20.000000, Best solution: 1050395 found at 205s
Seconds: 225, Total Iterations: 4500, Iteration per second: 20.000000, Best solution: 1050452 found at 223s
Seconds: 230, Total Iterations: 4600, Iteration per second: 20.000000, Best solution: 1050452 found at 223s
Seconds: 235, Total Iterations: 4700, Iteration per second: 20.000000, Best solution: 1050452 found at 223s
Seconds: 240, Total Iterations: 4800, Iteration per second: 20.000000, Best solution: 1050714 found at 239s
Seconds: 245, Total Iterations: 4900, Iteration per second: 20.000000, Best solution: 1050715 found at 240s
Seconds: 250, Total Iterations: 5000, Iteration per second: 20.000000, Best solution: 1051348 found at 250s
Seconds: 255, Total Iterations: 5100, Iteration per second: 20.000000, Best solution: 1053997 found at 255s
Seconds: 260, Total Iterations: 5200, Iteration per second: 20.000000, Best solution: 1053997 found at 255s
Seconds: 265, Total Iterations: 5300, Iteration per second: 20.000000, Best solution: 1054283 found at 262s
