Running GRASP algorithm...
Seconds: 1, Iteration: 10, Iteration per second: 10.000000, Best solution: 192236 found at 1s
Seconds: 2, Iteration: 20, Iteration per second: 10.000000, Best solution: 193496 found at 2s
Seconds: 3, Iteration: 30, Iteration per second: 10.000000, Best solution: 194175 found at 3s
Seconds: 3, Iteration: 40, Iteration per second: 13.333333, Best solution: 194295 found at 3s
Seconds: 4, Iteration: 50, Iteration per second: 12.500000, Best solution: 194362 found at 3s
Seconds: 4, Iteration: 60, Iteration per second: 15.000000, Best solution: 194377 found at 4s
Seconds: 5, Iteration: 70, Iteration per second: 14.000000, Best solution: 194512 found at 5s
Seconds: 5, Iteration: 80, Iteration per second: 16.000000, Best solution: 194656 found at 5s
Seconds: 6, Iteration: 90, Iteration per second: 15.000000, Best solution: 194679 found at 6s
Seconds: 6, Iteration: 100, Iteration per second: 16.666667, Best solution: 194742 found at 6s
Seconds: 7, Iteration: 110, Iteration per second: 15.714286, Best solution: 194742 found at 6s
Seconds: 7, Iteration: 120, Iteration per second: 17.142857, Best solution: 194810 found at 7s
Seconds: 8, Iteration: 130, Iteration per second: 16.250000, Best solution: 194810 found at 7s
Seconds: 8, Iteration: 140, Iteration per second: 17.500000, Best solution: 194855 found at 8s
Seconds: 9, Iteration: 150, Iteration per second: 16.666667, Best solution: 194859 found at 8s
Seconds: 9, Iteration: 160, Iteration per second: 17.777778, Best solution: 194859 found at 8s
Seconds: 10, Iteration: 170, Iteration per second: 17.000000, Best solution: 194884 found at 10s
Seconds: 10, Iteration: 180, Iteration per second: 18.000000, Best solution: 194885 found at 10s
Seconds: 11, Iteration: 190, Iteration per second: 17.272727, Best solution: 194906 found at 10s
Seconds: 11, Iteration: 200, Iteration per second: 18.181818, Best solution: 194925 found at 11s
Seconds: 12, Iteration: 210, Iteration per second: 17.500000, Best solution: 194925 found at 11s
Seconds: 12, Iteration: 220, Iteration per second: 18.333333, Best solution: 194940 found at 12s
Seconds: 13, Iteration: 230, Iteration per second: 17.692308, Best solution: 194940 found at 12s
Seconds: 13, Iteration: 240, Iteration per second: 18.461538, Best solution: 194940 found at 12s
Seconds: 14, Iteration: 250, Iteration per second: 17.857143, Best solution: 194940 found at 12s
Seconds: 14, Iteration: 260, Iteration per second: 18.571429, Best solution: 194940 found at 12s
Seconds: 14, Iteration: 270, Iteration per second: 19.285714, Best solution: 194962 found at 14s
Seconds: 15, Iteration: 280, Iteration per second: 18.666667, Best solution: 194962 found at 14s
Seconds: 15, Iteration: 290, Iteration per second: 19.333333, Best solution: 194962 found at 14s
Seconds: 16, Iteration: 300, Iteration per second: 18.750000, Best solution: 194962 found at 14s
Seconds: 16, Iteration: 310, Iteration per second: 19.375000, Best solution: 194962 found at 14s
Seconds: 17, Iteration: 320, Iteration per second: 18.823529, Best solution: 194963 found at 17s
Seconds: 17, Iteration: 330, Iteration per second: 19.411765, Best solution: 194963 found at 17s
Seconds: 18, Iteration: 340, Iteration per second: 18.888889, Best solution: 194963 found at 17s
Seconds: 18, Iteration: 350, Iteration per second: 19.444444, Best solution: 194966 found at 18s
Seconds: 19, Iteration: 360, Iteration per second: 18.947368, Best solution: 195014 found at 19s
Seconds: 19, Iteration: 370, Iteration per second: 19.473684, Best solution: 195014 found at 19s
Seconds: 20, Iteration: 380, Iteration per second: 19.000000, Best solution: 195014 found at 19s
Seconds: 20, Iteration: 390, Iteration per second: 19.500000, Best solution: 195014 found at 19s
Seconds: 21, Iteration: 400, Iteration per second: 19.047619, Best solution: 195014 found at 19s
Seconds: 21, Iteration: 410, Iteration per second: 19.523810, Best solution: 195014 found at 19s
Seconds: 21, Iteration: 420, Iteration per second: 20.000000, Best solution: 195014 found at 19s
Seconds: 22, Iteration: 430, Iteration per second: 19.545455, Best solution: 195014 found at 19s
Seconds: 22, Iteration: 440, Iteration per second: 20.000000, Best solution: 195017 found at 22s
Seconds: 23, Iteration: 450, Iteration per second: 19.565217, Best solution: 195019 found at 23s
Seconds: 23, Iteration: 460, Iteration per second: 20.000000, Best solution: 195019 found at 23s
Seconds: 24, Iteration: 470, Iteration per second: 19.583333, Best solution: 195020 found at 23s
Seconds: 24, Iteration: 480, Iteration per second: 20.000000, Best solution: 195023 found at 24s
Seconds: 25, Iteration: 490, Iteration per second: 19.600000, Best solution: 195023 found at 24s
Seconds: 25, Iteration: 500, Iteration per second: 20.000000, Best solution: 195024 found at 25s
Seconds: 26, Iteration: 510, Iteration per second: 19.615385, Best solution: 195024 found at 25s
Seconds: 26, Iteration: 520, Iteration per second: 20.000000, Best solution: 195089 found at 26s
Seconds: 26, Iteration: 530, Iteration per second: 20.384615, Best solution: 195089 found at 26s
Seconds: 27, Iteration: 540, Iteration per second: 20.000000, Best solution: 195089 found at 26s
Seconds: 27, Iteration: 550, Iteration per second: 20.370370, Best solution: 195089 found at 26s
Seconds: 28, Iteration: 560, Iteration per second: 20.000000, Best solution: 195089 found at 26s
Seconds: 28, Iteration: 570, Iteration per second: 20.357143, Best solution: 195089 found at 26s
Seconds: 29, Iteration: 580, Iteration per second: 20.000000, Best solution: 195089 found at 26s
Seconds: 29, Iteration: 590, Iteration per second: 20.344828, Best solution: 195089 found at 26s
Seconds: 30, Iteration: 600, Iteration per second: 20.000000, Best solution: 195089 found at 26s
Seconds: 30, Iteration: 610, Iteration per second: 20.333333, Best solution: 195089 found at 26s
Seconds: 31, Iteration: 620, Iteration per second: 20.000000, Best solution: 195089 found at 26s
Seconds: 31, Iteration: 630, Iteration per second: 20.322581, Best solution: 195093 found at 31s
Seconds: 32, Iteration: 640, Iteration per second: 20.000000, Best solution: 195093 found at 31s
Seconds: 32, Iteration: 650, Iteration per second: 20.312500, Best solution: 195093 found at 31s
Seconds: 33, Iteration: 660, Iteration per second: 20.000000, Best solution: 195093 found at 31s
Seconds: 33, Iteration: 670, Iteration per second: 20.303030, Best solution: 195093 found at 31s
