Running GRASP algorithm...
Seconds: 0, Iteration: 10, Iteration per second: Infinity, Best solution: 697834 found at 0s
Seconds: 1, Iteration: 20, Iteration per second: 20.000000, Best solution: 703462 found at 1s
Seconds: 2, Iteration: 30, Iteration per second: 15.000000, Best solution: 705964 found at 1s
Seconds: 2, Iteration: 40, Iteration per second: 20.000000, Best solution: 705964 found at 1s
Seconds: 2, Iteration: 50, Iteration per second: 25.000000, Best solution: 707053 found at 2s
Seconds: 3, Iteration: 60, Iteration per second: 20.000000, Best solution: 708743 found at 3s
Seconds: 3, Iteration: 70, Iteration per second: 23.333333, Best solution: 709933 found at 3s
Seconds: 4, Iteration: 80, Iteration per second: 20.000000, Best solution: 710080 found at 4s
Seconds: 4, Iteration: 90, Iteration per second: 22.500000, Best solution: 710347 found at 4s
Seconds: 5, Iteration: 100, Iteration per second: 20.000000, Best solution: 710580 found at 5s
Seconds: 5, Iteration: 110, Iteration per second: 22.000000, Best solution: 711106 found at 5s
Seconds: 6, Iteration: 120, Iteration per second: 20.000000, Best solution: 711106 found at 5s
Seconds: 6, Iteration: 130, Iteration per second: 21.666667, Best solution: 711106 found at 5s
Seconds: 6, Iteration: 140, Iteration per second: 23.333333, Best solution: 711106 found at 5s
Seconds: 7, Iteration: 150, Iteration per second: 21.428571, Best solution: 711106 found at 5s
Seconds: 7, Iteration: 160, Iteration per second: 22.857143, Best solution: 711106 found at 5s
Seconds: 8, Iteration: 170, Iteration per second: 21.250000, Best solution: 711106 found at 5s
Seconds: 8, Iteration: 180, Iteration per second: 22.500000, Best solution: 711605 found at 8s
Seconds: 8, Iteration: 190, Iteration per second: 23.750000, Best solution: 711605 found at 8s
Seconds: 9, Iteration: 200, Iteration per second: 22.222222, Best solution: 711605 found at 8s
Seconds: 9, Iteration: 210, Iteration per second: 23.333333, Best solution: 711605 found at 8s
Seconds: 10, Iteration: 220, Iteration per second: 22.000000, Best solution: 711606 found at 10s
Seconds: 10, Iteration: 230, Iteration per second: 23.000000, Best solution: 711606 found at 10s
Seconds: 11, Iteration: 240, Iteration per second: 21.818182, Best solution: 711606 found at 10s
Seconds: 11, Iteration: 250, Iteration per second: 22.727273, Best solution: 711606 found at 10s
Seconds: 11, Iteration: 260, Iteration per second: 23.636364, Best solution: 711606 found at 10s
Seconds: 12, Iteration: 270, Iteration per second: 22.500000, Best solution: 711622 found at 12s
Seconds: 12, Iteration: 280, Iteration per second: 23.333333, Best solution: 711622 found at 12s
Seconds: 13, Iteration: 290, Iteration per second: 22.307692, Best solution: 711622 found at 12s
Seconds: 13, Iteration: 300, Iteration per second: 23.076923, Best solution: 711622 found at 12s
Seconds: 14, Iteration: 310, Iteration per second: 22.142857, Best solution: 711622 found at 12s
Seconds: 14, Iteration: 320, Iteration per second: 22.857143, Best solution: 711699 found at 14s
Seconds: 14, Iteration: 330, Iteration per second: 23.571429, Best solution: 712333 found at 14s
Seconds: 15, Iteration: 340, Iteration per second: 22.666667, Best solution: 712333 found at 14s
Seconds: 15, Iteration: 350, Iteration per second: 23.333333, Best solution: 712333 found at 14s
Seconds: 16, Iteration: 360, Iteration per second: 22.500000, Best solution: 713799 found at 15s
Seconds: 16, Iteration: 370, Iteration per second: 23.125000, Best solution: 714181 found at 16s
Seconds: 16, Iteration: 380, Iteration per second: 23.750000, Best solution: 714181 found at 16s
Seconds: 17, Iteration: 390, Iteration per second: 22.941176, Best solution: 714181 found at 16s
