Running GRASP algorithm...
Seconds: 0, Iteration: 10, Iteration per second: Infinity, Best solution: 662966 found at 0s
Seconds: 1, Iteration: 20, Iteration per second: 20.000000, Best solution: 663149 found at 1s
Seconds: 1, Iteration: 30, Iteration per second: 30.000000, Best solution: 664200 found at 1s
Seconds: 2, Iteration: 40, Iteration per second: 20.000000, Best solution: 664836 found at 2s
Seconds: 2, Iteration: 50, Iteration per second: 25.000000, Best solution: 665204 found at 2s
Seconds: 3, Iteration: 60, Iteration per second: 20.000000, Best solution: 665299 found at 2s
Seconds: 3, Iteration: 70, Iteration per second: 23.333333, Best solution: 666851 found at 3s
Seconds: 3, Iteration: 80, Iteration per second: 26.666667, Best solution: 666907 found at 3s
Seconds: 4, Iteration: 90, Iteration per second: 22.500000, Best solution: 666907 found at 3s
Seconds: 4, Iteration: 100, Iteration per second: 25.000000, Best solution: 666907 found at 3s
Seconds: 4, Iteration: 110, Iteration per second: 27.500000, Best solution: 667238 found at 4s
Seconds: 5, Iteration: 120, Iteration per second: 24.000000, Best solution: 667593 found at 5s
Seconds: 5, Iteration: 130, Iteration per second: 26.000000, Best solution: 667593 found at 5s
Seconds: 5, Iteration: 140, Iteration per second: 28.000000, Best solution: 667593 found at 5s
Seconds: 6, Iteration: 150, Iteration per second: 25.000000, Best solution: 667593 found at 5s
Seconds: 6, Iteration: 160, Iteration per second: 26.666667, Best solution: 668092 found at 6s
Seconds: 6, Iteration: 170, Iteration per second: 28.333333, Best solution: 668092 found at 6s
Seconds: 7, Iteration: 180, Iteration per second: 25.714286, Best solution: 668131 found at 6s
Seconds: 7, Iteration: 190, Iteration per second: 27.142857, Best solution: 669270 found at 7s
Seconds: 8, Iteration: 200, Iteration per second: 25.000000, Best solution: 669429 found at 7s
Seconds: 8, Iteration: 210, Iteration per second: 26.250000, Best solution: 669429 found at 7s
Seconds: 8, Iteration: 220, Iteration per second: 27.500000, Best solution: 669429 found at 7s
Seconds: 9, Iteration: 230, Iteration per second: 25.555556, Best solution: 669429 found at 7s
Seconds: 9, Iteration: 240, Iteration per second: 26.666667, Best solution: 669864 found at 9s
Seconds: 10, Iteration: 250, Iteration per second: 25.000000, Best solution: 669864 found at 9s
Seconds: 10, Iteration: 260, Iteration per second: 26.000000, Best solution: 669874 found at 10s
Seconds: 10, Iteration: 270, Iteration per second: 27.000000, Best solution: 669874 found at 10s
Seconds: 11, Iteration: 280, Iteration per second: 25.454545, Best solution: 670050 found at 11s
Seconds: 11, Iteration: 290, Iteration per second: 26.363636, Best solution: 670050 found at 11s
Seconds: 12, Iteration: 300, Iteration per second: 25.000000, Best solution: 670053 found at 11s
Seconds: 12, Iteration: 310, Iteration per second: 25.833333, Best solution: 670053 found at 11s
Seconds: 12, Iteration: 320, Iteration per second: 26.666667, Best solution: 670053 found at 11s
Seconds: 13, Iteration: 330, Iteration per second: 25.384615, Best solution: 670054 found at 12s
Seconds: 13, Iteration: 340, Iteration per second: 26.153846, Best solution: 670055 found at 13s
Seconds: 13, Iteration: 350, Iteration per second: 26.923077, Best solution: 670058 found at 13s
Seconds: 14, Iteration: 360, Iteration per second: 25.714286, Best solution: 670337 found at 14s
Seconds: 14, Iteration: 370, Iteration per second: 26.428571, Best solution: 670337 found at 14s
Seconds: 14, Iteration: 380, Iteration per second: 27.142857, Best solution: 670340 found at 14s
Seconds: 15, Iteration: 390, Iteration per second: 26.000000, Best solution: 670340 found at 14s
Seconds: 15, Iteration: 400, Iteration per second: 26.666667, Best solution: 670340 found at 14s
Seconds: 15, Iteration: 410, Iteration per second: 27.333333, Best solution: 670340 found at 14s
Seconds: 16, Iteration: 420, Iteration per second: 26.250000, Best solution: 670357 found at 15s
Seconds: 16, Iteration: 430, Iteration per second: 26.875000, Best solution: 670357 found at 15s
Seconds: 16, Iteration: 440, Iteration per second: 27.500000, Best solution: 670357 found at 15s
Seconds: 17, Iteration: 450, Iteration per second: 26.470588, Best solution: 670357 found at 15s
Seconds: 17, Iteration: 460, Iteration per second: 27.058824, Best solution: 670357 found at 15s
Seconds: 17, Iteration: 470, Iteration per second: 27.647059, Best solution: 670357 found at 15s
Seconds: 18, Iteration: 480, Iteration per second: 26.666667, Best solution: 670360 found at 17s
Seconds: 18, Iteration: 490, Iteration per second: 27.222222, Best solution: 670360 found at 17s
Seconds: 18, Iteration: 500, Iteration per second: 27.777778, Best solution: 670360 found at 17s
Seconds: 19, Iteration: 510, Iteration per second: 26.842105, Best solution: 670361 found at 19s
Seconds: 19, Iteration: 520, Iteration per second: 27.368421, Best solution: 670361 found at 19s
Seconds: 19, Iteration: 530, Iteration per second: 27.894737, Best solution: 670361 found at 19s
Seconds: 20, Iteration: 540, Iteration per second: 27.000000, Best solution: 670361 found at 19s
Seconds: 20, Iteration: 550, Iteration per second: 27.500000, Best solution: 670361 found at 19s
Seconds: 20, Iteration: 560, Iteration per second: 28.000000, Best solution: 670361 found at 19s
Seconds: 21, Iteration: 570, Iteration per second: 27.142857, Best solution: 670366 found at 21s
Seconds: 21, Iteration: 580, Iteration per second: 27.619048, Best solution: 670366 found at 21s
Seconds: 21, Iteration: 590, Iteration per second: 28.095238, Best solution: 670366 found at 21s
Seconds: 22, Iteration: 600, Iteration per second: 27.272727, Best solution: 670366 found at 21s
Seconds: 22, Iteration: 610, Iteration per second: 27.727273, Best solution: 670366 found at 21s
Seconds: 22, Iteration: 620, Iteration per second: 28.181818, Best solution: 670366 found at 21s
Seconds: 23, Iteration: 630, Iteration per second: 27.391304, Best solution: 670366 found at 21s
Seconds: 23, Iteration: 640, Iteration per second: 27.826087, Best solution: 670366 found at 21s
Seconds: 24, Iteration: 650, Iteration per second: 27.083333, Best solution: 670465 found at 23s
Seconds: 24, Iteration: 660, Iteration per second: 27.500000, Best solution: 670478 found at 24s
Seconds: 24, Iteration: 670, Iteration per second: 27.916667, Best solution: 670478 found at 24s
Seconds: 25, Iteration: 680, Iteration per second: 27.200000, Best solution: 670478 found at 24s
Seconds: 25, Iteration: 690, Iteration per second: 27.600000, Best solution: 670478 found at 24s
Seconds: 25, Iteration: 700, Iteration per second: 28.000000, Best solution: 670478 found at 24s
Seconds: 26, Iteration: 710, Iteration per second: 27.307692, Best solution: 670478 found at 24s
Seconds: 26, Iteration: 720, Iteration per second: 27.692308, Best solution: 670478 found at 24s
Seconds: 26, Iteration: 730, Iteration per second: 28.076923, Best solution: 670478 found at 24s
Seconds: 27, Iteration: 740, Iteration per second: 27.407407, Best solution: 670478 found at 24s
Seconds: 27, Iteration: 750, Iteration per second: 27.777778, Best solution: 670478 found at 24s
Seconds: 27, Iteration: 760, Iteration per second: 28.148148, Best solution: 670478 found at 24s
Seconds: 28, Iteration: 770, Iteration per second: 27.500000, Best solution: 670478 found at 24s
Seconds: 28, Iteration: 780, Iteration per second: 27.857143, Best solution: 670478 found at 24s
Seconds: 28, Iteration: 790, Iteration per second: 28.214286, Best solution: 670478 found at 24s
Seconds: 29, Iteration: 800, Iteration per second: 27.586207, Best solution: 670491 found at 28s
Seconds: 29, Iteration: 810, Iteration per second: 27.931034, Best solution: 670492 found at 29s
Seconds: 29, Iteration: 820, Iteration per second: 28.275862, Best solution: 670492 found at 29s
Seconds: 30, Iteration: 830, Iteration per second: 27.666667, Best solution: 670581 found at 29s
Seconds: 30, Iteration: 840, Iteration per second: 28.000000, Best solution: 670581 found at 29s
Seconds: 30, Iteration: 850, Iteration per second: 28.333333, Best solution: 670581 found at 29s
Seconds: 31, Iteration: 860, Iteration per second: 27.741935, Best solution: 670581 found at 29s
Seconds: 31, Iteration: 870, Iteration per second: 28.064516, Best solution: 670581 found at 29s
Seconds: 32, Iteration: 880, Iteration per second: 27.500000, Best solution: 670581 found at 29s
Seconds: 32, Iteration: 890, Iteration per second: 27.812500, Best solution: 670581 found at 29s
Seconds: 32, Iteration: 900, Iteration per second: 28.125000, Best solution: 670581 found at 29s
Seconds: 33, Iteration: 910, Iteration per second: 27.575758, Best solution: 670581 found at 29s
Seconds: 33, Iteration: 920, Iteration per second: 27.878788, Best solution: 670581 found at 29s
Seconds: 33, Iteration: 930, Iteration per second: 28.181818, Best solution: 670581 found at 29s
Seconds: 34, Iteration: 940, Iteration per second: 27.647059, Best solution: 670581 found at 29s
Seconds: 34, Iteration: 950, Iteration per second: 27.941176, Best solution: 670581 found at 29s
Seconds: 34, Iteration: 960, Iteration per second: 28.235294, Best solution: 670581 found at 29s
Seconds: 35, Iteration: 970, Iteration per second: 27.714286, Best solution: 670752 found at 35s
Seconds: 35, Iteration: 980, Iteration per second: 28.000000, Best solution: 670752 found at 35s
Seconds: 35, Iteration: 990, Iteration per second: 28.285714, Best solution: 670752 found at 35s
Seconds: 36, Iteration: 1000, Iteration per second: 27.777778, Best solution: 670752 found at 35s
Seconds: 36, Iteration: 1010, Iteration per second: 28.055556, Best solution: 670752 found at 35s
Seconds: 36, Iteration: 1020, Iteration per second: 28.333333, Best solution: 670752 found at 35s
Seconds: 37, Iteration: 1030, Iteration per second: 27.837838, Best solution: 670752 found at 35s
Seconds: 37, Iteration: 1040, Iteration per second: 28.108108, Best solution: 670752 found at 35s
Seconds: 37, Iteration: 1050, Iteration per second: 28.378378, Best solution: 670752 found at 35s
Seconds: 38, Iteration: 1060, Iteration per second: 27.894737, Best solution: 670752 found at 35s
Seconds: 38, Iteration: 1070, Iteration per second: 28.157895, Best solution: 670752 found at 35s
Seconds: 38, Iteration: 1080, Iteration per second: 28.421053, Best solution: 670752 found at 35s
Seconds: 39, Iteration: 1090, Iteration per second: 27.948718, Best solution: 670752 found at 35s
Seconds: 39, Iteration: 1100, Iteration per second: 28.205128, Best solution: 670752 found at 35s
Seconds: 39, Iteration: 1110, Iteration per second: 28.461538, Best solution: 670752 found at 35s
Seconds: 40, Iteration: 1120, Iteration per second: 28.000000, Best solution: 670752 found at 35s
Seconds: 40, Iteration: 1130, Iteration per second: 28.250000, Best solution: 670752 found at 35s
Seconds: 40, Iteration: 1140, Iteration per second: 28.500000, Best solution: 670752 found at 35s
Seconds: 41, Iteration: 1150, Iteration per second: 28.048780, Best solution: 670752 found at 35s
Seconds: 41, Iteration: 1160, Iteration per second: 28.292683, Best solution: 670752 found at 35s
Seconds: 42, Iteration: 1170, Iteration per second: 27.857143, Best solution: 670752 found at 35s
Seconds: 42, Iteration: 1180, Iteration per second: 28.095238, Best solution: 670752 found at 35s
Seconds: 42, Iteration: 1190, Iteration per second: 28.333333, Best solution: 670752 found at 35s
Seconds: 43, Iteration: 1200, Iteration per second: 27.906977, Best solution: 670752 found at 35s
Seconds: 43, Iteration: 1210, Iteration per second: 28.139535, Best solution: 670752 found at 35s
Seconds: 43, Iteration: 1220, Iteration per second: 28.372093, Best solution: 670752 found at 35s
Seconds: 44, Iteration: 1230, Iteration per second: 27.954545, Best solution: 670752 found at 35s
Seconds: 44, Iteration: 1240, Iteration per second: 28.181818, Best solution: 670752 found at 35s
Seconds: 44, Iteration: 1250, Iteration per second: 28.409091, Best solution: 670752 found at 35s
Seconds: 45, Iteration: 1260, Iteration per second: 28.000000, Best solution: 670752 found at 35s
Seconds: 45, Iteration: 1270, Iteration per second: 28.222222, Best solution: 670752 found at 35s
Seconds: 45, Iteration: 1280, Iteration per second: 28.444444, Best solution: 670752 found at 35s
Seconds: 46, Iteration: 1290, Iteration per second: 28.043478, Best solution: 670752 found at 35s
Seconds: 46, Iteration: 1300, Iteration per second: 28.260870, Best solution: 670752 found at 35s
Seconds: 46, Iteration: 1310, Iteration per second: 28.478261, Best solution: 670752 found at 35s
Seconds: 47, Iteration: 1320, Iteration per second: 28.085106, Best solution: 670752 found at 35s
Seconds: 47, Iteration: 1330, Iteration per second: 28.297872, Best solution: 670752 found at 35s
Seconds: 47, Iteration: 1340, Iteration per second: 28.510638, Best solution: 670752 found at 35s
Seconds: 48, Iteration: 1350, Iteration per second: 28.125000, Best solution: 670752 found at 35s
