Running GRASP algorithm...
Seconds: 0, Iteration: 10, Iteration per second: Infinity, Best solution: 679018 found at 0s
Seconds: 1, Iteration: 20, Iteration per second: 20.000000, Best solution: 679018 found at 0s
Seconds: 1, Iteration: 30, Iteration per second: 30.000000, Best solution: 681319 found at 1s
Seconds: 2, Iteration: 40, Iteration per second: 20.000000, Best solution: 684312 found at 2s
Seconds: 2, Iteration: 50, Iteration per second: 25.000000, Best solution: 684315 found at 2s
Seconds: 3, Iteration: 60, Iteration per second: 20.000000, Best solution: 684570 found at 3s
Seconds: 3, Iteration: 70, Iteration per second: 23.333333, Best solution: 684570 found at 3s
Seconds: 3, Iteration: 80, Iteration per second: 26.666667, Best solution: 684570 found at 3s
Seconds: 4, Iteration: 90, Iteration per second: 22.500000, Best solution: 685420 found at 4s
Seconds: 4, Iteration: 100, Iteration per second: 25.000000, Best solution: 686043 found at 4s
Seconds: 5, Iteration: 110, Iteration per second: 22.000000, Best solution: 686043 found at 4s
Seconds: 5, Iteration: 120, Iteration per second: 24.000000, Best solution: 686043 found at 4s
Seconds: 6, Iteration: 130, Iteration per second: 21.666667, Best solution: 686585 found at 6s
Seconds: 6, Iteration: 140, Iteration per second: 23.333333, Best solution: 686585 found at 6s
Seconds: 6, Iteration: 150, Iteration per second: 25.000000, Best solution: 687788 found at 6s
Seconds: 7, Iteration: 160, Iteration per second: 22.857143, Best solution: 687788 found at 6s
Seconds: 7, Iteration: 170, Iteration per second: 24.285714, Best solution: 688351 found at 7s
Seconds: 7, Iteration: 180, Iteration per second: 25.714286, Best solution: 688351 found at 7s
Seconds: 8, Iteration: 190, Iteration per second: 23.750000, Best solution: 689339 found at 8s
Seconds: 8, Iteration: 200, Iteration per second: 25.000000, Best solution: 689449 found at 8s
Seconds: 9, Iteration: 210, Iteration per second: 23.333333, Best solution: 689449 found at 8s
Seconds: 9, Iteration: 220, Iteration per second: 24.444444, Best solution: 690382 found at 9s
Seconds: 10, Iteration: 230, Iteration per second: 23.000000, Best solution: 690382 found at 9s
Seconds: 10, Iteration: 240, Iteration per second: 24.000000, Best solution: 690503 found at 10s
Seconds: 10, Iteration: 250, Iteration per second: 25.000000, Best solution: 690503 found at 10s
Seconds: 11, Iteration: 260, Iteration per second: 23.636364, Best solution: 690739 found at 11s
Seconds: 11, Iteration: 270, Iteration per second: 24.545455, Best solution: 690739 found at 11s
Seconds: 12, Iteration: 280, Iteration per second: 23.333333, Best solution: 690739 found at 11s
Seconds: 12, Iteration: 290, Iteration per second: 24.166667, Best solution: 690739 found at 11s
Seconds: 12, Iteration: 300, Iteration per second: 25.000000, Best solution: 690739 found at 11s
Seconds: 13, Iteration: 310, Iteration per second: 23.846154, Best solution: 690739 found at 11s
Seconds: 13, Iteration: 320, Iteration per second: 24.615385, Best solution: 690739 found at 11s
Seconds: 14, Iteration: 330, Iteration per second: 23.571429, Best solution: 690739 found at 11s
Seconds: 14, Iteration: 340, Iteration per second: 24.285714, Best solution: 691048 found at 14s
Seconds: 14, Iteration: 350, Iteration per second: 25.000000, Best solution: 691184 found at 14s
Seconds: 15, Iteration: 360, Iteration per second: 24.000000, Best solution: 691184 found at 14s
Seconds: 15, Iteration: 370, Iteration per second: 24.666667, Best solution: 691184 found at 14s
Seconds: 16, Iteration: 380, Iteration per second: 23.750000, Best solution: 691184 found at 14s
Seconds: 16, Iteration: 390, Iteration per second: 24.375000, Best solution: 691184 found at 14s
Seconds: 16, Iteration: 400, Iteration per second: 25.000000, Best solution: 691184 found at 14s
Seconds: 17, Iteration: 410, Iteration per second: 24.117647, Best solution: 691184 found at 14s
Seconds: 17, Iteration: 420, Iteration per second: 24.705882, Best solution: 691184 found at 14s
Seconds: 18, Iteration: 430, Iteration per second: 23.888889, Best solution: 691260 found at 17s
Seconds: 18, Iteration: 440, Iteration per second: 24.444444, Best solution: 691260 found at 17s
Seconds: 18, Iteration: 450, Iteration per second: 25.000000, Best solution: 691287 found at 18s
Seconds: 19, Iteration: 460, Iteration per second: 24.210526, Best solution: 691287 found at 18s
Seconds: 19, Iteration: 470, Iteration per second: 24.736842, Best solution: 691287 found at 18s
Seconds: 20, Iteration: 480, Iteration per second: 24.000000, Best solution: 691287 found at 18s
Seconds: 20, Iteration: 490, Iteration per second: 24.500000, Best solution: 691388 found at 20s
Seconds: 20, Iteration: 500, Iteration per second: 25.000000, Best solution: 691388 found at 20s
Seconds: 21, Iteration: 510, Iteration per second: 24.285714, Best solution: 691388 found at 20s
Seconds: 21, Iteration: 520, Iteration per second: 24.761905, Best solution: 691388 found at 20s
Seconds: 22, Iteration: 530, Iteration per second: 24.090909, Best solution: 691388 found at 20s
Seconds: 22, Iteration: 540, Iteration per second: 24.545455, Best solution: 691392 found at 22s
Seconds: 22, Iteration: 550, Iteration per second: 25.000000, Best solution: 691392 found at 22s
Seconds: 23, Iteration: 560, Iteration per second: 24.347826, Best solution: 691440 found at 23s
Seconds: 23, Iteration: 570, Iteration per second: 24.782609, Best solution: 691445 found at 23s
Seconds: 24, Iteration: 580, Iteration per second: 24.166667, Best solution: 691445 found at 23s
Seconds: 24, Iteration: 590, Iteration per second: 24.583333, Best solution: 691445 found at 23s
Seconds: 24, Iteration: 600, Iteration per second: 25.000000, Best solution: 691445 found at 23s
Seconds: 25, Iteration: 610, Iteration per second: 24.400000, Best solution: 691445 found at 23s
Seconds: 25, Iteration: 620, Iteration per second: 24.800000, Best solution: 691451 found at 25s
Seconds: 26, Iteration: 630, Iteration per second: 24.230769, Best solution: 691451 found at 25s
Seconds: 26, Iteration: 640, Iteration per second: 24.615385, Best solution: 691451 found at 25s
Seconds: 26, Iteration: 650, Iteration per second: 25.000000, Best solution: 691451 found at 25s
Seconds: 27, Iteration: 660, Iteration per second: 24.444444, Best solution: 691451 found at 25s
Seconds: 27, Iteration: 670, Iteration per second: 24.814815, Best solution: 691451 found at 25s
Seconds: 28, Iteration: 680, Iteration per second: 24.285714, Best solution: 691451 found at 25s
Seconds: 28, Iteration: 690, Iteration per second: 24.642857, Best solution: 691451 found at 25s
Seconds: 28, Iteration: 700, Iteration per second: 25.000000, Best solution: 691451 found at 25s
Seconds: 29, Iteration: 710, Iteration per second: 24.482759, Best solution: 691451 found at 25s
Seconds: 29, Iteration: 720, Iteration per second: 24.827586, Best solution: 691451 found at 25s
Seconds: 30, Iteration: 730, Iteration per second: 24.333333, Best solution: 691451 found at 25s
Seconds: 30, Iteration: 740, Iteration per second: 24.666667, Best solution: 691451 found at 25s
Seconds: 30, Iteration: 750, Iteration per second: 25.000000, Best solution: 691483 found at 30s
Seconds: 31, Iteration: 760, Iteration per second: 24.516129, Best solution: 691488 found at 31s
Seconds: 31, Iteration: 770, Iteration per second: 24.838710, Best solution: 691488 found at 31s
Seconds: 31, Iteration: 780, Iteration per second: 25.161290, Best solution: 691488 found at 31s
Seconds: 32, Iteration: 790, Iteration per second: 24.687500, Best solution: 691488 found at 31s
Seconds: 32, Iteration: 800, Iteration per second: 25.000000, Best solution: 691488 found at 31s
Seconds: 33, Iteration: 810, Iteration per second: 24.545455, Best solution: 691604 found at 32s
Seconds: 33, Iteration: 820, Iteration per second: 24.848485, Best solution: 691604 found at 32s
Seconds: 33, Iteration: 830, Iteration per second: 25.151515, Best solution: 691672 found at 33s
Seconds: 34, Iteration: 840, Iteration per second: 24.705882, Best solution: 691672 found at 33s
Seconds: 34, Iteration: 850, Iteration per second: 25.000000, Best solution: 691672 found at 33s
Seconds: 34, Iteration: 860, Iteration per second: 25.294118, Best solution: 691672 found at 33s
Seconds: 35, Iteration: 870, Iteration per second: 24.857143, Best solution: 691672 found at 33s
Seconds: 35, Iteration: 880, Iteration per second: 25.142857, Best solution: 691672 found at 33s
Seconds: 36, Iteration: 890, Iteration per second: 24.722222, Best solution: 691672 found at 33s
Seconds: 36, Iteration: 900, Iteration per second: 25.000000, Best solution: 691672 found at 33s
Seconds: 36, Iteration: 910, Iteration per second: 25.277778, Best solution: 691672 found at 33s
Seconds: 37, Iteration: 920, Iteration per second: 24.864865, Best solution: 691926 found at 37s
Seconds: 37, Iteration: 930, Iteration per second: 25.135135, Best solution: 691942 found at 37s
Seconds: 38, Iteration: 940, Iteration per second: 24.736842, Best solution: 691942 found at 37s
Seconds: 38, Iteration: 950, Iteration per second: 25.000000, Best solution: 691942 found at 37s
Seconds: 38, Iteration: 960, Iteration per second: 25.263158, Best solution: 691949 found at 38s
Seconds: 39, Iteration: 970, Iteration per second: 24.871795, Best solution: 691949 found at 38s
Seconds: 39, Iteration: 980, Iteration per second: 25.128205, Best solution: 691949 found at 38s
Seconds: 40, Iteration: 990, Iteration per second: 24.750000, Best solution: 691949 found at 38s
Seconds: 40, Iteration: 1000, Iteration per second: 25.000000, Best solution: 691949 found at 38s
Seconds: 40, Iteration: 1010, Iteration per second: 25.250000, Best solution: 691949 found at 38s
Seconds: 41, Iteration: 1020, Iteration per second: 24.878049, Best solution: 691991 found at 40s
Seconds: 41, Iteration: 1030, Iteration per second: 25.121951, Best solution: 691991 found at 40s
Seconds: 41, Iteration: 1040, Iteration per second: 25.365854, Best solution: 691991 found at 40s
Seconds: 42, Iteration: 1050, Iteration per second: 25.000000, Best solution: 691991 found at 40s
Seconds: 42, Iteration: 1060, Iteration per second: 25.238095, Best solution: 691991 found at 40s
Seconds: 43, Iteration: 1070, Iteration per second: 24.883721, Best solution: 691991 found at 40s
Seconds: 43, Iteration: 1080, Iteration per second: 25.116279, Best solution: 691991 found at 40s
Seconds: 43, Iteration: 1090, Iteration per second: 25.348837, Best solution: 691991 found at 40s
Seconds: 44, Iteration: 1100, Iteration per second: 25.000000, Best solution: 691991 found at 40s
Seconds: 44, Iteration: 1110, Iteration per second: 25.227273, Best solution: 692079 found at 44s
Seconds: 45, Iteration: 1120, Iteration per second: 24.888889, Best solution: 692079 found at 44s
Seconds: 45, Iteration: 1130, Iteration per second: 25.111111, Best solution: 692079 found at 44s
Seconds: 45, Iteration: 1140, Iteration per second: 25.333333, Best solution: 692079 found at 44s
Seconds: 46, Iteration: 1150, Iteration per second: 25.000000, Best solution: 692079 found at 44s
Seconds: 46, Iteration: 1160, Iteration per second: 25.217391, Best solution: 692079 found at 44s
Seconds: 47, Iteration: 1170, Iteration per second: 24.893617, Best solution: 692079 found at 44s
Seconds: 47, Iteration: 1180, Iteration per second: 25.106383, Best solution: 692079 found at 44s
Seconds: 47, Iteration: 1190, Iteration per second: 25.319149, Best solution: 692079 found at 44s
Seconds: 48, Iteration: 1200, Iteration per second: 25.000000, Best solution: 692079 found at 44s
Seconds: 48, Iteration: 1210, Iteration per second: 25.208333, Best solution: 692079 found at 44s
Seconds: 49, Iteration: 1220, Iteration per second: 24.897959, Best solution: 692079 found at 44s
Seconds: 49, Iteration: 1230, Iteration per second: 25.102041, Best solution: 692079 found at 44s
Seconds: 49, Iteration: 1240, Iteration per second: 25.306122, Best solution: 692079 found at 44s
Seconds: 50, Iteration: 1250, Iteration per second: 25.000000, Best solution: 692079 found at 44s
Seconds: 50, Iteration: 1260, Iteration per second: 25.200000, Best solution: 692079 found at 44s
Seconds: 50, Iteration: 1270, Iteration per second: 25.400000, Best solution: 692079 found at 44s
Seconds: 51, Iteration: 1280, Iteration per second: 25.098039, Best solution: 692079 found at 44s
Seconds: 51, Iteration: 1290, Iteration per second: 25.294118, Best solution: 692088 found at 51s
Seconds: 52, Iteration: 1300, Iteration per second: 25.000000, Best solution: 692088 found at 51s
Seconds: 52, Iteration: 1310, Iteration per second: 25.192308, Best solution: 692088 found at 51s
Seconds: 52, Iteration: 1320, Iteration per second: 25.384615, Best solution: 692088 found at 51s
Seconds: 53, Iteration: 1330, Iteration per second: 25.094340, Best solution: 692088 found at 51s
Seconds: 53, Iteration: 1340, Iteration per second: 25.283019, Best solution: 692088 found at 51s
Seconds: 54, Iteration: 1350, Iteration per second: 25.000000, Best solution: 692088 found at 51s
Seconds: 54, Iteration: 1360, Iteration per second: 25.185185, Best solution: 692088 found at 51s
Seconds: 54, Iteration: 1370, Iteration per second: 25.370370, Best solution: 692094 found at 54s
Seconds: 55, Iteration: 1380, Iteration per second: 25.090909, Best solution: 692094 found at 54s
Seconds: 55, Iteration: 1390, Iteration per second: 25.272727, Best solution: 692094 found at 54s
Seconds: 55, Iteration: 1400, Iteration per second: 25.454545, Best solution: 692109 found at 55s
Seconds: 56, Iteration: 1410, Iteration per second: 25.178571, Best solution: 692109 found at 55s
Seconds: 56, Iteration: 1420, Iteration per second: 25.357143, Best solution: 692109 found at 55s
Seconds: 57, Iteration: 1430, Iteration per second: 25.087719, Best solution: 692109 found at 55s
Seconds: 57, Iteration: 1440, Iteration per second: 25.263158, Best solution: 692109 found at 55s
Seconds: 57, Iteration: 1450, Iteration per second: 25.438596, Best solution: 692109 found at 55s
Seconds: 58, Iteration: 1460, Iteration per second: 25.172414, Best solution: 692109 found at 55s
Seconds: 58, Iteration: 1470, Iteration per second: 25.344828, Best solution: 692109 found at 55s
Seconds: 58, Iteration: 1480, Iteration per second: 25.517241, Best solution: 692109 found at 55s
Seconds: 59, Iteration: 1490, Iteration per second: 25.254237, Best solution: 692109 found at 55s
Seconds: 59, Iteration: 1500, Iteration per second: 25.423729, Best solution: 692109 found at 55s
Seconds: 60, Iteration: 1510, Iteration per second: 25.166667, Best solution: 692109 found at 55s
Seconds: 60, Iteration: 1520, Iteration per second: 25.333333, Best solution: 692109 found at 55s
Seconds: 60, Iteration: 1530, Iteration per second: 25.500000, Best solution: 692109 found at 55s
Seconds: 61, Iteration: 1540, Iteration per second: 25.245902, Best solution: 692109 found at 55s
Seconds: 61, Iteration: 1550, Iteration per second: 25.409836, Best solution: 692109 found at 55s
Seconds: 62, Iteration: 1560, Iteration per second: 25.161290, Best solution: 692109 found at 55s
Seconds: 62, Iteration: 1570, Iteration per second: 25.322581, Best solution: 692109 found at 55s
Seconds: 62, Iteration: 1580, Iteration per second: 25.483871, Best solution: 692109 found at 55s
Seconds: 63, Iteration: 1590, Iteration per second: 25.238095, Best solution: 692109 found at 55s
Seconds: 63, Iteration: 1600, Iteration per second: 25.396825, Best solution: 692153 found at 63s
Seconds: 63, Iteration: 1610, Iteration per second: 25.555556, Best solution: 692153 found at 63s
Seconds: 64, Iteration: 1620, Iteration per second: 25.312500, Best solution: 692153 found at 63s
Seconds: 64, Iteration: 1630, Iteration per second: 25.468750, Best solution: 692153 found at 63s
Seconds: 65, Iteration: 1640, Iteration per second: 25.230769, Best solution: 692153 found at 63s
Seconds: 65, Iteration: 1650, Iteration per second: 25.384615, Best solution: 692153 found at 63s
Seconds: 65, Iteration: 1660, Iteration per second: 25.538462, Best solution: 692153 found at 63s
Seconds: 66, Iteration: 1670, Iteration per second: 25.303030, Best solution: 692153 found at 63s
Seconds: 66, Iteration: 1680, Iteration per second: 25.454545, Best solution: 692153 found at 63s
Seconds: 66, Iteration: 1690, Iteration per second: 25.606061, Best solution: 692153 found at 63s
Seconds: 67, Iteration: 1700, Iteration per second: 25.373134, Best solution: 692153 found at 63s
Seconds: 67, Iteration: 1710, Iteration per second: 25.522388, Best solution: 692153 found at 63s
Seconds: 68, Iteration: 1720, Iteration per second: 25.294118, Best solution: 692153 found at 63s
Seconds: 68, Iteration: 1730, Iteration per second: 25.441176, Best solution: 692153 found at 63s
Seconds: 68, Iteration: 1740, Iteration per second: 25.588235, Best solution: 692153 found at 63s
Seconds: 69, Iteration: 1750, Iteration per second: 25.362319, Best solution: 692153 found at 63s
Seconds: 69, Iteration: 1760, Iteration per second: 25.507246, Best solution: 692153 found at 63s
Seconds: 69, Iteration: 1770, Iteration per second: 25.652174, Best solution: 692153 found at 63s
Seconds: 70, Iteration: 1780, Iteration per second: 25.428571, Best solution: 692153 found at 63s
Seconds: 70, Iteration: 1790, Iteration per second: 25.571429, Best solution: 692153 found at 63s
Seconds: 71, Iteration: 1800, Iteration per second: 25.352113, Best solution: 692153 found at 63s
Seconds: 71, Iteration: 1810, Iteration per second: 25.492958, Best solution: 692153 found at 63s
Seconds: 71, Iteration: 1820, Iteration per second: 25.633803, Best solution: 692153 found at 63s
Seconds: 72, Iteration: 1830, Iteration per second: 25.416667, Best solution: 692153 found at 63s
Seconds: 72, Iteration: 1840, Iteration per second: 25.555556, Best solution: 692153 found at 63s
Seconds: 72, Iteration: 1850, Iteration per second: 25.694444, Best solution: 692161 found at 72s
Seconds: 73, Iteration: 1860, Iteration per second: 25.479452, Best solution: 692161 found at 72s
Seconds: 73, Iteration: 1870, Iteration per second: 25.616438, Best solution: 692161 found at 72s
Seconds: 74, Iteration: 1880, Iteration per second: 25.405405, Best solution: 692168 found at 73s
Seconds: 74, Iteration: 1890, Iteration per second: 25.540541, Best solution: 692168 found at 73s
Seconds: 74, Iteration: 1900, Iteration per second: 25.675676, Best solution: 692168 found at 73s
Seconds: 75, Iteration: 1910, Iteration per second: 25.466667, Best solution: 692168 found at 73s
Seconds: 75, Iteration: 1920, Iteration per second: 25.600000, Best solution: 692168 found at 73s
Seconds: 75, Iteration: 1930, Iteration per second: 25.733333, Best solution: 692192 found at 75s
Seconds: 76, Iteration: 1940, Iteration per second: 25.526316, Best solution: 692192 found at 75s
Seconds: 76, Iteration: 1950, Iteration per second: 25.657895, Best solution: 692192 found at 75s
Seconds: 77, Iteration: 1960, Iteration per second: 25.454545, Best solution: 692192 found at 75s
Seconds: 77, Iteration: 1970, Iteration per second: 25.584416, Best solution: 692192 found at 75s
Seconds: 77, Iteration: 1980, Iteration per second: 25.714286, Best solution: 692192 found at 75s
Seconds: 78, Iteration: 1990, Iteration per second: 25.512821, Best solution: 692192 found at 75s
Seconds: 78, Iteration: 2000, Iteration per second: 25.641026, Best solution: 692210 found at 78s
Seconds: 78, Iteration: 2010, Iteration per second: 25.769231, Best solution: 692210 found at 78s
Seconds: 79, Iteration: 2020, Iteration per second: 25.569620, Best solution: 692210 found at 78s
Seconds: 79, Iteration: 2030, Iteration per second: 25.696203, Best solution: 692210 found at 78s
Seconds: 80, Iteration: 2040, Iteration per second: 25.500000, Best solution: 692210 found at 78s
Seconds: 80, Iteration: 2050, Iteration per second: 25.625000, Best solution: 692221 found at 80s
Seconds: 80, Iteration: 2060, Iteration per second: 25.750000, Best solution: 692221 found at 80s
Seconds: 81, Iteration: 2070, Iteration per second: 25.555556, Best solution: 692221 found at 80s
Seconds: 81, Iteration: 2080, Iteration per second: 25.679012, Best solution: 692221 found at 80s
Seconds: 82, Iteration: 2090, Iteration per second: 25.487805, Best solution: 692221 found at 80s
Seconds: 82, Iteration: 2100, Iteration per second: 25.609756, Best solution: 692221 found at 80s
Seconds: 82, Iteration: 2110, Iteration per second: 25.731707, Best solution: 692221 found at 80s
Seconds: 83, Iteration: 2120, Iteration per second: 25.542169, Best solution: 692221 found at 80s
Seconds: 83, Iteration: 2130, Iteration per second: 25.662651, Best solution: 692221 found at 80s
Seconds: 84, Iteration: 2140, Iteration per second: 25.476190, Best solution: 692221 found at 80s
Seconds: 84, Iteration: 2150, Iteration per second: 25.595238, Best solution: 692242 found at 84s
Seconds: 84, Iteration: 2160, Iteration per second: 25.714286, Best solution: 692242 found at 84s
Seconds: 85, Iteration: 2170, Iteration per second: 25.529412, Best solution: 692242 found at 84s
Seconds: 85, Iteration: 2180, Iteration per second: 25.647059, Best solution: 692242 found at 84s
Seconds: 86, Iteration: 2190, Iteration per second: 25.465116, Best solution: 692242 found at 84s
Seconds: 86, Iteration: 2200, Iteration per second: 25.581395, Best solution: 692242 found at 84s
