Running GRASP algorithm...
Seconds: 0, Iteration: 10, Iteration per second: Infinity, Best solution: 2580207 found at 0s
Seconds: 1, Iteration: 20, Iteration per second: 20.000000, Best solution: 2590998 found at 1s
Seconds: 1, Iteration: 30, Iteration per second: 30.000000, Best solution: 2618042 found at 1s
Seconds: 1, Iteration: 40, Iteration per second: 40.000000, Best solution: 2619055 found at 1s
Seconds: 1, Iteration: 50, Iteration per second: 50.000000, Best solution: 2629028 found at 1s
Seconds: 2, Iteration: 60, Iteration per second: 30.000000, Best solution: 2637377 found at 2s
Seconds: 2, Iteration: 70, Iteration per second: 35.000000, Best solution: 2638710 found at 2s
Seconds: 2, Iteration: 80, Iteration per second: 40.000000, Best solution: 2639809 found at 2s
Seconds: 2, Iteration: 90, Iteration per second: 45.000000, Best solution: 2639809 found at 2s
Seconds: 3, Iteration: 100, Iteration per second: 33.333333, Best solution: 2640828 found at 3s
Seconds: 3, Iteration: 110, Iteration per second: 36.666667, Best solution: 2640828 found at 3s
Seconds: 3, Iteration: 120, Iteration per second: 40.000000, Best solution: 2641868 found at 3s
Seconds: 3, Iteration: 130, Iteration per second: 43.333333, Best solution: 2643009 found at 3s
Seconds: 3, Iteration: 140, Iteration per second: 46.666667, Best solution: 2643009 found at 3s
Seconds: 4, Iteration: 150, Iteration per second: 37.500000, Best solution: 2643009 found at 3s
Seconds: 4, Iteration: 160, Iteration per second: 40.000000, Best solution: 2643009 found at 3s
Seconds: 4, Iteration: 170, Iteration per second: 42.500000, Best solution: 2643597 found at 4s
Seconds: 4, Iteration: 180, Iteration per second: 45.000000, Best solution: 2643597 found at 4s
Seconds: 4, Iteration: 190, Iteration per second: 47.500000, Best solution: 2643844 found at 4s
Seconds: 4, Iteration: 200, Iteration per second: 50.000000, Best solution: 2643844 found at 4s
Seconds: 5, Iteration: 210, Iteration per second: 42.000000, Best solution: 2643844 found at 4s
Seconds: 5, Iteration: 220, Iteration per second: 44.000000, Best solution: 2643844 found at 4s
Seconds: 5, Iteration: 230, Iteration per second: 46.000000, Best solution: 2643877 found at 5s
Seconds: 5, Iteration: 240, Iteration per second: 48.000000, Best solution: 2643877 found at 5s
Seconds: 5, Iteration: 250, Iteration per second: 50.000000, Best solution: 2643877 found at 5s
Seconds: 6, Iteration: 260, Iteration per second: 43.333333, Best solution: 2644054 found at 5s
Seconds: 6, Iteration: 270, Iteration per second: 45.000000, Best solution: 2644250 found at 6s
Seconds: 6, Iteration: 280, Iteration per second: 46.666667, Best solution: 2644250 found at 6s
Seconds: 6, Iteration: 290, Iteration per second: 48.333333, Best solution: 2644250 found at 6s
Seconds: 6, Iteration: 300, Iteration per second: 50.000000, Best solution: 2644250 found at 6s
Seconds: 6, Iteration: 310, Iteration per second: 51.666667, Best solution: 2644448 found at 6s
Seconds: 7, Iteration: 320, Iteration per second: 45.714286, Best solution: 2644502 found at 7s
Seconds: 7, Iteration: 330, Iteration per second: 47.142857, Best solution: 2644570 found at 7s
Seconds: 7, Iteration: 340, Iteration per second: 48.571429, Best solution: 2644570 found at 7s
Seconds: 7, Iteration: 350, Iteration per second: 50.000000, Best solution: 2644586 found at 7s
Seconds: 7, Iteration: 360, Iteration per second: 51.428571, Best solution: 2645064 found at 7s
Seconds: 8, Iteration: 370, Iteration per second: 46.250000, Best solution: 2645064 found at 7s
Seconds: 8, Iteration: 380, Iteration per second: 47.500000, Best solution: 2645064 found at 7s
Seconds: 8, Iteration: 390, Iteration per second: 48.750000, Best solution: 2645064 found at 7s
Seconds: 8, Iteration: 400, Iteration per second: 50.000000, Best solution: 2645064 found at 7s
Seconds: 8, Iteration: 410, Iteration per second: 51.250000, Best solution: 2645148 found at 8s
Seconds: 9, Iteration: 420, Iteration per second: 46.666667, Best solution: 2645149 found at 8s
Seconds: 9, Iteration: 430, Iteration per second: 47.777778, Best solution: 2645149 found at 8s
Seconds: 9, Iteration: 440, Iteration per second: 48.888889, Best solution: 2645149 found at 8s
Seconds: 9, Iteration: 450, Iteration per second: 50.000000, Best solution: 2645149 found at 8s
Seconds: 9, Iteration: 460, Iteration per second: 51.111111, Best solution: 2645242 found at 9s
Seconds: 9, Iteration: 470, Iteration per second: 52.222222, Best solution: 2645537 found at 9s
Seconds: 10, Iteration: 480, Iteration per second: 48.000000, Best solution: 2645905 found at 9s
Seconds: 10, Iteration: 490, Iteration per second: 49.000000, Best solution: 2645905 found at 9s
Seconds: 10, Iteration: 500, Iteration per second: 50.000000, Best solution: 2646990 found at 10s
Seconds: 10, Iteration: 510, Iteration per second: 51.000000, Best solution: 2647281 found at 10s
Seconds: 10, Iteration: 520, Iteration per second: 52.000000, Best solution: 2647301 found at 10s
Seconds: 11, Iteration: 530, Iteration per second: 48.181818, Best solution: 2647301 found at 10s
Seconds: 11, Iteration: 540, Iteration per second: 49.090909, Best solution: 2647301 found at 10s
Seconds: 11, Iteration: 550, Iteration per second: 50.000000, Best solution: 2647301 found at 10s
Seconds: 11, Iteration: 560, Iteration per second: 50.909091, Best solution: 2647301 found at 10s
Seconds: 11, Iteration: 570, Iteration per second: 51.818182, Best solution: 2647301 found at 10s
Seconds: 11, Iteration: 580, Iteration per second: 52.727273, Best solution: 2647301 found at 10s
Seconds: 12, Iteration: 590, Iteration per second: 49.166667, Best solution: 2648170 found at 11s
Seconds: 12, Iteration: 600, Iteration per second: 50.000000, Best solution: 2648170 found at 11s
Seconds: 12, Iteration: 610, Iteration per second: 50.833333, Best solution: 2648170 found at 11s
Seconds: 12, Iteration: 620, Iteration per second: 51.666667, Best solution: 2648170 found at 11s
Seconds: 12, Iteration: 630, Iteration per second: 52.500000, Best solution: 2648170 found at 11s
Seconds: 12, Iteration: 640, Iteration per second: 53.333333, Best solution: 2648170 found at 11s
Seconds: 13, Iteration: 650, Iteration per second: 50.000000, Best solution: 2648170 found at 11s
Seconds: 13, Iteration: 660, Iteration per second: 50.769231, Best solution: 2648339 found at 13s
Seconds: 13, Iteration: 670, Iteration per second: 51.538462, Best solution: 2648339 found at 13s
Seconds: 13, Iteration: 680, Iteration per second: 52.307692, Best solution: 2648359 found at 13s
Seconds: 13, Iteration: 690, Iteration per second: 53.076923, Best solution: 2648359 found at 13s
Seconds: 14, Iteration: 700, Iteration per second: 50.000000, Best solution: 2648630 found at 14s
Seconds: 14, Iteration: 710, Iteration per second: 50.714286, Best solution: 2648630 found at 14s
Seconds: 14, Iteration: 720, Iteration per second: 51.428571, Best solution: 2648630 found at 14s
Seconds: 14, Iteration: 730, Iteration per second: 52.142857, Best solution: 2648630 found at 14s
Seconds: 14, Iteration: 740, Iteration per second: 52.857143, Best solution: 2648647 found at 14s
Seconds: 14, Iteration: 750, Iteration per second: 53.571429, Best solution: 2648647 found at 14s
Seconds: 15, Iteration: 760, Iteration per second: 50.666667, Best solution: 2648647 found at 14s
Seconds: 15, Iteration: 770, Iteration per second: 51.333333, Best solution: 2648647 found at 14s
Seconds: 15, Iteration: 780, Iteration per second: 52.000000, Best solution: 2648694 found at 15s
Seconds: 15, Iteration: 790, Iteration per second: 52.666667, Best solution: 2648694 found at 15s
Seconds: 15, Iteration: 800, Iteration per second: 53.333333, Best solution: 2648694 found at 15s
Seconds: 16, Iteration: 810, Iteration per second: 50.625000, Best solution: 2648694 found at 15s
Seconds: 16, Iteration: 820, Iteration per second: 51.250000, Best solution: 2648694 found at 15s
Seconds: 16, Iteration: 830, Iteration per second: 51.875000, Best solution: 2648694 found at 15s
Seconds: 16, Iteration: 840, Iteration per second: 52.500000, Best solution: 2648694 found at 15s
Seconds: 16, Iteration: 850, Iteration per second: 53.125000, Best solution: 2648695 found at 16s
Seconds: 17, Iteration: 860, Iteration per second: 50.588235, Best solution: 2648783 found at 17s
Seconds: 17, Iteration: 870, Iteration per second: 51.176471, Best solution: 2648783 found at 17s
Seconds: 17, Iteration: 880, Iteration per second: 51.764706, Best solution: 2648783 found at 17s
Seconds: 17, Iteration: 890, Iteration per second: 52.352941, Best solution: 2648783 found at 17s
Seconds: 17, Iteration: 900, Iteration per second: 52.941176, Best solution: 2648945 found at 17s
Seconds: 18, Iteration: 910, Iteration per second: 50.555556, Best solution: 2648945 found at 17s
Seconds: 18, Iteration: 920, Iteration per second: 51.111111, Best solution: 2648964 found at 18s
Seconds: 18, Iteration: 930, Iteration per second: 51.666667, Best solution: 2648964 found at 18s
Seconds: 18, Iteration: 940, Iteration per second: 52.222222, Best solution: 2648964 found at 18s
Seconds: 18, Iteration: 950, Iteration per second: 52.777778, Best solution: 2648964 found at 18s
Seconds: 18, Iteration: 960, Iteration per second: 53.333333, Best solution: 2648964 found at 18s
Seconds: 19, Iteration: 970, Iteration per second: 51.052632, Best solution: 2648964 found at 18s
Seconds: 19, Iteration: 980, Iteration per second: 51.578947, Best solution: 2648964 found at 18s
Seconds: 19, Iteration: 990, Iteration per second: 52.105263, Best solution: 2648964 found at 18s
Seconds: 19, Iteration: 1000, Iteration per second: 52.631579, Best solution: 2648964 found at 18s
Seconds: 19, Iteration: 1010, Iteration per second: 53.157895, Best solution: 2648964 found at 18s
Seconds: 20, Iteration: 1020, Iteration per second: 51.000000, Best solution: 2648964 found at 18s
Seconds: 20, Iteration: 1030, Iteration per second: 51.500000, Best solution: 2648964 found at 18s
Seconds: 20, Iteration: 1040, Iteration per second: 52.000000, Best solution: 2649006 found at 20s
Seconds: 20, Iteration: 1050, Iteration per second: 52.500000, Best solution: 2649006 found at 20s
Seconds: 20, Iteration: 1060, Iteration per second: 53.000000, Best solution: 2649013 found at 20s
Seconds: 20, Iteration: 1070, Iteration per second: 53.500000, Best solution: 2649015 found at 20s
Seconds: 21, Iteration: 1080, Iteration per second: 51.428571, Best solution: 2649095 found at 21s
