Running GRASP algorithm...
Seconds: 1, Iteration: 10, Iteration per second: 10.000000, Best solution: 752369 found at 1s
Seconds: 2, Iteration: 20, Iteration per second: 10.000000, Best solution: 756778 found at 2s
Seconds: 3, Iteration: 30, Iteration per second: 10.000000, Best solution: 759982 found at 2s
Seconds: 3, Iteration: 40, Iteration per second: 13.333333, Best solution: 760949 found at 3s
Seconds: 4, Iteration: 50, Iteration per second: 12.500000, Best solution: 762549 found at 4s
Seconds: 5, Iteration: 60, Iteration per second: 12.000000, Best solution: 765448 found at 5s
Seconds: 6, Iteration: 70, Iteration per second: 11.666667, Best solution: 766661 found at 6s
Seconds: 7, Iteration: 80, Iteration per second: 11.428571, Best solution: 766885 found at 6s
Seconds: 7, Iteration: 90, Iteration per second: 12.857143, Best solution: 767342 found at 7s
Seconds: 8, Iteration: 100, Iteration per second: 12.500000, Best solution: 772657 found at 8s
Seconds: 9, Iteration: 110, Iteration per second: 12.222222, Best solution: 773088 found at 8s
Seconds: 9, Iteration: 120, Iteration per second: 13.333333, Best solution: 773928 found at 9s
Seconds: 10, Iteration: 130, Iteration per second: 13.000000, Best solution: 774515 found at 10s
Seconds: 10, Iteration: 140, Iteration per second: 14.000000, Best solution: 774515 found at 10s
Seconds: 11, Iteration: 150, Iteration per second: 13.636364, Best solution: 774515 found at 10s
Seconds: 11, Iteration: 160, Iteration per second: 14.545455, Best solution: 774937 found at 11s
Seconds: 12, Iteration: 170, Iteration per second: 14.166667, Best solution: 775134 found at 11s
Seconds: 12, Iteration: 180, Iteration per second: 15.000000, Best solution: 775134 found at 11s
Seconds: 12, Iteration: 190, Iteration per second: 15.833333, Best solution: 775614 found at 12s
Seconds: 13, Iteration: 200, Iteration per second: 15.384615, Best solution: 775620 found at 13s
Seconds: 13, Iteration: 210, Iteration per second: 16.153846, Best solution: 775632 found at 13s
Seconds: 14, Iteration: 220, Iteration per second: 15.714286, Best solution: 775759 found at 14s
Seconds: 14, Iteration: 230, Iteration per second: 16.428571, Best solution: 775906 found at 14s
Seconds: 15, Iteration: 240, Iteration per second: 16.000000, Best solution: 776177 found at 14s
Seconds: 15, Iteration: 250, Iteration per second: 16.666667, Best solution: 776342 found at 15s
Seconds: 15, Iteration: 260, Iteration per second: 17.333333, Best solution: 776342 found at 15s
Seconds: 16, Iteration: 270, Iteration per second: 16.875000, Best solution: 776342 found at 15s
