Running GRASP algorithm...
Seconds: 2, Iteration: 10, Iteration per second: 5.000000, Best solution: 1483326 found at 1s
Seconds: 3, Iteration: 20, Iteration per second: 6.666667, Best solution: 1503885 found at 2s
Seconds: 4, Iteration: 30, Iteration per second: 7.500000, Best solution: 1503885 found at 2s
Seconds: 5, Iteration: 40, Iteration per second: 8.000000, Best solution: 1503885 found at 2s
Seconds: 5, Iteration: 50, Iteration per second: 10.000000, Best solution: 1506453 found at 5s
Seconds: 6, Iteration: 60, Iteration per second: 10.000000, Best solution: 1507429 found at 6s
Seconds: 6, Iteration: 70, Iteration per second: 11.666667, Best solution: 1507705 found at 6s
Seconds: 7, Iteration: 80, Iteration per second: 11.428571, Best solution: 1507705 found at 6s
Seconds: 7, Iteration: 90, Iteration per second: 12.857143, Best solution: 1507705 found at 6s
Seconds: 7, Iteration: 100, Iteration per second: 14.285714, Best solution: 1515721 found at 7s
Seconds: 8, Iteration: 110, Iteration per second: 13.750000, Best solution: 1515721 found at 7s
Seconds: 8, Iteration: 120, Iteration per second: 15.000000, Best solution: 1515721 found at 7s
Seconds: 9, Iteration: 130, Iteration per second: 14.444444, Best solution: 1518910 found at 8s
Seconds: 9, Iteration: 140, Iteration per second: 15.555556, Best solution: 1518910 found at 8s
Seconds: 9, Iteration: 150, Iteration per second: 16.666667, Best solution: 1518910 found at 8s
Seconds: 10, Iteration: 160, Iteration per second: 16.000000, Best solution: 1518910 found at 8s
Seconds: 10, Iteration: 170, Iteration per second: 17.000000, Best solution: 1518910 found at 8s
Seconds: 10, Iteration: 180, Iteration per second: 18.000000, Best solution: 1518910 found at 8s
Seconds: 11, Iteration: 190, Iteration per second: 17.272727, Best solution: 1518910 found at 8s
Seconds: 11, Iteration: 200, Iteration per second: 18.181818, Best solution: 1518910 found at 8s
Seconds: 12, Iteration: 210, Iteration per second: 17.500000, Best solution: 1518910 found at 8s
Seconds: 12, Iteration: 220, Iteration per second: 18.333333, Best solution: 1522619 found at 12s
Seconds: 13, Iteration: 230, Iteration per second: 17.692308, Best solution: 1522619 found at 12s
Seconds: 13, Iteration: 240, Iteration per second: 18.461538, Best solution: 1522619 found at 12s
Seconds: 13, Iteration: 250, Iteration per second: 19.230769, Best solution: 1522619 found at 12s
Seconds: 14, Iteration: 260, Iteration per second: 18.571429, Best solution: 1522619 found at 12s
Seconds: 14, Iteration: 270, Iteration per second: 19.285714, Best solution: 1522619 found at 12s
Seconds: 14, Iteration: 280, Iteration per second: 20.000000, Best solution: 1523931 found at 14s
Seconds: 15, Iteration: 290, Iteration per second: 19.333333, Best solution: 1523931 found at 14s
Seconds: 15, Iteration: 300, Iteration per second: 20.000000, Best solution: 1523931 found at 14s
Seconds: 15, Iteration: 310, Iteration per second: 20.666667, Best solution: 1524748 found at 15s
Seconds: 16, Iteration: 320, Iteration per second: 20.000000, Best solution: 1526096 found at 15s
Seconds: 16, Iteration: 330, Iteration per second: 20.625000, Best solution: 1526096 found at 15s
Seconds: 16, Iteration: 340, Iteration per second: 21.250000, Best solution: 1529871 found at 16s
Seconds: 17, Iteration: 350, Iteration per second: 20.588235, Best solution: 1529871 found at 16s
Seconds: 17, Iteration: 360, Iteration per second: 21.176471, Best solution: 1529871 found at 16s
Seconds: 17, Iteration: 370, Iteration per second: 21.764706, Best solution: 1529871 found at 16s
Seconds: 18, Iteration: 380, Iteration per second: 21.111111, Best solution: 1529871 found at 16s
Seconds: 18, Iteration: 390, Iteration per second: 21.666667, Best solution: 1529872 found at 18s
Seconds: 19, Iteration: 400, Iteration per second: 21.052632, Best solution: 1530285 found at 18s
Seconds: 19, Iteration: 410, Iteration per second: 21.578947, Best solution: 1530285 found at 18s
Seconds: 19, Iteration: 420, Iteration per second: 22.105263, Best solution: 1530285 found at 18s
Seconds: 20, Iteration: 430, Iteration per second: 21.500000, Best solution: 1530285 found at 18s
Seconds: 20, Iteration: 440, Iteration per second: 22.000000, Best solution: 1530285 found at 18s
Seconds: 20, Iteration: 450, Iteration per second: 22.500000, Best solution: 1530285 found at 18s
Seconds: 21, Iteration: 460, Iteration per second: 21.904762, Best solution: 1530285 found at 18s
Seconds: 21, Iteration: 470, Iteration per second: 22.380952, Best solution: 1531172 found at 21s
Seconds: 21, Iteration: 480, Iteration per second: 22.857143, Best solution: 1531966 found at 21s
Seconds: 22, Iteration: 490, Iteration per second: 22.272727, Best solution: 1531966 found at 21s
Seconds: 22, Iteration: 500, Iteration per second: 22.727273, Best solution: 1531966 found at 21s
Seconds: 22, Iteration: 510, Iteration per second: 23.181818, Best solution: 1531966 found at 21s
Seconds: 23, Iteration: 520, Iteration per second: 22.608696, Best solution: 1534503 found at 23s
Seconds: 23, Iteration: 530, Iteration per second: 23.043478, Best solution: 1538931 found at 23s
Seconds: 23, Iteration: 540, Iteration per second: 23.478261, Best solution: 1538931 found at 23s
Seconds: 24, Iteration: 550, Iteration per second: 22.916667, Best solution: 1538931 found at 23s
Seconds: 24, Iteration: 560, Iteration per second: 23.333333, Best solution: 1538931 found at 23s
Seconds: 24, Iteration: 570, Iteration per second: 23.750000, Best solution: 1540581 found at 24s
Seconds: 25, Iteration: 580, Iteration per second: 23.200000, Best solution: 1540581 found at 24s
Seconds: 25, Iteration: 590, Iteration per second: 23.600000, Best solution: 1540581 found at 24s
Seconds: 26, Iteration: 600, Iteration per second: 23.076923, Best solution: 1540581 found at 24s
Seconds: 26, Iteration: 610, Iteration per second: 23.461538, Best solution: 1543658 found at 26s
Seconds: 26, Iteration: 620, Iteration per second: 23.846154, Best solution: 1543658 found at 26s
Seconds: 27, Iteration: 630, Iteration per second: 23.333333, Best solution: 1543658 found at 26s
Seconds: 27, Iteration: 640, Iteration per second: 23.703704, Best solution: 1544934 found at 27s
Seconds: 27, Iteration: 650, Iteration per second: 24.074074, Best solution: 1544934 found at 27s
Seconds: 28, Iteration: 660, Iteration per second: 23.571429, Best solution: 1544934 found at 27s
Seconds: 28, Iteration: 670, Iteration per second: 23.928571, Best solution: 1544934 found at 27s
Seconds: 28, Iteration: 680, Iteration per second: 24.285714, Best solution: 1544934 found at 27s
Seconds: 29, Iteration: 690, Iteration per second: 23.793103, Best solution: 1544934 found at 27s
Seconds: 29, Iteration: 700, Iteration per second: 24.137931, Best solution: 1544934 found at 27s
Seconds: 30, Iteration: 710, Iteration per second: 23.666667, Best solution: 1544934 found at 27s
Seconds: 30, Iteration: 720, Iteration per second: 24.000000, Best solution: 1544934 found at 27s
Seconds: 30, Iteration: 730, Iteration per second: 24.333333, Best solution: 1545660 found at 30s
Seconds: 31, Iteration: 740, Iteration per second: 23.870968, Best solution: 1548358 found at 31s
Seconds: 31, Iteration: 750, Iteration per second: 24.193548, Best solution: 1548358 found at 31s
Seconds: 31, Iteration: 760, Iteration per second: 24.516129, Best solution: 1548358 found at 31s
Seconds: 32, Iteration: 770, Iteration per second: 24.062500, Best solution: 1548358 found at 31s
Seconds: 32, Iteration: 780, Iteration per second: 24.375000, Best solution: 1548358 found at 31s
Seconds: 32, Iteration: 790, Iteration per second: 24.687500, Best solution: 1548358 found at 31s
Seconds: 33, Iteration: 800, Iteration per second: 24.242424, Best solution: 1548358 found at 31s
Seconds: 33, Iteration: 810, Iteration per second: 24.545455, Best solution: 1548358 found at 31s
Seconds: 34, Iteration: 820, Iteration per second: 24.117647, Best solution: 1548358 found at 31s
Seconds: 34, Iteration: 830, Iteration per second: 24.411765, Best solution: 1549945 found at 34s
Seconds: 34, Iteration: 840, Iteration per second: 24.705882, Best solution: 1550972 found at 34s
Seconds: 35, Iteration: 850, Iteration per second: 24.285714, Best solution: 1550972 found at 34s
Seconds: 35, Iteration: 860, Iteration per second: 24.571429, Best solution: 1550972 found at 34s
Seconds: 35, Iteration: 870, Iteration per second: 24.857143, Best solution: 1550972 found at 34s
Seconds: 36, Iteration: 880, Iteration per second: 24.444444, Best solution: 1550972 found at 34s
Seconds: 36, Iteration: 890, Iteration per second: 24.722222, Best solution: 1550972 found at 34s
Seconds: 36, Iteration: 900, Iteration per second: 25.000000, Best solution: 1550972 found at 34s
Seconds: 37, Iteration: 910, Iteration per second: 24.594595, Best solution: 1550972 found at 34s
Seconds: 37, Iteration: 920, Iteration per second: 24.864865, Best solution: 1551209 found at 37s
Seconds: 38, Iteration: 930, Iteration per second: 24.473684, Best solution: 1551209 found at 37s
Seconds: 38, Iteration: 940, Iteration per second: 24.736842, Best solution: 1551334 found at 38s
Seconds: 38, Iteration: 950, Iteration per second: 25.000000, Best solution: 1553546 found at 38s
Seconds: 39, Iteration: 960, Iteration per second: 24.615385, Best solution: 1553546 found at 38s
Seconds: 39, Iteration: 970, Iteration per second: 24.871795, Best solution: 1553546 found at 38s
Seconds: 39, Iteration: 980, Iteration per second: 25.128205, Best solution: 1553546 found at 38s
Seconds: 40, Iteration: 990, Iteration per second: 24.750000, Best solution: 1554143 found at 40s
Seconds: 40, Iteration: 1000, Iteration per second: 25.000000, Best solution: 1554143 found at 40s
Seconds: 41, Iteration: 1010, Iteration per second: 24.634146, Best solution: 1554143 found at 40s
Seconds: 41, Iteration: 1020, Iteration per second: 24.878049, Best solution: 1554143 found at 40s
Seconds: 41, Iteration: 1030, Iteration per second: 25.121951, Best solution: 1556352 found at 41s
Seconds: 41, Iteration: 1040, Iteration per second: 25.365854, Best solution: 1556352 found at 41s
Seconds: 42, Iteration: 1050, Iteration per second: 25.000000, Best solution: 1556352 found at 41s
Seconds: 42, Iteration: 1060, Iteration per second: 25.238095, Best solution: 1556887 found at 42s
Seconds: 43, Iteration: 1070, Iteration per second: 24.883721, Best solution: 1556887 found at 42s
Seconds: 43, Iteration: 1080, Iteration per second: 25.116279, Best solution: 1556887 found at 42s
Seconds: 43, Iteration: 1090, Iteration per second: 25.348837, Best solution: 1556887 found at 42s
Seconds: 44, Iteration: 1100, Iteration per second: 25.000000, Best solution: 1558357 found at 43s
Seconds: 44, Iteration: 1110, Iteration per second: 25.227273, Best solution: 1558357 found at 43s
Seconds: 44, Iteration: 1120, Iteration per second: 25.454545, Best solution: 1560100 found at 44s
Seconds: 45, Iteration: 1130, Iteration per second: 25.111111, Best solution: 1560100 found at 44s
Seconds: 45, Iteration: 1140, Iteration per second: 25.333333, Best solution: 1560100 found at 44s
Seconds: 45, Iteration: 1150, Iteration per second: 25.555556, Best solution: 1560100 found at 44s
Seconds: 46, Iteration: 1160, Iteration per second: 25.217391, Best solution: 1560100 found at 44s
Seconds: 46, Iteration: 1170, Iteration per second: 25.434783, Best solution: 1560100 found at 44s
Seconds: 46, Iteration: 1180, Iteration per second: 25.652174, Best solution: 1560100 found at 44s
Seconds: 47, Iteration: 1190, Iteration per second: 25.319149, Best solution: 1560100 found at 44s
Seconds: 47, Iteration: 1200, Iteration per second: 25.531915, Best solution: 1560100 found at 44s
Seconds: 47, Iteration: 1210, Iteration per second: 25.744681, Best solution: 1560100 found at 44s
Seconds: 48, Iteration: 1220, Iteration per second: 25.416667, Best solution: 1560100 found at 44s
Seconds: 48, Iteration: 1230, Iteration per second: 25.625000, Best solution: 1560100 found at 44s
Seconds: 48, Iteration: 1240, Iteration per second: 25.833333, Best solution: 1560100 found at 44s
Seconds: 49, Iteration: 1250, Iteration per second: 25.510204, Best solution: 1560100 found at 44s
Seconds: 49, Iteration: 1260, Iteration per second: 25.714286, Best solution: 1560100 found at 44s
Seconds: 49, Iteration: 1270, Iteration per second: 25.918367, Best solution: 1560100 found at 44s
Seconds: 50, Iteration: 1280, Iteration per second: 25.600000, Best solution: 1560100 found at 44s
Seconds: 50, Iteration: 1290, Iteration per second: 25.800000, Best solution: 1560100 found at 44s
Seconds: 51, Iteration: 1300, Iteration per second: 25.490196, Best solution: 1560100 found at 44s
Seconds: 51, Iteration: 1310, Iteration per second: 25.686275, Best solution: 1560100 found at 44s
Seconds: 51, Iteration: 1320, Iteration per second: 25.882353, Best solution: 1560100 found at 44s
Seconds: 51, Iteration: 1330, Iteration per second: 26.078431, Best solution: 1560100 found at 44s
Seconds: 52, Iteration: 1340, Iteration per second: 25.769231, Best solution: 1560100 found at 44s
Seconds: 52, Iteration: 1350, Iteration per second: 25.961538, Best solution: 1560100 found at 44s
Seconds: 53, Iteration: 1360, Iteration per second: 25.660377, Best solution: 1560100 found at 44s
Seconds: 53, Iteration: 1370, Iteration per second: 25.849057, Best solution: 1560100 found at 44s
Seconds: 53, Iteration: 1380, Iteration per second: 26.037736, Best solution: 1560100 found at 44s
Seconds: 54, Iteration: 1390, Iteration per second: 25.740741, Best solution: 1560100 found at 44s
Seconds: 54, Iteration: 1400, Iteration per second: 25.925926, Best solution: 1560100 found at 44s
Seconds: 54, Iteration: 1410, Iteration per second: 26.111111, Best solution: 1560100 found at 44s
Seconds: 55, Iteration: 1420, Iteration per second: 25.818182, Best solution: 1560100 found at 44s
Seconds: 55, Iteration: 1430, Iteration per second: 26.000000, Best solution: 1560100 found at 44s
Seconds: 55, Iteration: 1440, Iteration per second: 26.181818, Best solution: 1560100 found at 44s
Seconds: 56, Iteration: 1450, Iteration per second: 25.892857, Best solution: 1560100 found at 44s
Seconds: 56, Iteration: 1460, Iteration per second: 26.071429, Best solution: 1560100 found at 44s
Seconds: 56, Iteration: 1470, Iteration per second: 26.250000, Best solution: 1560100 found at 44s
