Running GRASP algorithm...
Seconds: 2, Iteration: 10, Iteration per second: 5.000000, Best solution: 1533641 found at 1s
Seconds: 3, Iteration: 20, Iteration per second: 6.666667, Best solution: 1546742 found at 3s
Seconds: 4, Iteration: 30, Iteration per second: 7.500000, Best solution: 1548649 found at 4s
Seconds: 5, Iteration: 40, Iteration per second: 8.000000, Best solution: 1550844 found at 5s
Seconds: 6, Iteration: 50, Iteration per second: 8.333333, Best solution: 1553332 found at 6s
Seconds: 6, Iteration: 60, Iteration per second: 10.000000, Best solution: 1554333 found at 6s
Seconds: 6, Iteration: 70, Iteration per second: 11.666667, Best solution: 1554856 found at 6s
Seconds: 7, Iteration: 80, Iteration per second: 11.428571, Best solution: 1554856 found at 6s
Seconds: 7, Iteration: 90, Iteration per second: 12.857143, Best solution: 1556881 found at 7s
Seconds: 8, Iteration: 100, Iteration per second: 12.500000, Best solution: 1556881 found at 7s
Seconds: 8, Iteration: 110, Iteration per second: 13.750000, Best solution: 1557139 found at 8s
Seconds: 9, Iteration: 120, Iteration per second: 13.333333, Best solution: 1560215 found at 8s
Seconds: 9, Iteration: 130, Iteration per second: 14.444444, Best solution: 1560215 found at 8s
Seconds: 10, Iteration: 140, Iteration per second: 14.000000, Best solution: 1560970 found at 9s
Seconds: 10, Iteration: 150, Iteration per second: 15.000000, Best solution: 1563215 found at 10s
Seconds: 10, Iteration: 160, Iteration per second: 16.000000, Best solution: 1565049 found at 10s
Seconds: 11, Iteration: 170, Iteration per second: 15.454545, Best solution: 1567521 found at 11s
Seconds: 11, Iteration: 180, Iteration per second: 16.363636, Best solution: 1567521 found at 11s
Seconds: 12, Iteration: 190, Iteration per second: 15.833333, Best solution: 1567521 found at 11s
Seconds: 12, Iteration: 200, Iteration per second: 16.666667, Best solution: 1567521 found at 11s
Seconds: 13, Iteration: 210, Iteration per second: 16.153846, Best solution: 1567521 found at 11s
Seconds: 13, Iteration: 220, Iteration per second: 16.923077, Best solution: 1567521 found at 11s
Seconds: 14, Iteration: 230, Iteration per second: 16.428571, Best solution: 1571143 found at 14s
Seconds: 14, Iteration: 240, Iteration per second: 17.142857, Best solution: 1571143 found at 14s
Seconds: 14, Iteration: 250, Iteration per second: 17.857143, Best solution: 1571589 found at 14s
Seconds: 15, Iteration: 260, Iteration per second: 17.333333, Best solution: 1571589 found at 14s
Seconds: 15, Iteration: 270, Iteration per second: 18.000000, Best solution: 1574184 found at 15s
Seconds: 16, Iteration: 280, Iteration per second: 17.500000, Best solution: 1575537 found at 15s
Seconds: 16, Iteration: 290, Iteration per second: 18.125000, Best solution: 1575537 found at 15s
Seconds: 16, Iteration: 300, Iteration per second: 18.750000, Best solution: 1575537 found at 15s
Seconds: 17, Iteration: 310, Iteration per second: 18.235294, Best solution: 1577590 found at 17s
Seconds: 17, Iteration: 320, Iteration per second: 18.823529, Best solution: 1577590 found at 17s
Seconds: 18, Iteration: 330, Iteration per second: 18.333333, Best solution: 1579152 found at 17s
Seconds: 18, Iteration: 340, Iteration per second: 18.888889, Best solution: 1579152 found at 17s
Seconds: 18, Iteration: 350, Iteration per second: 19.444444, Best solution: 1579152 found at 17s
Seconds: 19, Iteration: 360, Iteration per second: 18.947368, Best solution: 1579152 found at 17s
Seconds: 19, Iteration: 370, Iteration per second: 19.473684, Best solution: 1580817 found at 19s
