Running GRASP algorithm...
Seconds: 1, Iteration: 10, Iteration per second: 10.000000, Best solution: 749134 found at 1s
Seconds: 2, Iteration: 20, Iteration per second: 10.000000, Best solution: 749134 found at 1s
Seconds: 3, Iteration: 30, Iteration per second: 10.000000, Best solution: 751774 found at 3s
Seconds: 3, Iteration: 40, Iteration per second: 13.333333, Best solution: 756028 found at 3s
Seconds: 4, Iteration: 50, Iteration per second: 12.500000, Best solution: 756028 found at 3s
Seconds: 5, Iteration: 60, Iteration per second: 12.000000, Best solution: 759596 found at 4s
Seconds: 5, Iteration: 70, Iteration per second: 14.000000, Best solution: 762965 found at 5s
Seconds: 6, Iteration: 80, Iteration per second: 13.333333, Best solution: 764099 found at 6s
Seconds: 6, Iteration: 90, Iteration per second: 15.000000, Best solution: 769579 found at 6s
Seconds: 7, Iteration: 100, Iteration per second: 14.285714, Best solution: 769579 found at 6s
Seconds: 7, Iteration: 110, Iteration per second: 15.714286, Best solution: 769579 found at 6s
Seconds: 7, Iteration: 120, Iteration per second: 17.142857, Best solution: 769579 found at 6s
Seconds: 8, Iteration: 130, Iteration per second: 16.250000, Best solution: 769579 found at 6s
Seconds: 8, Iteration: 140, Iteration per second: 17.500000, Best solution: 769735 found at 8s
Seconds: 8, Iteration: 150, Iteration per second: 18.750000, Best solution: 769735 found at 8s
Seconds: 8, Iteration: 160, Iteration per second: 20.000000, Best solution: 773392 found at 8s
Seconds: 9, Iteration: 170, Iteration per second: 18.888889, Best solution: 773392 found at 8s
Seconds: 9, Iteration: 180, Iteration per second: 20.000000, Best solution: 773392 found at 8s
Seconds: 9, Iteration: 190, Iteration per second: 21.111111, Best solution: 773392 found at 8s
Seconds: 10, Iteration: 200, Iteration per second: 20.000000, Best solution: 775811 found at 10s
Seconds: 10, Iteration: 210, Iteration per second: 21.000000, Best solution: 775967 found at 10s
Seconds: 10, Iteration: 220, Iteration per second: 22.000000, Best solution: 775967 found at 10s
Seconds: 11, Iteration: 230, Iteration per second: 20.909091, Best solution: 775967 found at 10s
Seconds: 11, Iteration: 240, Iteration per second: 21.818182, Best solution: 775967 found at 10s
