Running GRASP algorithm...
Seconds: 1, Iteration: 10, Iteration per second: 10.000000, Best solution: 1268559 found at 1s
Seconds: 2, Iteration: 20, Iteration per second: 10.000000, Best solution: 1276272 found at 2s
Seconds: 3, Iteration: 30, Iteration per second: 10.000000, Best solution: 1276272 found at 2s
Seconds: 4, Iteration: 40, Iteration per second: 10.000000, Best solution: 1280620 found at 4s
Seconds: 4, Iteration: 50, Iteration per second: 12.500000, Best solution: 1285064 found at 4s
Seconds: 5, Iteration: 60, Iteration per second: 12.000000, Best solution: 1292474 found at 5s
Seconds: 5, Iteration: 70, Iteration per second: 14.000000, Best solution: 1292474 found at 5s
Seconds: 6, Iteration: 80, Iteration per second: 13.333333, Best solution: 1296012 found at 5s
Seconds: 6, Iteration: 90, Iteration per second: 15.000000, Best solution: 1296012 found at 5s
Seconds: 7, Iteration: 100, Iteration per second: 14.285714, Best solution: 1297467 found at 7s
Seconds: 7, Iteration: 110, Iteration per second: 15.714286, Best solution: 1298653 found at 7s
Seconds: 7, Iteration: 120, Iteration per second: 17.142857, Best solution: 1299272 found at 7s
Seconds: 8, Iteration: 130, Iteration per second: 16.250000, Best solution: 1305108 found at 8s
Seconds: 8, Iteration: 140, Iteration per second: 17.500000, Best solution: 1305108 found at 8s
Seconds: 9, Iteration: 150, Iteration per second: 16.666667, Best solution: 1305946 found at 8s
Seconds: 9, Iteration: 160, Iteration per second: 17.777778, Best solution: 1305946 found at 8s
Seconds: 10, Iteration: 170, Iteration per second: 17.000000, Best solution: 1305946 found at 8s
Seconds: 10, Iteration: 180, Iteration per second: 18.000000, Best solution: 1305946 found at 8s
Seconds: 10, Iteration: 190, Iteration per second: 19.000000, Best solution: 1305946 found at 8s
Seconds: 11, Iteration: 200, Iteration per second: 18.181818, Best solution: 1305946 found at 8s
Seconds: 11, Iteration: 210, Iteration per second: 19.090909, Best solution: 1305946 found at 8s
Seconds: 12, Iteration: 220, Iteration per second: 18.333333, Best solution: 1305946 found at 8s
Seconds: 12, Iteration: 230, Iteration per second: 19.166667, Best solution: 1306261 found at 12s
Seconds: 13, Iteration: 240, Iteration per second: 18.461538, Best solution: 1306261 found at 12s
Seconds: 13, Iteration: 250, Iteration per second: 19.230769, Best solution: 1306801 found at 13s
Seconds: 14, Iteration: 260, Iteration per second: 18.571429, Best solution: 1306801 found at 13s
Seconds: 14, Iteration: 270, Iteration per second: 19.285714, Best solution: 1306801 found at 13s
Seconds: 15, Iteration: 280, Iteration per second: 18.666667, Best solution: 1308597 found at 14s
Seconds: 15, Iteration: 290, Iteration per second: 19.333333, Best solution: 1308597 found at 14s
Seconds: 15, Iteration: 300, Iteration per second: 20.000000, Best solution: 1308597 found at 14s
Seconds: 16, Iteration: 310, Iteration per second: 19.375000, Best solution: 1308597 found at 14s
Seconds: 16, Iteration: 320, Iteration per second: 20.000000, Best solution: 1308597 found at 14s
Seconds: 17, Iteration: 330, Iteration per second: 19.411765, Best solution: 1308597 found at 14s
Seconds: 17, Iteration: 340, Iteration per second: 20.000000, Best solution: 1308597 found at 14s
Seconds: 17, Iteration: 350, Iteration per second: 20.588235, Best solution: 1308597 found at 14s
Seconds: 18, Iteration: 360, Iteration per second: 20.000000, Best solution: 1308597 found at 14s
Seconds: 18, Iteration: 370, Iteration per second: 20.555556, Best solution: 1308597 found at 14s
Seconds: 19, Iteration: 380, Iteration per second: 20.000000, Best solution: 1312143 found at 19s
Seconds: 19, Iteration: 390, Iteration per second: 20.526316, Best solution: 1312143 found at 19s
Seconds: 20, Iteration: 400, Iteration per second: 20.000000, Best solution: 1312314 found at 19s
Seconds: 20, Iteration: 410, Iteration per second: 20.500000, Best solution: 1312314 found at 19s
Seconds: 20, Iteration: 420, Iteration per second: 21.000000, Best solution: 1312314 found at 19s
Seconds: 21, Iteration: 430, Iteration per second: 20.476190, Best solution: 1312314 found at 19s
Seconds: 21, Iteration: 440, Iteration per second: 20.952381, Best solution: 1312787 found at 21s
Seconds: 22, Iteration: 450, Iteration per second: 20.454545, Best solution: 1312787 found at 21s
Seconds: 22, Iteration: 460, Iteration per second: 20.909091, Best solution: 1312787 found at 21s
Seconds: 23, Iteration: 470, Iteration per second: 20.434783, Best solution: 1312787 found at 21s
Seconds: 23, Iteration: 480, Iteration per second: 20.869565, Best solution: 1312787 found at 21s
Seconds: 23, Iteration: 490, Iteration per second: 21.304348, Best solution: 1312787 found at 21s
